dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.3363524382291138;0.3299609797154847;[[979, 939, 954], [1767, 1854, 1796], [1827, 1876, 1809]];[0.2140826590859392, 0.3970871707003641, 0.3967975433209037];0.33367139959432046;0.32474168358005556;[[375, 469, 387], [748, 766, 808], [732, 798, 833]];[0.20215633423180593, 0.3767830791933104, 0.41074950690335305];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[4, 0], [0, 3]];[1.0, 1.0];0.4944178628389155;0.40514949148286794;[[219, 1673, 980], [76, 3823, 1514], [379, 2352, 2778]];[0.3249258160237389, 0.48713047910295615, 0.5269347496206374];0.48732251521298176;0.4053678957543798;[[115, 699, 417], [32, 1644, 646], [178, 1061, 1124]];[0.35384615384615387, 0.48296122209165687, 0.5139460448102423];7.0;[0, 4, 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[3, 0, 0], [0, 4, 0], [0, 0, 7]];[1.0, 1.0, 1.0];0.5965039529992021;0.5073637818266462;[[389, 1322, 1158], [143, 3664, 1606], [187, 1147, 4171]];[0.541029207232267, 0.597423773031143, 0.6014419610670512];0.5936443542934415;0.5080215376093182;[[176, 549, 506], [58, 1577, 687], [81, 523, 1759]];[0.5587301587301587, 0.5953189882974708, 0.5958672086720868];14.0;[3, 4, 7]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[5, 0, 0], [0, 4, 0], [0, 0, 12]];[1.0, 1.0, 1.0];0.6200290275761974;0.5461917104223339;[[568, 1112, 1187], [156, 3502, 1755], [162, 864, 4474]];[0.6410835214446953, 0.6392844103687477, 0.6032901833872708];0.6157876943881001;0.5449111287740276;[[249, 466, 516], [54, 1507, 761], [65, 411, 1887]];[0.6766304347826086, 0.6321308724832215, 0.5963969658659924];21.0;[5, 4, 12]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[9, 0, 0], [0, 4, 0], [0, 0, 15]];[1.0, 1.0, 1.0];0.6303637551731649;0.5762912466756241;[[799, 867, 1197], [179, 3351, 1883], [280, 685, 4532]];[0.6351351351351351, 0.6834591066693861, 0.5953757225433526];0.6277890466531441;0.5742136254248497;[[341, 374, 516], [67, 1439, 816], [118, 311, 1934]];[0.6482889733840305, 0.6774952919020716, 0.5921616656460502];28.0;[9, 4, 15]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[13, 0, 0], [0, 6, 0], [0, 0, 16]];[1.0, 1.0, 1.0];0.635115501961354;0.6110659628830138;[[1315, 620, 924], [376, 3203, 1832], [645, 626, 4225]];[0.5629280821917808, 0.7199370645088784, 0.6052141527001862];0.6311697092630155;0.6094175216175558;[[579, 263, 389], [154, 1381, 787], [302, 287, 1774]];[0.5594202898550724, 0.7151734852408079, 0.6013559322033898];35.0;[13, 6, 16]


PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.3328744293891747;0.3261569363374555;[[951, 971, 950], [1790, 1827, 1800], [1869, 1827, 1816]];[0.20629067245119306, 0.395027027027027, 0.3977222952255804];0.3385733603786342;0.3322409706285955;[[424, 372, 435], [743, 814, 765], [793, 805, 765]];[0.2163265306122449, 0.4088397790055249, 0.3893129770992366];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[2, 0, 0], [0, 4, 0], [0, 0, 1]];[1.0, 1.0, 1.0];0.5951138176018559;0.5556157046433249;[[1367, 1152, 351], [219, 5066, 128], [930, 2805, 1776]];[0.5433227344992051, 0.5614540618419595, 0.7875831485587583];0.6032792427315754;0.5635434177807565;[[577, 495, 159], [86, 2185, 51], [396, 1160, 807]];[0.5448536355051936, 0.5690104166666666, 0.7935103244837758];7.0;[2, 4, 1]
