dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;0;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.34772842547641475;0.3017486612714477;ommited for csv readability;0.3537863421230561;0.3099251311219578;ommited for csv readability;0.0;[]
PubMed;own;0;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.42861284244093345;0.3531700973184955;ommited for csv readability;0.4306964164976335;0.3567215577443035;ommited for csv readability;3.0;[1 1 1]
PubMed;own;0;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8222222222222223;ommited for csv readability;0.41304820587169266;0.2911746854582178;ommited for csv readability;0.4105814739688979;0.28912875738920435;ommited for csv readability;6.0;[2 2 2]
PubMed;own;0;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5086281902552204;0.4511843055272613;ommited for csv readability;0.504394861392833;0.44529214661020705;ommited for csv readability;9.0;[3 3 3]
PubMed;own;0;0;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9153439153439153;ommited for csv readability;0.5384001740517804;0.4710092526136606;ommited for csv readability;0.5403989181879648;0.4731672282191268;ommited for csv readability;12.0;[4 4 4]
PubMed;own;0;0;64;0.5;1;0.005;20795212.0;0.8666666666666667;0.856060606060606;ommited for csv readability;0.5586827216016248;0.5183180173944304;ommited for csv readability;0.5635564570655849;0.5198949177109683;ommited for csv readability;15.0;[5 5 5]
PubMed;own;0;0;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.8857142857142857;ommited for csv readability;0.5471232677936588;0.4953321359957719;ommited for csv readability;0.5481744421906694;0.49665472225000123;ommited for csv readability;18.0;[6 6 6]
PubMed;own;0;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6891146589259797;0.694356023497367;ommited for csv readability;0.6877958079783637;0.6951680838166338;ommited for csv readability;21.0;[7 7 7]
PubMed;own;0;0;64;0.5;1;0.005;20795212.0;0.9583333333333334;0.9581699346405229;ommited for csv readability;0.67605429338753;0.6785509926695109;ommited for csv readability;0.6806964164976336;0.6831503183727361;ommited for csv readability;24.0;[8 8 8]
PubMed;own;0;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6438216930448671;0.6424808729769428;ommited for csv readability;0.6470588235294118;0.6458849669346252;ommited for csv readability;27.0;[9 9 9]
PubMed;own;0;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6969718974656888;0.6985466699752617;ommited for csv readability;0.6942190669371197;0.6962731901815332;ommited for csv readability;30.0;[10 10 10]
