dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.34772842547641475;0.3017486612714477;ommited for csv readability;0.3537863421230561;0.3099251311219578;ommited for csv readability;0.0;[]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.29881142194520943;0.2861487109941046;ommited for csv readability;0.2944557133198107;0.27768423556800603;ommited for csv readability;3.0;[1 1 1]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5781080101486046;0.5628300245930882;ommited for csv readability;0.56710615280595;0.5519095282413606;ommited for csv readability;6.0;[2 2 2]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.7777777777777778;0.7380952380952381;ommited for csv readability;0.5743909512761021;0.5426839564525626;ommited for csv readability;0.5647396889790399;0.5328561152889119;ommited for csv readability;9.0;[3 3 3]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9153439153439153;ommited for csv readability;0.5925737907027341;0.5665759648986146;ommited for csv readability;0.579445571331981;0.5534783027777868;ommited for csv readability;12.0;[4 4 4]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6259248512984187;0.6208442232291159;ommited for csv readability;0.6147734956051386;0.6093062107197779;ommited for csv readability;15.0;[5 5 5]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9444444444444444;0.9440559440559441;ommited for csv readability;0.6878763694406153;0.6865629731113881;ommited for csv readability;0.6732589587559161;0.671651193468907;ommited for csv readability;18.0;[6 6 6]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.9521367521367522;ommited for csv readability;0.7078374455732946;0.7039827344328353;ommited for csv readability;0.6862745098039216;0.6820148860005695;ommited for csv readability;21.0;[7 7 7]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9166666666666666;ommited for csv readability;0.7020396312695072;0.6964347984825802;ommited for csv readability;0.6801893171061528;0.6742366880415362;ommited for csv readability;24.0;[8 8 8]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9629629629629629;0.9628482972136223;ommited for csv readability;0.7126470161173225;0.709757767716293;ommited for csv readability;0.6928668018931711;0.6890949420010618;ommited for csv readability;27.0;[9 9 9]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9333333333333333;0.933249791144528;ommited for csv readability;0.7262362936605911;0.7221058699482615;ommited for csv readability;0.7074036511156186;0.7028080273976438;ommited for csv readability;30.0;[10 10 10]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9696969696969697;0.9696342305037957;ommited for csv readability;0.7731696687972109;0.764927557978238;ommited for csv readability;0.7549019607843137;0.7434297174445373;ommited for csv readability;33.0;[11 11 11]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9722222222222222;0.9721739130434783;ommited for csv readability;0.76382128586996;0.7547732692174981;ommited for csv readability;0.7378296146044625;0.7255626910361924;ommited for csv readability;36.0;[12 12 12]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9743589743589743;0.9743209876543211;ommited for csv readability;0.7639877924720244;0.7547862292946897;ommited for csv readability;0.7346179851250845;0.7224551746780493;ommited for csv readability;39.0;[13 13 13]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.9761600681140911;ommited for csv readability;0.7506359473798968;0.7399567451320319;ommited for csv readability;0.7221095334685599;0.7076479427381605;ommited for csv readability;42.0;[14 14 14]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9555555555555556;0.9561781609195403;ommited for csv readability;0.7596685082872928;0.7503299845935993;ommited for csv readability;0.7302231237322515;0.7178248170991449;ommited for csv readability;45.0;[15 15 15]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9583333333333334;0.9588867805186592;ommited for csv readability;0.7622336944666618;0.7537635983148809;ommited for csv readability;0.7344489519945909;0.7232144910474507;ommited for csv readability;48.0;[16 16 16]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9411764705882353;0.9420386295386295;ommited for csv readability;0.7603636363636364;0.7519679607845271;ommited for csv readability;0.732420554428668;0.7213051618192144;ommited for csv readability;51.0;[17 17 17]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9629629629629629;0.9634085213032582;ommited for csv readability;0.764457699861788;0.7579722651871279;ommited for csv readability;0.7314063556457066;0.7214940731513636;ommited for csv readability;54.0;[18 18 18]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9473684210526315;0.9480822285700334;ommited for csv readability;0.7729190919674039;0.7665741939007947;ommited for csv readability;0.7429006085192698;0.7338144529173593;ommited for csv readability;57.0;[19 19 19]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.967032967032967;ommited for csv readability;0.7626082526744778;0.7560802334736753;ommited for csv readability;0.7322515212981744;0.7223424545389778;ommited for csv readability;60.0;[20 20 20]


PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.43069342801246285;0.34808624176864833;ommited for csv readability;0.43711967545638947;0.35382572184623523;ommited for csv readability;0.0;[]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.46376286418321494;0.4313796624003876;ommited for csv readability;0.45165652467883705;0.41996476187815324;ommited for csv readability;3.0;[1 1 1]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6365349764407394;0.6131755050569112;ommited for csv readability;0.640973630831643;0.6169360504026447;ommited for csv readability;6.0;[2 2 2]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;0.7777777777777778;0.7777777777777777;ommited for csv readability;0.5007975638051044;0.398693845501193;ommited for csv readability;0.5020283975659229;0.40206512067071415;ommited for csv readability;9.0;[3 3 3]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6291246645877149;0.5984292651885196;ommited for csv readability;0.631000676132522;0.6013163749050041;ommited for csv readability;12.0;[4 4 4]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;0.8666666666666667;0.8703703703703703;ommited for csv readability;0.653851733642826;0.6247916573232656;ommited for csv readability;0.6528059499661933;0.6241074731331576;ommited for csv readability;15.0;[5 5 5]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7809620547050715;0.7725801754347343;ommited for csv readability;0.7685936443542934;0.7588057259558966;ommited for csv readability;18.0;[6 6 6]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7950653120464442;0.785407564646517;ommited for csv readability;0.7827924273157539;0.770716727253537;ommited for csv readability;21.0;[7 7 7]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7848588226754736;0.7759472258848815;ommited for csv readability;0.769945909398242;0.7596311971474625;ommited for csv readability;24.0;[8 8 8]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;0.9629629629629629;0.9628482972136223;ommited for csv readability;0.7888775954697256;0.7769718438213604;ommited for csv readability;0.7785665990534145;0.7657639020351539;ommited for csv readability;27.0;[9 9 9]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;0.9666666666666667;0.9665831244778613;ommited for csv readability;0.801321617892673;0.7944742225862124;ommited for csv readability;0.7868492224475997;0.7791701968782112;ommited for csv readability;30.0;[10 10 10]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;0.9393939393939394;0.9388888888888888;ommited for csv readability;0.799026728646136;0.7911415105420213;ommited for csv readability;0.7868492224475997;0.7783559044410344;ommited for csv readability;33.0;[11 11 11]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;0.9166666666666666;0.9163636363636364;ommited for csv readability;0.8082092262985834;0.8016653057905403;ommited for csv readability;0.7990196078431373;0.7911486593262255;ommited for csv readability;36.0;[12 12 12]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;0.9230769230769231;0.9228395061728395;ommited for csv readability;0.7793198662985031;0.7725625467156431;ommited for csv readability;0.7731575388776201;0.765496655602376;ommited for csv readability;39.0;[13 13 13]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;0.9285714285714286;0.9283819628647215;ommited for csv readability;0.7842866487390072;0.7789718340072124;ommited for csv readability;0.7724814063556457;0.7661125021157534;ommited for csv readability;42.0;[14 14 14]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;0.9555555555555556;0.9553571428571429;ommited for csv readability;0.7832218668217505;0.7747986780646902;ommited for csv readability;0.7682555780933062;0.759133446450669;ommited for csv readability;45.0;[15 15 15]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;0.9375;0.9373737373737373;ommited for csv readability;0.7847015196684359;0.7770947256385776;ommited for csv readability;0.769945909398242;0.7620124720308543;ommited for csv readability;48.0;[16 16 16]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;0.9607843137254902;0.9606481481481483;ommited for csv readability;0.7897454545454545;0.7852012868692299;ommited for csv readability;0.7724814063556457;0.7673570394160474;ommited for csv readability;51.0;[17 17 17]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;0.9259259259259259;0.9251260830208198;ommited for csv readability;0.7871535607768968;0.7821586462448362;ommited for csv readability;0.7674104124408384;0.7618913694892561;ommited for csv readability;54.0;[18 18 18]
PubMed;own;0;0.2;64;0.5;1;0.005;649695571.0;0.9122807017543859;0.9119506082278868;ommited for csv readability;0.7761204889406287;0.768950055469794;ommited for csv readability;0.7592968221771467;0.7522653667023423;ommited for csv readability;57.0;[19 19 19]
