dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;0.5;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.34772842547641475;0.3017486612714477;ommited for csv readability;0.3537863421230561;0.3099251311219578;ommited for csv readability;0.0;[]
PubMed;own;0.5;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5197130018843311;0.4393077608983797;ommited for csv readability;0.5256930358350237;0.44478695265789314;ommited for csv readability;3.0;[1 1 1]
PubMed;own;0.5;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.6555555555555556;ommited for csv readability;0.24813338166002175;0.20556069467053031;ommited for csv readability;0.23867478025693037;0.1946048917994465;ommited for csv readability;6.0;[2 2 2]
PubMed;own;0.5;0;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.8857142857142857;ommited for csv readability;0.49521461716937354;0.4736748828892412;ommited for csv readability;0.5047329276538202;0.48317084020108814;ommited for csv readability;9.0;[3 3 3]
PubMed;own;0.5;0;64;0.5;1;0.005;20795212.0;0.5;0.5;ommited for csv readability;0.24272971208934657;0.18316621899947072;ommited for csv readability;0.2332657200811359;0.17188158096081496;ommited for csv readability;12.0;[4 4 4]
PubMed;own;0.5;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.6158730158730159;ommited for csv readability;0.4021471057594661;0.3362084890208674;ommited for csv readability;0.39993238674780257;0.33427866293011493;ommited for csv readability;15.0;[5 5 5]
PubMed;own;0.5;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.6484848484848486;ommited for csv readability;0.538707102952913;0.5102255943795251;ommited for csv readability;0.5402298850574713;0.5132999444942318;ommited for csv readability;18.0;[6 6 6]
PubMed;own;0.5;0;64;0.5;1;0.005;20795212.0;0.5238095238095238;0.49074074074074076;ommited for csv readability;0.4216255442670537;0.2578110462690126;ommited for csv readability;0.42528735632183906;0.2646267620450386;ommited for csv readability;21.0;[7 7 7]
PubMed;own;0.5;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.6441197691197691;ommited for csv readability;0.5700805690643826;0.4950568710570524;ommited for csv readability;0.571501014198783;0.5030518677577769;ommited for csv readability;24.0;[8 8 8]
PubMed;own;0.5;0;64;0.5;1;0.005;20795212.0;0.7407407407407407;0.6820816864295125;ommited for csv readability;0.5805140119064904;0.46333758661948715;ommited for csv readability;0.5841784989858012;0.468044337855698;ommited for csv readability;27.0;[9 9 9]
