dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.3363524382291138;0.3299609797154847;ommited for csv readability;0.33367139959432046;0.32474168358005556;ommited for csv readability;0.0;[]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.504565879112915;0.4630348888212827;ommited for csv readability;0.5098039215686274;0.46676920267472594;ommited for csv readability;3.0;[1 1 1]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4919173613628126;0.4713616286813493;ommited for csv readability;0.4974645030425964;0.4740225686245358;ommited for csv readability;6.0;[2 2 2]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.627030162412993;0.5838564370896998;ommited for csv readability;0.6149425287356322;0.5711447326171079;ommited for csv readability;9.0;[3 3 3]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6800348103560809;0.6388760587013883;ommited for csv readability;0.6670047329276538;0.6262111583282644;ommited for csv readability;12.0;[4 4 4]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6624836790947338;0.6336213552823237;ommited for csv readability;0.6477349560513861;0.6162161415138407;ommited for csv readability;15.0;[5 5 5]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6659653195966045;0.6380530957679468;ommited for csv readability;0.6475659229208925;0.616998547529514;ommited for csv readability;18.0;[6 6 6]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6754716981132075;0.6472621073398858;ommited for csv readability;0.6494252873563219;0.6175590817515852;ommited for csv readability;21.0;[7 7 7]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6790302678377005;0.6532328086350933;ommited for csv readability;0.6544962812711291;0.6238245434505237;ommited for csv readability;24.0;[8 8 8]
PubMed;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.693335269348047;0.675658092185063;ommited for csv readability;0.6695402298850575;0.6470502578109089;ommited for csv readability;27.0;[9 9 9]
