dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.0;0.0;[[]];[];0.05658381808566896;0.05298669522867782;[[3, 7, 101, 2, 11, 5, 116], [8, 3, 68, 10, 7, 6, 49], [0, 2, 10, 9, 3, 2, 266], [26, 17, 190, 12, 39, 38, 250], [15, 13, 36, 65, 28, 11, 130], [0, 25, 94, 0, 22, 6, 61], [0, 27, 49, 1, 0, 3, 45]];[0.012244897959183673, 0.019867549668874173, 0.03424657534246575, 0.02097902097902098, 0.09395973154362416, 0.028846153846153848, 0.36];0.05385556915544676;0.05002319694142895;[[2, 1, 46, 0, 13, 2, 42], [2, 1, 32, 4, 6, 1, 20], [0, 1, 6, 4, 0, 1, 114], [9, 10, 78, 2, 9, 14, 124], [10, 5, 6, 42, 8, 8, 49], [2, 13, 45, 0, 7, 4, 19], [0, 15, 19, 0, 0, 0, 21]];[0.018867924528301886, 0.015151515151515152, 0.047619047619047616, 0.008130081300813009, 0.0625, 0.044444444444444446, 0.38181818181818183];0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;1.0;1.0;[[2, 0, 0, 0], [0, 1, 0, 0], [0, 0, 2, 0], [0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0];0.2537154989384289;0.16515999687093033;[[0, 14, 0, 0, 215, 0, 1], [0, 120, 0, 0, 46, 0, 0], [0, 140, 0, 0, 103, 0, 35], [0, 22, 0, 18, 495, 0, 1], [0, 6, 0, 0, 311, 0, 0], [0, 46, 0, 0, 167, 0, 3], [0, 6, 0, 0, 106, 0, 29]];[0.0, 0.7228915662650602, 0.0, 0.033582089552238806, 0.9810725552050473, 0.0, 0.20567375886524822];0.23623011015911874;0.16258661548731643;[[0, 0, 0, 0, 106, 0, 0], [0, 52, 0, 0, 12, 0, 2], [0, 71, 0, 0, 44, 0, 11], [0, 7, 0, 3, 236, 0, 0], [0, 1, 0, 1, 126, 0, 0], [0, 16, 0, 0, 74, 0, 0], [0, 1, 0, 0, 42, 0, 12]];[0.0, 0.7878787878787878, 0.0, 0.012195121951219513, 0.984375, 0.0, 0.21818181818181817];7.0;[0, 2, 0, 1, 2, 0, 2]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;1.0;1.0;[[4, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.36814064997336177;0.30762615520018205;[[0, 27, 0, 1, 194, 0, 0], [0, 243, 10, 0, 28, 2, 3], [0, 102, 38, 3, 35, 2, 7], [0, 88, 1, 35, 385, 6, 11], [0, 28, 0, 3, 283, 3, 0], [0, 74, 2, 1, 56, 65, 4], [0, 17, 1, 0, 87, 5, 27]];[0.0, 0.8496503496503497, 0.20320855614973263, 0.06653992395437262, 0.8927444794952681, 0.3217821782178218, 0.19708029197080293];0.3329253365973072;0.31221434042393864;[[0, 7, 0, 0, 99, 0, 0], [0, 62, 0, 0, 2, 0, 2], [0, 75, 33, 0, 16, 0, 2], [0, 33, 0, 18, 190, 3, 2], [0, 11, 0, 3, 114, 0, 0], [0, 36, 3, 0, 17, 33, 1], [0, 4, 0, 0, 38, 1, 12]];[0.0, 0.9393939393939394, 0.2619047619047619, 0.07317073170731707, 0.890625, 0.36666666666666664, 0.21818181818181817];14.0;[0, 4, 1, 2, 3, 1, 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.9047619047619048;0.9091871091871092;[[4, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0], [0, 0, 0, 5, 0, 0], [1, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 3]];[1.0, 1.0, 0.75, 1.0, 0.6666666666666666, 1.0];0.42513368983957217;0.3753221590819794;[[0, 51, 7, 14, 136, 16, 0], [0, 173, 1, 4, 7, 2, 0], [0, 167, 82, 5, 15, 5, 1], [0, 220, 26, 174, 93, 13, 2], [0, 39, 1, 31, 232, 11, 0], [0, 71, 5, 4, 15, 108, 2], [0, 32, 4, 5, 22, 48, 26]];[0.0, 0.9251336898395722, 0.29818181818181816, 0.32954545454545453, 0.7388535031847133, 0.526829268292683, 0.1897810218978102];0.42105263157894735;0.37975851503158814;[[0, 15, 3, 3, 76, 9, 0], [0, 63, 1, 0, 0, 0, 2], [0, 72, 49, 0, 3, 1, 1], [0, 86, 11, 86, 56, 6, 1], [0, 18, 0, 19, 90, 1, 0], [0, 32, 5, 0, 8, 45, 0], [0, 17, 0, 0, 8, 19, 11]];[0.0, 0.9545454545454546, 0.3888888888888889, 0.34959349593495936, 0.703125, 0.5, 0.2];21.0;[0, 4, 2, 4, 5, 3, 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.9642857142857143;0.9555555555555556;[[1, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 5, 0, 0], [0, 1, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 5]];[1.0, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0];0.5442834138486312;0.506439401975524;[[12, 18, 6, 18, 135, 3, 19], [0, 159, 2, 5, 13, 0, 4], [1, 113, 129, 5, 15, 2, 7], [0, 76, 21, 268, 151, 5, 14], [0, 17, 0, 28, 256, 2, 2], [0, 40, 7, 6, 21, 83, 28], [1, 13, 4, 6, 26, 15, 107]];[0.05687203791469194, 0.8688524590163934, 0.4742647058823529, 0.5009345794392523, 0.839344262295082, 0.4486486486486487, 0.622093023255814];0.5189718482252142;0.5000076620081418;[[7, 4, 2, 7, 76, 0, 10], [0, 62, 1, 1, 0, 0, 2], [0, 48, 65, 1, 10, 1, 1], [0, 35, 5, 111, 85, 1, 9], [0, 5, 0, 20, 102, 0, 1], [0, 22, 4, 3, 10, 40, 11], [0, 3, 0, 0, 11, 4, 37]];[0.0660377358490566, 0.9393939393939394, 0.5158730158730159, 0.45121951219512196, 0.796875, 0.4444444444444444, 0.6727272727272727];28.0;[1, 4, 4, 6, 5, 3, 5]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.9428571428571428;0.9162907268170427;[[2, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 9, 0, 1, 0], [0, 0, 0, 0, 5, 0, 0], [1, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 6]];[1.0, 1.0, 1.0, 0.9, 1.0, 0.6666666666666666, 1.0];0.5630387931034483;0.5240024652003914;[[24, 20, 8, 35, 67, 7, 60], [4, 152, 2, 8, 7, 0, 10], [73, 53, 104, 7, 6, 2, 15], [13, 67, 18, 333, 61, 11, 34], [3, 13, 3, 52, 220, 2, 11], [6, 23, 3, 14, 10, 87, 36], [3, 6, 3, 12, 5, 18, 125]];[0.1085972850678733, 0.8306010928961749, 0.4, 0.6201117318435754, 0.7236842105263158, 0.4860335195530726, 0.7267441860465116];0.5556915544675642;0.5197126192671853;[[6, 4, 1, 14, 45, 2, 34], [0, 61, 1, 1, 0, 0, 3], [42, 23, 52, 2, 5, 0, 2], [8, 24, 10, 152, 35, 2, 15], [0, 5, 0, 26, 93, 0, 4], [2, 17, 2, 8, 3, 44, 14], [0, 1, 0, 1, 0, 7, 46]];[0.05660377358490566, 0.9242424242424242, 0.4126984126984127, 0.6178861788617886, 0.7265625, 0.4888888888888889, 0.8363636363636363];35.0;[2, 4, 5, 10, 5, 3, 6]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.9761904761904762;0.9731379731379732;[[3, 0, 0, 0, 0, 0, 0], [0, 5, 0, 0, 0, 0, 0], [0, 0, 6, 0, 0, 0, 0], [0, 0, 0, 12, 0, 0, 0], [0, 0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 0, 4, 1], [0, 0, 0, 0, 0, 0, 6]];[1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0];0.6446727961060033;0.6255299059386158;[[115, 20, 3, 13, 25, 3, 51], [4, 157, 2, 6, 5, 0, 10], [45, 63, 124, 9, 2, 2, 17], [19, 71, 13, 362, 20, 6, 45], [9, 15, 2, 40, 206, 4, 13], [3, 23, 1, 13, 7, 88, 43], [1, 6, 3, 7, 3, 10, 140]];[0.5, 0.8532608695652174, 0.4732824427480916, 0.6753731343283582, 0.71280276816609, 0.4943820224719101, 0.8235294117647058];0.6266829865361077;0.6112812404254668;[[49, 4, 2, 7, 13, 0, 31], [0, 61, 0, 1, 0, 0, 4], [33, 31, 56, 1, 1, 0, 4], [10, 31, 8, 158, 18, 1, 20], [4, 5, 0, 23, 89, 0, 7], [2, 12, 1, 7, 0, 47, 21], [0, 0, 0, 2, 0, 1, 52]];[0.46226415094339623, 0.9242424242424242, 0.4444444444444444, 0.6422764227642277, 0.6953125, 0.5222222222222223, 0.9454545454545454];42.0;[3, 5, 6, 12, 5, 5, 6]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.9387755102040817;0.9256235827664397;[[4, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 0, 7, 0, 0, 0, 0], [0, 0, 0, 13, 0, 0, 0], [0, 0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 0, 4, 2], [0, 0, 0, 0, 0, 0, 6]];[1.0, 1.0, 0.875, 1.0, 1.0, 0.6666666666666666, 1.0];0.6498371335504886;0.634269022296637;[[133, 14, 2, 10, 19, 4, 52], [5, 159, 2, 6, 5, 0, 9], [85, 33, 111, 5, 3, 5, 13], [31, 55, 23, 348, 28, 6, 43], [14, 10, 2, 28, 213, 4, 14], [5, 14, 2, 13, 7, 99, 38], [5, 6, 4, 7, 3, 11, 134]];[0.5683760683760684, 0.8548387096774194, 0.43529411764705883, 0.651685393258427, 0.7473684210526316, 0.5561797752808989, 0.788235294117647];0.6291309669522643;0.6146338127218351;[[53, 6, 1, 6, 13, 0, 27], [0, 60, 0, 1, 0, 0, 5], [51, 18, 50, 0, 2, 1, 4], [18, 24, 11, 156, 18, 2, 17], [6, 3, 0, 16, 95, 0, 8], [2, 14, 0, 7, 1, 49, 17], [0, 0, 0, 2, 0, 2, 51]];[0.5, 0.9090909090909091, 0.3968253968253968, 0.6341463414634146, 0.7421875, 0.5444444444444444, 0.9272727272727272];49.0;[4, 6, 8, 13, 6, 6, 6]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.8928571428571429;0.8820185766614338;[[4, 0, 0, 0, 0, 0, 0], [1, 6, 0, 0, 0, 0, 1], [1, 0, 7, 0, 0, 0, 0], [0, 1, 0, 15, 1, 0, 0], [0, 0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 0, 6, 1], [0, 0, 0, 0, 0, 0, 6]];[1.0, 0.75, 0.875, 0.8823529411764706, 1.0, 0.8571428571428571, 1.0];0.6762942779291553;0.6543468804485298;[[109, 10, 2, 45, 26, 7, 23], [7, 154, 3, 9, 6, 0, 8], [84, 30, 112, 13, 3, 6, 7], [18, 34, 26, 432, 28, 7, 12], [10, 7, 2, 42, 211, 4, 6], [1, 10, 4, 21, 8, 108, 19], [3, 3, 3, 21, 4, 12, 115]];[0.49099099099099097, 0.8235294117647058, 0.4392156862745098, 0.7755834829443446, 0.74822695035461, 0.631578947368421, 0.7142857142857143];0.631578947368421;0.618002794850841;[[47, 5, 1, 22, 16, 3, 12], [0, 60, 0, 2, 0, 0, 4], [52, 14, 52, 2, 2, 2, 2], [11, 16, 17, 172, 20, 2, 8], [0, 2, 0, 27, 96, 1, 2], [0, 10, 2, 19, 1, 50, 8], [2, 0, 0, 10, 0, 4, 39]];[0.44339622641509435, 0.9090909090909091, 0.4126984126984127, 0.6991869918699187, 0.75, 0.5555555555555556, 0.7090909090909091];56.0;[4, 8, 8, 17, 6, 7, 6]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.9682539682539683;0.9690563404849121;[[4, 0, 0, 0, 0, 0, 0], [0, 8, 0, 0, 0, 0, 1], [0, 0, 10, 0, 0, 0, 0], [0, 1, 0, 17, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 0, 8, 0], [0, 0, 0, 0, 0, 0, 6]];[1.0, 0.8888888888888888, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0];0.6706783369803063;0.6544641474862763;[[106, 13, 5, 54, 13, 10, 16], [2, 161, 4, 7, 5, 2, 6], [53, 46, 133, 12, 3, 5, 4], [16, 51, 38, 404, 25, 13, 8], [10, 8, 2, 44, 205, 10, 3], [2, 14, 4, 22, 4, 116, 13], [5, 4, 2, 22, 2, 20, 101]];[0.48847926267281105, 0.8609625668449198, 0.51953125, 0.7279279279279279, 0.7269503546099291, 0.6628571428571428, 0.6474358974358975];0.6438188494492044;0.6315039233906681;[[47, 7, 1, 25, 13, 7, 6], [0, 61, 0, 2, 0, 0, 3], [30, 23, 66, 2, 2, 1, 2], [11, 22, 24, 169, 12, 3, 5], [0, 4, 0, 27, 95, 2, 0], [0, 11, 1, 18, 0, 53, 7], [2, 1, 0, 11, 0, 6, 35]];[0.44339622641509435, 0.9242424242424242, 0.5238095238095238, 0.6869918699186992, 0.7421875, 0.5888888888888889, 0.6363636363636364];63.0;[4, 9, 10, 18, 8, 8, 6]
