dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;medoids;0.2;64;0.5;1;0.005;1.0;20795212.0;0.0;0.0;[[]];[];0.165520888418826;0.13603977936626624;[[6, 43, 2, 60, 10, 120, 4], [4, 100, 1, 10, 2, 29, 5], [46, 16, 16, 199, 0, 14, 1], [74, 107, 21, 102, 35, 188, 45], [9, 46, 20, 107, 10, 37, 69], [0, 63, 1, 37, 16, 77, 14], [4, 5, 4, 17, 2, 91, 2]];[0.024489795918367346, 0.6622516556291391, 0.0547945205479452, 0.17832167832167833, 0.03355704697986577, 0.3701923076923077, 0.016];0.16401468788249693;0.13334151501384078;[[1, 16, 1, 18, 3, 64, 3], [1, 40, 0, 11, 0, 10, 4], [22, 6, 12, 80, 0, 6, 0], [32, 38, 10, 49, 16, 82, 19], [2, 23, 2, 50, 1, 13, 37], [1, 29, 0, 19, 7, 31, 3], [0, 2, 0, 10, 0, 43, 0]];[0.009433962264150943, 0.6060606060606061, 0.09523809523809523, 0.1991869918699187, 0.0078125, 0.34444444444444444, 0.0];0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;1.0;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.1873673036093418;0.12283183944677505;[[191, 0, 30, 11, 46, 0, 0], [141, 2, 32, 15, 74, 0, 0], [116, 0, 65, 16, 57, 0, 1], [121, 0, 22, 10, 50, 0, 0], [148, 1, 19, 21, 82, 0, 1], [152, 0, 38, 20, 87, 0, 0], [165, 0, 60, 9, 78, 0, 3]];[0.6870503597122302, 0.007575757575757576, 0.2549019607843137, 0.04926108374384237, 0.3014705882352941, 0.0, 0.009523809523809525];0.07343941248470012;0.04078767666288731;[[31, 0, 4, 3, 68, 0, 0], [57, 0, 8, 1, 0, 0, 0], [124, 0, 0, 0, 2, 0, 0], [112, 0, 35, 1, 97, 0, 1], [14, 1, 85, 0, 28, 0, 0], [75, 1, 0, 4, 10, 0, 0], [22, 0, 0, 24, 9, 0, 0]];[0.29245283018867924, 0.0, 0.0, 0.0040650406504065045, 0.21875, 0.0, 0.0];7.0;[2, 1, 1, 1, 1, 0, 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;1.0;20795212.0;1.0;1.0;[[3, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.21736814064997337;0.16920774386144705;[[166, 6, 23, 8, 52, 0, 30], [99, 15, 20, 11, 83, 0, 33], [93, 16, 55, 12, 51, 0, 27], [71, 10, 24, 10, 75, 0, 4], [102, 4, 22, 14, 109, 0, 22], [105, 15, 37, 13, 82, 0, 39], [115, 18, 33, 7, 93, 0, 53]];[0.5824561403508772, 0.05747126436781609, 0.21653543307086615, 0.05154639175257732, 0.3992673992673993, 0.0, 0.16614420062695925];0.04039167686658507;0.02684861473439098;[[17, 2, 4, 2, 74, 0, 7], [25, 0, 22, 0, 13, 0, 6], [39, 0, 4, 0, 83, 0, 0], [111, 2, 33, 2, 32, 0, 66], [13, 47, 50, 0, 10, 0, 8], [59, 0, 2, 4, 22, 0, 3], [18, 0, 1, 17, 19, 0, 0]];[0.16037735849056603, 0.0, 0.031746031746031744, 0.008130081300813009, 0.078125, 0.0, 0.0];14.0;[3, 2, 2, 1, 3, 0, 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;1.0;20795212.0;1.0;1.0;[[4, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.2641711229946524;0.22750867692625507;[[108, 4, 10, 18, 19, 108, 5], [53, 11, 10, 22, 43, 98, 8], [35, 8, 40, 21, 22, 111, 3], [49, 5, 9, 35, 36, 68, 4], [50, 0, 6, 25, 71, 100, 9], [37, 5, 17, 28, 48, 198, 6], [60, 12, 12, 13, 49, 130, 31]];[0.39705882352941174, 0.044897959183673466, 0.16666666666666666, 0.16990291262135923, 0.2720306513409962, 0.584070796460177, 0.10097719869706841];0.06364749082007344;0.04973204994706223;[[17, 0, 1, 13, 41, 34, 0], [3, 0, 7, 2, 3, 50, 1], [41, 0, 2, 1, 50, 22, 10], [36, 1, 7, 7, 20, 158, 17], [6, 28, 34, 9, 4, 46, 1], [48, 0, 0, 7, 13, 21, 1], [4, 0, 6, 27, 10, 7, 1]];[0.16037735849056603, 0.0, 0.015873015873015872, 0.028455284552845527, 0.03125, 0.23333333333333334, 0.01818181818181818];21.0;[4, 2, 3, 3, 3, 3, 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;1.0;20795212.0;0.9285714285714286;0.9374236874236874;[[6, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 5, 0, 0, 0], [1, 0, 1, 0, 3, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 1.0];0.29736983360171765;0.2573715773797593;[[193, 4, 17, 26, 8, 61, 7], [71, 11, 23, 24, 26, 65, 8], [61, 8, 56, 17, 19, 63, 4], [84, 4, 9, 53, 23, 28, 5], [83, 1, 25, 29, 56, 71, 10], [65, 5, 28, 28, 33, 151, 6], [98, 11, 21, 19, 30, 81, 34]];[0.6107594936708861, 0.04824561403508772, 0.24561403508771928, 0.25728155339805825, 0.20363636363636364, 0.4778481012658228, 0.11564625850340136];0.06487148102815178;0.0499572472358246;[[30, 0, 2, 11, 33, 30, 0], [53, 0, 6, 1, 0, 5, 1], [61, 0, 2, 37, 8, 6, 12], [45, 0, 39, 7, 18, 114, 23], [15, 24, 39, 12, 4, 33, 1], [69, 0, 0, 4, 8, 8, 1], [8, 0, 7, 25, 10, 3, 2]];[0.2830188679245283, 0.0, 0.015873015873015872, 0.028455284552845527, 0.03125, 0.08888888888888889, 0.03636363636363636];28.0;[6, 2, 4, 5, 5, 3, 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;1.0;20795212.0;0.9142857142857143;0.9185925185925187;[[6, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 5, 0, 0, 0], [1, 0, 1, 0, 4, 0, 0], [0, 0, 0, 0, 0, 5, 1], [0, 0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.8333333333333334, 1.0];0.33997844827586204;0.31438555287352404;[[160, 5, 16, 27, 18, 61, 16], [45, 20, 22, 21, 31, 58, 22], [36, 9, 73, 9, 37, 47, 20], [66, 7, 10, 53, 19, 28, 9], [56, 2, 24, 22, 111, 45, 29], [37, 8, 25, 29, 36, 152, 19], [71, 12, 23, 30, 52, 66, 62]];[0.528052805280528, 0.091324200913242, 0.31601731601731603, 0.2760416666666667, 0.38408304498269896, 0.49673202614379086, 0.1962025316455696];0.05507955936352509;0.057809821068773415;[[12, 7, 7, 5, 57, 13, 5], [53, 0, 4, 1, 1, 5, 2], [48, 0, 1, 49, 5, 13, 10], [8, 1, 51, 7, 38, 105, 36], [9, 26, 28, 11, 7, 45, 2], [64, 0, 0, 2, 9, 7, 8], [3, 1, 10, 17, 11, 2, 11]];[0.11320754716981132, 0.0, 0.007936507936507936, 0.028455284552845527, 0.0546875, 0.07777777777777778, 0.2];35.0;[6, 3, 5, 5, 6, 6, 4]
Cora;own;medoids;0.2;64;0.5;1;0.005;1.0;20795212.0;0.7857142857142857;0.7865134865134865;[[6, 0, 0, 1, 0, 0, 0], [1, 4, 0, 0, 0, 0, 0], [0, 0, 5, 0, 1, 0, 0], [0, 0, 1, 5, 0, 0, 0], [1, 0, 1, 0, 4, 0, 1], [0, 0, 0, 0, 0, 5, 1], [0, 1, 0, 0, 0, 0, 4]];[0.8571428571428571, 0.8, 0.8333333333333334, 0.8333333333333334, 0.5714285714285714, 0.8333333333333334, 0.8];0.3320713899405084;0.30416043837334145;[[165, 5, 12, 29, 16, 63, 13], [47, 20, 20, 23, 31, 57, 18], [39, 9, 67, 10, 37, 50, 18], [66, 7, 15, 52, 17, 32, 12], [57, 2, 29, 26, 107, 44, 24], [40, 8, 21, 31, 34, 151, 19], [72, 13, 22, 32, 44, 71, 52]];[0.5445544554455446, 0.09259259259259259, 0.29130434782608694, 0.25870646766169153, 0.370242214532872, 0.4967105263157895, 0.16993464052287582];0.05997552019583843;0.05883223378160699;[[13, 8, 7, 9, 51, 13, 5], [53, 0, 4, 1, 1, 5, 2], [49, 0, 2, 44, 5, 17, 9], [12, 1, 49, 10, 36, 102, 36], [9, 26, 24, 11, 10, 46, 2], [66, 0, 0, 3, 8, 6, 7], [3, 1, 12, 19, 10, 2, 8]];[0.12264150943396226, 0.0, 0.015873015873015872, 0.04065040650406504, 0.078125, 0.06666666666666667, 0.14545454545454545];42.0;[7, 5, 6, 6, 7, 6, 5]
Cora;own;medoids;0.2;64;0.5;1;0.005;1.0;20795212.0;0.7346938775510204;0.7306820163963021;[[7, 0, 0, 1, 0, 0, 0], [1, 4, 0, 0, 0, 1, 1], [0, 0, 5, 0, 1, 0, 0], [0, 0, 1, 6, 0, 0, 0], [2, 0, 1, 0, 4, 0, 1], [0, 1, 0, 0, 0, 6, 0], [0, 1, 0, 0, 1, 0, 4]];[0.875, 0.5714285714285714, 0.8333333333333334, 0.8571428571428571, 0.5, 0.8571428571428571, 0.6666666666666666];0.34256243213897936;0.3126622079530759;[[188, 5, 19, 46, 21, 72, 20], [45, 21, 20, 11, 32, 58, 22], [38, 9, 70, 9, 33, 49, 20], [60, 4, 15, 49, 17, 30, 11], [55, 3, 34, 19, 105, 39, 23], [39, 11, 19, 20, 32, 144, 19], [69, 13, 21, 21, 38, 70, 54]];[0.5067385444743935, 0.10047846889952153, 0.30701754385964913, 0.26344086021505375, 0.3776978417266187, 0.5070422535211268, 0.1888111888111888];0.06119951040391677;0.06124695491650945;[[14, 8, 7, 9, 47, 14, 7], [53, 0, 4, 1, 1, 5, 2], [54, 0, 2, 36, 5, 22, 7], [13, 3, 52, 7, 36, 90, 45], [10, 26, 24, 12, 11, 43, 2], [67, 0, 1, 2, 6, 6, 8], [4, 0, 11, 19, 9, 2, 10]];[0.1320754716981132, 0.0, 0.015873015873015872, 0.028455284552845527, 0.0859375, 0.06666666666666667, 0.18181818181818182];49.0;[8, 7, 6, 7, 8, 7, 6]
Cora;own;medoids;0.2;64;0.5;1;0.005;1.0;20795212.0;0.8571428571428571;0.8540249433106577;[[9, 0, 0, 0, 0, 0, 0], [1, 8, 0, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0, 0], [0, 0, 0, 7, 0, 0, 1], [1, 0, 2, 0, 5, 0, 1], [0, 0, 0, 0, 0, 7, 0], [0, 1, 0, 0, 1, 0, 5]];[1.0, 0.8888888888888888, 1.0, 0.875, 0.5555555555555556, 1.0, 0.7142857142857143];0.38474114441416896;0.36153307753020403;[[243, 19, 19, 15, 13, 32, 13], [66, 58, 13, 7, 25, 34, 14], [57, 11, 69, 14, 22, 35, 15], [71, 13, 9, 59, 15, 15, 8], [76, 12, 43, 15, 108, 23, 22], [66, 17, 18, 19, 29, 118, 6], [92, 25, 18, 18, 32, 43, 51]];[0.6864406779661016, 0.2672811059907834, 0.3094170403587444, 0.3105263157894737, 0.3612040133779264, 0.43223443223443225, 0.1827956989247312];0.05752753977968176;0.05191876175685665;[[21, 14, 3, 13, 45, 6, 4], [59, 0, 2, 1, 0, 3, 1], [91, 16, 0, 12, 4, 3, 0], [28, 19, 50, 7, 30, 75, 37], [18, 26, 21, 11, 11, 39, 2], [74, 1, 0, 3, 4, 3, 5], [4, 0, 12, 25, 8, 1, 5]];[0.19811320754716982, 0.0, 0.0, 0.028455284552845527, 0.0859375, 0.03333333333333333, 0.09090909090909091];56.0;[9, 9, 7, 8, 9, 7, 7]
Cora;own;medoids;0.2;64;0.5;1;0.005;1.0;20795212.0;0.8412698412698413;0.843128708386482;[[10, 0, 0, 0, 1, 0, 0], [0, 9, 0, 0, 0, 0, 0], [0, 0, 7, 1, 0, 0, 0], [1, 0, 0, 7, 0, 0, 2], [1, 0, 2, 0, 6, 0, 1], [0, 0, 0, 0, 0, 7, 0], [0, 1, 0, 0, 0, 0, 7]];[0.9090909090909091, 1.0, 0.875, 0.7, 0.6, 1.0, 0.875];0.35393873085339167;0.340524265566538;[[203, 9, 20, 14, 30, 30, 21], [67, 64, 16, 6, 25, 37, 21], [48, 11, 76, 17, 17, 38, 17], [79, 13, 19, 61, 19, 22, 18], [72, 5, 32, 16, 84, 24, 22], [60, 19, 23, 21, 29, 108, 10], [101, 23, 19, 17, 30, 44, 51]];[0.6207951070336392, 0.2711864406779661, 0.3392857142857143, 0.26406926406926406, 0.32941176470588235, 0.4, 0.17894736842105263];0.06487148102815178;0.06035727403459427;[[21, 11, 4, 13, 43, 11, 3], [57, 0, 3, 1, 1, 3, 1], [77, 21, 2, 16, 4, 4, 2], [21, 24, 50, 8, 28, 70, 45], [13, 24, 26, 10, 11, 42, 2], [71, 1, 1, 2, 4, 5, 6], [4, 0, 11, 26, 8, 0, 6]];[0.19811320754716982, 0.0, 0.015873015873015872, 0.032520325203252036, 0.0859375, 0.05555555555555555, 0.10909090909090909];63.0;[11, 9, 8, 10, 10, 7, 8]
