dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;medoids;0.2;64;0.5;1;0.005;0.9;20795212.0;0.0;0.0;[[]];[];0.14542570068746694;0.12123135345841461;[[13, 2, 4, 13, 19, 135, 59], [1, 3, 3, 10, 4, 117, 13], [5, 5, 4, 78, 2, 48, 150], [67, 23, 30, 36, 89, 265, 62], [19, 56, 8, 10, 66, 86, 53], [9, 0, 39, 6, 12, 114, 28], [0, 3, 3, 4, 7, 69, 39]];[0.053061224489795916, 0.019867549668874173, 0.0136986301369863, 0.06293706293706294, 0.2214765100671141, 0.5480769230769231, 0.312];0.1383108935128519;0.11012085586431941;[[2, 0, 0, 5, 15, 49, 35], [0, 1, 0, 2, 2, 57, 4], [5, 1, 2, 26, 0, 15, 77], [31, 9, 12, 17, 36, 102, 39], [9, 36, 4, 4, 25, 32, 18], [3, 2, 17, 1, 2, 51, 14], [0, 1, 0, 2, 3, 34, 15]];[0.018867924528301886, 0.015151515151515152, 0.015873015873015872, 0.06910569105691057, 0.1953125, 0.5666666666666667, 0.2727272727272727];0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.9;20795212.0;1.0;1.0;[[2, 0, 0, 0], [0, 1, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0];0.17887473460721867;0.10718818504926016;[[130, 0, 66, 0, 0, 0, 86], [78, 2, 68, 0, 0, 0, 108], [67, 0, 96, 0, 0, 0, 101], [93, 1, 75, 0, 0, 0, 79], [90, 0, 70, 0, 0, 0, 86], [89, 0, 85, 0, 0, 0, 106], [104, 0, 95, 0, 0, 0, 109]];[0.46099290780141844, 0.0078125, 0.36363636363636365, 0.0, 0.0, 0.0, 0.3538961038961039];0.10403916768665851;0.06695407631651694;[[43, 0, 15, 0, 0, 0, 48], [27, 0, 15, 0, 0, 0, 24], [121, 0, 1, 0, 0, 0, 4], [21, 0, 82, 0, 0, 0, 143], [6, 1, 107, 0, 0, 0, 14], [30, 0, 32, 0, 0, 0, 28], [14, 0, 0, 0, 0, 0, 41]];[0.4056603773584906, 0.0, 0.007936507936507936, 0.0, 0.0, 0.0, 0.7454545454545455];7.0;[2, 1, 3, 0, 0, 0, 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.9;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0], [0, 3, 0, 0, 0], [0, 0, 3, 0, 0], [0, 0, 0, 3, 0], [0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0];0.2328183271177411;0.18513914515902413;[[86, 17, 34, 70, 2, 0, 56], [46, 54, 35, 81, 1, 0, 45], [31, 28, 59, 67, 1, 4, 59], [67, 14, 30, 161, 0, 0, 54], [46, 16, 22, 98, 0, 0, 47], [57, 22, 40, 78, 1, 0, 57], [60, 28, 43, 81, 1, 1, 77]];[0.32452830188679244, 0.20610687022900764, 0.23694779116465864, 0.4938650306748466, 0.0, 0.0, 0.2646048109965636];0.18115055079559364;0.12058255988024544;[[19, 0, 5, 71, 0, 0, 11], [10, 8, 6, 35, 0, 0, 7], [107, 0, 1, 17, 1, 0, 0], [8, 45, 38, 99, 0, 0, 56], [1, 30, 77, 15, 0, 0, 5], [3, 0, 7, 25, 0, 1, 54], [5, 1, 0, 29, 0, 0, 20]];[0.1792452830188679, 0.12121212121212122, 0.007936507936507936, 0.4024390243902439, 0.0, 0.011111111111111112, 0.36363636363636365];14.0;[2, 3, 3, 3, 0, 0, 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.9;20795212.0;0.9523809523809523;0.9515151515151515;[[2, 0, 1, 0, 0, 0], [0, 3, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0], [0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 4]];[0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0];0.31711229946524067;0.27330965373178084;[[39, 10, 51, 75, 0, 27, 32], [3, 52, 47, 80, 0, 21, 26], [5, 25, 137, 71, 0, 18, 36], [10, 8, 38, 169, 0, 32, 38], [7, 14, 31, 90, 0, 32, 35], [9, 20, 53, 93, 0, 137, 32], [3, 23, 57, 92, 0, 33, 59]];[0.16666666666666666, 0.22707423580786026, 0.4691780821917808, 0.5728813559322034, 0.0, 0.39825581395348836, 0.2209737827715356];0.19828641370869032;0.13808227733808048;[[17, 0, 16, 60, 0, 2, 11], [0, 0, 59, 2, 0, 4, 1], [12, 0, 4, 18, 0, 92, 0], [4, 35, 43, 118, 0, 8, 38], [0, 26, 73, 15, 0, 0, 14], [0, 0, 11, 32, 0, 9, 38], [0, 0, 3, 37, 0, 1, 14]];[0.16037735849056603, 0.0, 0.031746031746031744, 0.4796747967479675, 0.0, 0.1, 0.2545454545454545];21.0;[3, 3, 5, 3, 0, 3, 4]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.9;20795212.0;0.8928571428571429;0.8507936507936508;[[2, 0, 0, 0, 1, 0, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 8, 0, 0, 0, 0], [0, 0, 0, 4, 1, 0, 0], [1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 4]];[0.6666666666666666, 1.0, 1.0, 0.8, 0.5, 1.0, 1.0];0.33118625872249063;0.2902198234476811;[[39, 10, 55, 63, 5, 39, 17], [6, 46, 63, 67, 5, 23, 14], [8, 17, 169, 64, 3, 23, 19], [12, 9, 48, 168, 9, 40, 19], [11, 10, 47, 79, 15, 37, 14], [17, 13, 68, 75, 4, 135, 16], [8, 20, 63, 84, 5, 37, 45]];[0.17105263157894737, 0.20535714285714285, 0.5577557755775577, 0.5508196721311476, 0.07042253521126761, 0.4115853658536585, 0.1717557251908397];0.17870257037943696;0.1499140380998981;[[21, 0, 10, 65, 2, 5, 3], [0, 0, 59, 2, 0, 4, 1], [15, 0, 2, 17, 0, 92, 0], [4, 33, 63, 95, 13, 20, 18], [0, 14, 75, 19, 12, 0, 8], [0, 0, 39, 26, 2, 7, 16], [3, 2, 6, 32, 2, 1, 9]];[0.19811320754716982, 0.0, 0.015873015873015872, 0.3861788617886179, 0.09375, 0.07777777777777778, 0.16363636363636364];28.0;[3, 3, 8, 5, 2, 3, 4]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.9;20795212.0;1.0;1.0;[[4, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [0, 0, 8, 0, 0, 0, 0], [0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 0, 6]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.38469827586206895;0.3485266988456918;[[44, 24, 20, 50, 2, 48, 30], [8, 83, 28, 42, 6, 43, 21], [6, 27, 137, 35, 4, 46, 36], [9, 19, 22, 169, 3, 45, 33], [9, 19, 23, 54, 16, 58, 25], [12, 35, 29, 40, 2, 184, 42], [7, 35, 31, 53, 5, 56, 81]];[0.2018348623853211, 0.3593073593073593, 0.47079037800687284, 0.5633333333333334, 0.0784313725490196, 0.5348837209302325, 0.30223880597014924];0.14320685434516525;0.12169286446834474;[[16, 5, 8, 29, 1, 45, 2], [0, 1, 54, 6, 0, 4, 1], [15, 0, 1, 24, 0, 85, 1], [4, 48, 26, 74, 9, 56, 29], [2, 20, 47, 21, 4, 7, 27], [0, 21, 11, 17, 0, 6, 35], [3, 8, 1, 25, 0, 3, 15]];[0.1509433962264151, 0.015151515151515152, 0.007936507936507936, 0.3008130081300813, 0.03125, 0.06666666666666667, 0.2727272727272727];35.0;[4, 4, 8, 6, 2, 5, 6]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.9;20795212.0;0.9285714285714286;0.9334554334554336;[[4, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 1, 0], [1, 0, 9, 0, 0, 0, 0], [0, 0, 1, 7, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 0, 7]];[1.0, 0.8, 0.9, 0.875, 1.0, 1.0, 1.0];0.39967550027041643;0.36382840683549544;[[45, 13, 23, 34, 2, 58, 31], [5, 78, 34, 20, 2, 54, 24], [11, 26, 148, 24, 1, 63, 40], [4, 15, 27, 148, 1, 60, 40], [8, 19, 29, 26, 16, 66, 32], [10, 27, 30, 25, 1, 208, 46], [4, 27, 37, 35, 4, 72, 96]];[0.21844660194174756, 0.35944700460829493, 0.4728434504792332, 0.5016949152542373, 0.08163265306122448, 0.5994236311239193, 0.3490909090909091];0.11995104039167687;0.11159458521103349;[[14, 9, 9, 15, 0, 57, 2], [0, 0, 48, 4, 0, 13, 1], [13, 1, 1, 18, 0, 91, 2], [7, 47, 28, 50, 8, 72, 34], [2, 13, 56, 19, 2, 15, 21], [0, 20, 12, 10, 0, 13, 35], [1, 9, 3, 20, 0, 4, 18]];[0.1320754716981132, 0.0, 0.007936507936507936, 0.2032520325203252, 0.015625, 0.14444444444444443, 0.32727272727272727];42.0;[4, 5, 10, 8, 2, 6, 7]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.9;20795212.0;0.8775510204081632;0.8986567090604358;[[4, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 1, 0], [0, 0, 10, 1, 0, 0, 0], [0, 0, 1, 7, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0], [0, 1, 0, 0, 0, 6, 0], [0, 0, 1, 0, 0, 1, 8]];[1.0, 0.8571428571428571, 0.9090909090909091, 0.875, 1.0, 0.8571428571428571, 0.8];0.4017372421281216;0.36520328345280034;[[40, 31, 18, 38, 2, 41, 31], [4, 105, 29, 21, 2, 43, 23], [12, 49, 141, 28, 3, 46, 34], [6, 36, 25, 149, 0, 42, 32], [7, 32, 21, 35, 15, 51, 34], [7, 56, 31, 22, 2, 183, 32], [4, 46, 34, 37, 0, 55, 107]];[0.19900497512437812, 0.46255506607929514, 0.4504792332268371, 0.5137931034482759, 0.07692307692307693, 0.5495495495495496, 0.37809187279151946];0.11627906976744186;0.10740637376503624;[[11, 11, 10, 16, 0, 56, 2], [0, 12, 41, 5, 0, 7, 1], [14, 9, 1, 24, 0, 76, 2], [5, 64, 25, 49, 8, 52, 43], [2, 19, 61, 15, 2, 14, 15], [0, 17, 9, 12, 0, 7, 45], [2, 19, 1, 19, 0, 1, 13]];[0.10377358490566038, 0.18181818181818182, 0.007936507936507936, 0.1991869918699187, 0.015625, 0.07777777777777778, 0.23636363636363636];49.0;[4, 7, 11, 8, 2, 7, 10]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.9;20795212.0;0.8571428571428571;0.8698018337769892;[[4, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 1, 0], [0, 0, 10, 0, 0, 1, 0], [0, 0, 1, 9, 0, 1, 0], [0, 0, 0, 0, 2, 0, 0], [0, 1, 0, 0, 0, 8, 0], [1, 0, 0, 0, 0, 1, 9]];[0.8, 0.8571428571428571, 0.9090909090909091, 0.8181818181818182, 1.0, 0.8888888888888888, 0.8181818181818182];0.40490463215258854;0.37018776408417314;[[45, 37, 20, 32, 2, 39, 25], [4, 105, 26, 25, 4, 40, 17], [14, 48, 143, 29, 3, 45, 26], [6, 49, 25, 153, 0, 47, 24], [7, 43, 22, 36, 16, 42, 24], [11, 58, 31, 19, 3, 183, 19], [14, 63, 31, 33, 1, 48, 98]];[0.225, 0.4751131221719457, 0.4642857142857143, 0.5032894736842105, 0.08421052631578947, 0.5648148148148148, 0.3402777777777778];0.11383108935128519;0.10771405142874715;[[14, 17, 10, 15, 1, 47, 2], [0, 11, 43, 5, 0, 6, 1], [14, 9, 1, 18, 0, 83, 1], [4, 74, 29, 45, 8, 46, 40], [8, 20, 62, 17, 2, 6, 13], [0, 14, 7, 17, 0, 8, 44], [2, 17, 1, 22, 0, 1, 12]];[0.1320754716981132, 0.16666666666666666, 0.007936507936507936, 0.18292682926829268, 0.015625, 0.08888888888888889, 0.21818181818181817];56.0;[5, 7, 11, 11, 2, 9, 11]
Cora;own;medoids;0.2;64;0.5;1;0.005;0.9;20795212.0;0.8888888888888888;0.8943148811161235;[[5, 0, 0, 0, 0, 0, 1], [0, 7, 0, 0, 0, 1, 0], [1, 0, 11, 0, 0, 0, 0], [0, 0, 0, 10, 0, 1, 0], [0, 0, 0, 0, 2, 0, 0], [0, 1, 0, 0, 0, 9, 0], [1, 0, 0, 0, 0, 1, 12]];[0.8333333333333334, 0.875, 0.9166666666666666, 0.9090909090909091, 1.0, 0.9, 0.8571428571428571];0.43544857768052514;0.3973277841594914;[[41, 27, 27, 22, 1, 39, 41], [3, 111, 27, 17, 2, 42, 24], [11, 38, 153, 18, 3, 41, 45], [3, 34, 24, 154, 1, 45, 28], [6, 33, 23, 27, 17, 44, 31], [13, 44, 34, 11, 2, 187, 33], [12, 50, 30, 25, 1, 50, 133]];[0.20707070707070707, 0.4911504424778761, 0.49514563106796117, 0.532871972318339, 0.09392265193370165, 0.5771604938271605, 0.4418604651162791];0.09057527539779682;0.08464877461803665;[[10, 9, 16, 12, 0, 48, 11], [0, 5, 50, 6, 0, 4, 1], [14, 8, 1, 19, 0, 81, 3], [4, 53, 36, 34, 5, 50, 64], [9, 15, 46, 12, 2, 6, 38], [0, 10, 8, 21, 0, 7, 44], [2, 15, 2, 19, 1, 1, 15]];[0.09433962264150944, 0.07575757575757576, 0.007936507936507936, 0.13821138211382114, 0.015625, 0.07777777777777778, 0.2727272727272727];63.0;[6, 8, 12, 11, 2, 10, 14]
