dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.0;0.0;[[]];[];0.3179479747844359;0.2890013190382709;[[689, 729, 1454], [523, 601, 4293], [582, 1832, 3098]];[0.23990250696378831, 0.11094701864500646, 0.5620464441219158];0.3145706558485463;0.2813938723564917;[[265, 316, 650], [206, 263, 1853], [253, 777, 1333]];[0.21527213647441104, 0.11326442721791559, 0.5641134151502327];0.0;[]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;1.0;1.0;[[1, 0, 0], [0, 1, 0], [0, 0, 1]];[1.0, 1.0, 1.0];0.4857950427598203;0.3999397542266106;[[689, 2426, 63], [170, 5023, 122], [1441, 2873, 991]];[0.21680302076777846, 0.9450611476952022, 0.1868049010367578];0.5082826233941853;0.41564804440460157;[[249, 978, 4], [31, 2244, 47], [679, 1170, 514]];[0.20227457351746547, 0.9664082687338501, 0.21752010156580617];3.0;[1, 1, 1]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;1.0;1.0;[[1, 0, 0], [0, 2, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.49300471185212036;0.4359825498018566;[[496, 1864, 804], [127, 2716, 2481], [1010, 708, 3589]];[0.15676359039190899, 0.5101427498121713, 0.6762766157904654];0.5098039215686274;0.4420809555999418;[[181, 825, 225], [25, 1205, 1092], [488, 245, 1630]];[0.14703493095044678, 0.5189491817398794, 0.6898011002962336];6.0;[1, 2, 3]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.8888888888888888;0.8857142857142857;[[2, 1, 0], [0, 3, 0], [0, 0, 3]];[0.6666666666666666, 1.0, 1.0];0.5432134570765661;0.4660672505042894;[[470, 2475, 230], [90, 4775, 468], [1091, 1946, 2247]];[0.14803149606299212, 0.895368460528783, 0.42524602573807724];0.5660919540229885;0.474856421043083;[[156, 1040, 35], [9, 2146, 167], [565, 751, 1047]];[0.12672623883021933, 0.9242032730404823, 0.4430808294540838];9.0;[3, 3, 3]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.75;0.6863636363636364;[[1, 2, 1], [0, 3, 0], [0, 0, 5]];[0.25, 1.0, 1.0];0.530422800783233;0.4442513766940921;[[271, 2228, 662], [42, 3498, 1784], [524, 1235, 3545]];[0.08573236317621007, 0.6570247933884298, 0.6683634992458521];0.5476673427991886;0.4397404746183473;[[60, 986, 185], [3, 1568, 751], [280, 471, 1612]];[0.048740861088545896, 0.6752799310938846, 0.6821836648328397];12.0;[4, 3, 5]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.8;0.7648351648351648;[[2, 2, 1], [0, 4, 0], [0, 0, 6]];[0.4, 1.0, 1.0];0.5488176410851588;0.4730322899476905;[[398, 2173, 590], [66, 3621, 1640], [608, 1143, 3547]];[0.12590952230306865, 0.6797446968274826, 0.6694979237448093];0.5713319810682894;0.4822310483210297;[[140, 942, 149], [7, 1620, 695], [323, 420, 1620]];[0.11372867587327376, 0.6976744186046512, 0.6855691917054592];15.0;[5, 4, 6]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.8333333333333334;0.8303872053872053;[[4, 1, 1], [0, 4, 0], [1, 0, 7]];[0.6666666666666666, 1.0, 0.875];0.5784662265109193;0.5357176985201353;[[864, 1560, 730], [163, 3285, 1875], [627, 855, 3824]];[0.27393785668991755, 0.6171331955664099, 0.7206935544666415];0.6149425287356322;0.5668727379356889;[[370, 663, 198], [32, 1504, 786], [311, 288, 1764]];[0.3005686433793664, 0.6477174849267873, 0.7465086754126111];18.0;[6, 4, 8]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.9047619047619048;0.914141414141414;[[5, 0, 2], [0, 4, 0], [0, 0, 10]];[0.7142857142857143, 1.0, 1.0];0.6719158200290276;0.6513953451854415;[[1565, 861, 799], [288, 3939, 1084], [715, 774, 3755]];[0.48527131782945737, 0.7416682357371494, 0.7160564454614798];0.7373225152129818;0.7180901570129574;[[736, 293, 202], [70, 1855, 397], [330, 262, 1771]];[0.5978878960194963, 0.7988802756244616, 0.7494710114261532];21.0;[7, 4, 10]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.9583333333333334;0.9619047619047619;[[7, 0, 0], [0, 6, 0], [1, 0, 10]];[1.0, 1.0, 0.9090909090909091];0.6211802279160921;0.6096986714098723;[[1883, 633, 704], [540, 3820, 953], [1589, 800, 2855]];[0.5847826086956521, 0.7189911537737624, 0.5444317315026698];0.6632860040567952;0.648652684828004;[[817, 185, 229], [164, 1799, 359], [765, 290, 1308]];[0.6636880584890333, 0.7747631352282515, 0.5535336436732966];24.0;[7, 6, 11]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;0.9629629629629629;0.9619047619047619;[[7, 0, 0], [0, 9, 0], [1, 0, 10]];[1.0, 1.0, 0.9090909090909091];0.5571366342384202;0.49783356463267364;[[753, 1926, 475], [190, 4663, 539], [1420, 1550, 2258]];[0.2387444514901712, 0.8647997032640949, 0.4319051262433053];0.5752197430696416;0.5010865149666702;[[249, 820, 162], [36, 2099, 187], [729, 579, 1055]];[0.20227457351746547, 0.9039621016365202, 0.44646635632670334];27.0;[7, 9, 11]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;20795212.0;1.0;1.0;[[8, 0, 0], [0, 10, 0], [0, 0, 12]];[1.0, 1.0, 1.0];0.5727252922808801;0.5265150642626951;[[945, 1731, 478], [217, 4436, 737], [1442, 1279, 2506]];[0.29961953075459735, 0.8230055658627087, 0.4794337095848479];0.5924611223799865;0.5310172924377535;[[322, 748, 161], [44, 2019, 259], [727, 472, 1164]];[0.26157595450852966, 0.8695090439276486, 0.49259415996614475];30.0;[8, 10, 12]


PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;649695571.0;0.0;0.0;[[]];[];0.2772987464676473;0.2011617958471843;[[86, 2477, 309], [199, 3164, 2054], [1185, 3750, 577]];[0.029944289693593314, 0.5840871330995016, 0.10468069666182873];0.28177822853279244;0.20885562755096698;[[44, 1060, 127], [96, 1343, 883], [510, 1573, 280]];[0.03574329813160033, 0.578380706287683, 0.1184934405416843];0.0;[]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;649695571.0;1.0;1.0;[[2, 0], [0, 1]];[1.0, 1.0];0.43042469923177273;0.35742359605376023;[[2726, 0, 373], [1683, 0, 3616], [2187, 0, 3213]];[0.8796385930945466, 0.0, 0.595];0.4477687626774848;0.37462903283459664;[[1214, 0, 17], [702, 0, 1620], [928, 0, 1435]];[0.9861900893582454, 0.0, 0.6072788827761321];3.0;[2, 0, 1]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;649695571.0;1.0;1.0;[[3, 0], [0, 3]];[1.0, 1.0];0.44856832185574486;0.3765056309021393;[[2265, 0, 829], [754, 0, 4533], [1491, 0, 3923]];[0.7320620555914673, 0.0, 0.7246028814185446];0.4643340094658553;0.39568319606887997;[[1020, 0, 211], [294, 0, 2028], [636, 0, 1727]];[0.8285946385052803, 0.0, 0.7308506136267456];6.0;[3, 0, 3]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;649695571.0;0.7777777777777778;0.7579365079365079;[[3, 0, 0], [0, 1, 1], [1, 0, 3]];[1.0, 0.5, 0.75];0.4703451276102088;0.47981525273089315;[[1875, 931, 275], [575, 2060, 2660], [1197, 1667, 2552]];[0.6085686465433301, 0.3890462700661001, 0.4711964549483013];0.49239350912778906;0.5036034369536694;[[830, 390, 11], [219, 920, 1183], [534, 666, 1163]];[0.6742485783915516, 0.3962101636520241, 0.4921709691070673];9.0;[3, 2, 4]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;649695571.0;0.8333333333333334;0.832010582010582;[[3, 0, 0], [1, 3, 0], [1, 0, 4]];[1.0, 0.75, 0.8];0.6234679817245631;0.6171755073686518;[[2123, 744, 204], [472, 3815, 1020], [1475, 1277, 2659]];[0.6913057635949202, 0.7188618805351422, 0.4914063943818148];0.6578769438810007;0.6522205502682986;[[953, 268, 10], [160, 1720, 442], [656, 488, 1219]];[0.7741673436230707, 0.7407407407407407, 0.5158696572154041];12.0;[3, 4, 5]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;649695571.0;1.0;1.0;[[3, 0, 0], [0, 6, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.5701436239663427;0.5070301380312351;[[553, 2047, 453], [74, 3661, 1556], [296, 1500, 3646]];[0.1811333114968883, 0.6919296919296919, 0.6699742741639103];0.6051386071670047;0.5397266928216883;[[254, 870, 107], [8, 1667, 647], [159, 545, 1659]];[0.20633631194151097, 0.7179155900086133, 0.7020736352094795];15.0;[3, 6, 6]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;649695571.0;0.8888888888888888;0.9107142857142857;[[3, 0, 0], [0, 7, 1], [0, 1, 6]];[1.0, 0.875, 0.8571428571428571];0.5591670898933468;0.5096758728643124;[[692, 1933, 416], [107, 3538, 1662], [536, 1422, 3477]];[0.22755672476159158, 0.6666666666666666, 0.6397424103035878];0.5936443542934415;0.5458212363416111;[[333, 803, 95], [13, 1605, 704], [262, 527, 1574]];[0.27051177904142976, 0.6912144702842378, 0.6661024121878968];18.0;[3, 8, 7]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;649695571.0;0.9047619047619048;0.9037037037037038;[[4, 0, 0], [0, 7, 1], [1, 0, 8]];[1.0, 0.875, 0.8888888888888888];0.6307692307692307;0.6082812658093064;[[1222, 1166, 633], [140, 3290, 1864], [273, 1012, 4180]];[0.40450182058920886, 0.6214582546278806, 0.7648673376029277];0.6751183231913455;0.6597721009191096;[[599, 436, 196], [42, 1497, 783], [104, 361, 1898]];[0.48659626320064986, 0.6447028423772609, 0.8032162505289886];21.0;[4, 8, 9]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;649695571.0;0.9583333333333334;0.9649122807017544;[[5, 0, 0], [0, 9, 0], [0, 1, 9]];[1.0, 1.0, 0.9];0.6263337446468752;0.6042527590499811;[[1229, 1081, 696], [151, 3385, 1758], [372, 1090, 4015]];[0.40884896872920823, 0.6394030978466189, 0.7330655468322074];0.6619337390128465;0.6457432035463224;[[590, 419, 222], [40, 1522, 760], [162, 397, 1804]];[0.479285134037368, 0.6554694229112834, 0.7634363097757089];24.0;[5, 9, 10]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;649695571.0;0.8518518518518519;0.8395989974937343;[[5, 1, 1], [0, 9, 0], [2, 0, 9]];[0.7142857142857143, 1.0, 0.8181818181818182];0.6335850152461159;0.6240042445817169;[[1653, 787, 567], [357, 3349, 1574], [744, 1018, 3725]];[0.5497173262387762, 0.634280303030303, 0.6788773464552579];0.6724137931034483;0.667499680023966;[[785, 275, 171], [119, 1520, 683], [309, 381, 1673]];[0.6376929325751421, 0.6546080964685616, 0.7079983072365637];27.0;[7, 9, 11]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;649695571.0;0.9333333333333333;0.934126984126984;[[7, 0, 0], [0, 10, 1], [1, 0, 11]];[1.0, 0.9090909090909091, 0.9166666666666666];0.6207247113499382;0.6058747833658279;[[1475, 833, 691], [253, 2748, 2266], [501, 679, 4325]];[0.49183061020340113, 0.5217391304347826, 0.7856494096276113];0.6526369168356998;0.6431750586212421;[[684, 326, 221], [74, 1243, 1005], [194, 235, 1934]];[0.5556458164094232, 0.5353143841515935, 0.8184511214557766];30.0;[7, 11, 12]


PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;831763849.0;0.0;0.0;[[]];[];0.16716179986957466;0.15163423432367232;[[1544, 596, 732], [4328, 175, 914], [3181, 1743, 588]];[0.5376044568245125, 0.03230570426435296, 0.10667634252539913];0.1643002028397566;0.1488545954290443;[[656, 272, 303], [1887, 68, 367], [1359, 756, 248]];[0.5329000812347685, 0.029285099052540915, 0.10495133305120609];0.0;[]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;831763849.0;1.0;1.0;[[1, 0], [0, 2]];[1.0, 1.0];0.4958689665168865;0.4069053808355389;[[1754, 0, 1349], [573, 0, 4677], [357, 0, 5088]];[0.5652594263615855, 0.0, 0.934435261707989];0.5163962136578769;0.43414492721327863;[[815, 0, 416], [267, 0, 2055], [123, 0, 2240]];[0.6620633631194152, 0.0, 0.9479475243334744];3.0;[1, 0, 2]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;831763849.0;1.0;1.0;[[1, 0, 0], [0, 2, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.585501993475897;0.5811922797320036;[[1371, 1018, 710], [222, 3285, 1759], [181, 1828, 3421]];[0.44240077444336884, 0.6238131409039119, 0.6300184162062615];0.6333671399594321;0.6341673974351978;[[637, 362, 232], [90, 1564, 668], [43, 774, 1546]];[0.5174654752233956, 0.673557278208441, 0.6542530681337283];6.0;[1, 2, 3]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;831763849.0;0.6666666666666666;0.5357142857142857;[[0, 2, 1], [0, 3, 0], [0, 0, 3]];[0.0, 1.0, 1.0];0.4868764501160093;0.42775341738127165;[[517, 1831, 777], [242, 2117, 2904], [181, 1142, 4081]];[0.16544, 0.40224206726201783, 0.7551813471502591];0.5221433400946586;0.47023104054338233;[[270, 768, 193], [108, 990, 1224], [58, 476, 1829]];[0.21933387489845654, 0.4263565891472868, 0.774016081252645];9.0;[3, 3, 3]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;831763849.0;0.9166666666666666;0.9153439153439153;[[4, 0, 0], [0, 4, 0], [0, 1, 3]];[1.0, 1.0, 0.75];0.600261077670607;0.591944779883805;[[2229, 717, 173], [486, 4078, 703], [1171, 2262, 1970]];[0.7146521320936198, 0.7742547940003798, 0.3646122524523413];0.6485801217038539;0.6427548023562201;[[1016, 189, 26], [173, 1906, 243], [447, 1001, 915]];[0.8253452477660439, 0.8208440999138673, 0.3872196360558612];12.0;[4, 4, 4]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;831763849.0;0.9333333333333333;0.9326599326599326;[[5, 0, 0], [0, 5, 0], [0, 1, 4]];[1.0, 1.0, 0.8];0.6283185840707964;0.6270386131082887;[[2317, 561, 251], [506, 3941, 819], [958, 2029, 2404]];[0.7404921700223713, 0.7483858716293201, 0.4459283991838249];0.6786680189317106;0.6800537466807205;[[1057, 115, 59], [190, 1846, 286], [364, 887, 1112]];[0.8586515028432169, 0.7950043066322137, 0.47058823529411764];15.0;[5, 5, 5]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;831763849.0;0.8333333333333334;0.8156288156288155;[[6, 0, 0], [0, 6, 0], [2, 1, 3]];[1.0, 1.0, 0.5];0.5551041137633317;0.517977466696291;[[2645, 477, 67], [801, 4063, 388], [2512, 1887, 943]];[0.8294136092819065, 0.7736100533130236, 0.1765256458255335];0.581473968897904;0.5395306969441955;[[1164, 61, 6], [292, 1880, 150], [1149, 818, 396]];[0.9455727051177905, 0.8096468561584841, 0.1675835801946678];18.0;[6, 6, 6]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;831763849.0;0.9523809523809523;0.952153110047847;[[5, 0, 1], [0, 6, 0], [0, 0, 9]];[0.8333333333333334, 1.0, 1.0];0.6205370101596517;0.6038376970883806;[[1857, 1100, 228], [291, 4318, 629], [1361, 1620, 2376]];[0.5830455259026688, 0.8243604429171439, 0.44353182751540043];0.6563556457065585;0.6378142103033465;[[818, 370, 43], [73, 1998, 251], [632, 664, 1067]];[0.6645004061738424, 0.8604651162790697, 0.45154464663563265];21.0;[6, 6, 9]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.1;831763849.0;0.875;0.8746031746031746;[[5, 0, 1], [0, 7, 1], [1, 0, 9]];[0.8333333333333334, 0.875, 0.9];0.6215431516295274;0.6080124971315571;[[1895, 1016, 272], [323, 4111, 815], [1449, 1339, 2557]];[0.5953502984605717, 0.78319679939036, 0.47839101964452757];0.6561866125760649;0.6401293334169206;[[828, 350, 53], [84, 1913, 325], [685, 537, 1141]];[0.6726238830219334, 0.8238587424633936, 0.4828607702073635];24.0;[6, 8, 10]
