dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;20795212.0;0.0;0.0;[[]];[];0.49655822041881026;0.3775571503001987;[[61, 1820, 991], [74, 4365, 978], [270, 2815, 2427]];[0.021239554317548745, 0.8057965663651467, 0.4403120464441219];0.4978025693035835;0.37900190234869613;[[28, 771, 432], [34, 1877, 411], [111, 1212, 1040]];[0.022745735174654752, 0.8083548664944014, 0.44011849344054166];0.0;[]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;20795212.0;1.0;1.0;[[1, 0, 0], [0, 1, 0], [0, 0, 1]];[1.0, 1.0, 1.0];0.4272358312798956;0.36687968873492366;[[257, 1099, 2287], [557, 3062, 1431], [505, 2024, 2576]];[0.07054625308811419, 0.6063366336633663, 0.5046033300685603];0.49864773495605136;0.393758598029674;[[9, 137, 1085], [272, 1680, 370], [260, 842, 1261]];[0.007311129163281885, 0.7235142118863049, 0.5336436732966567];3.0;[1, 1, 1]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;20795212.0;1.0;1.0;[[1, 0, 0], [0, 3, 0], [0, 0, 2]];[1.0, 1.0, 1.0];0.43443276549474447;0.36300982836987944;[[197, 1345, 2091], [429, 3368, 1256], [370, 2311, 2428]];[0.05422515827140104, 0.6665347318424698, 0.4752397729496966];0.5155510480054091;0.39704856785085046;[[2, 226, 1003], [214, 1836, 272], [205, 946, 1212]];[0.0016246953696181965, 0.7906976744186046, 0.512907321201862];6.0;[1, 3, 2]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;20795212.0;0.8888888888888888;0.9047619047619048;[[2, 0, 0], [0, 3, 0], [0, 1, 3]];[1.0, 1.0, 0.75];0.4085701856148492;0.380944469588732;[[557, 739, 2363], [999, 2556, 1491], [1288, 1277, 2522]];[0.1522273845312927, 0.5065398335315101, 0.49577354039709065];0.4464164976335362;0.38683769686619546;[[32, 60, 1139], [436, 1486, 400], [787, 453, 1123]];[0.025995125913891144, 0.6399655469422911, 0.4752433347439695];9.0;[2, 3, 4]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;20795212.0;0.9166666666666666;0.9326599326599326;[[2, 0, 0], [0, 5, 0], [0, 1, 4]];[1.0, 1.0, 0.8];0.40691855827108564;0.3566547023538084;[[381, 1230, 2007], [641, 3338, 1117], [836, 2347, 1892]];[0.10530679933665009, 0.6550235478806907, 0.372807881773399];0.4445571331981068;0.3520766530770379;[[14, 167, 1050], [281, 1791, 250], [510, 1028, 825]];[0.011372867587327376, 0.7713178294573644, 0.34913245873889126];12.0;[2, 5, 5]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;20795212.0;0.9333333333333333;0.9474747474747475;[[2, 0, 0], [0, 7, 0], [0, 1, 5]];[1.0, 1.0, 0.8333333333333334];0.41919338459306543;0.3583843489124186;[[278, 1081, 2256], [383, 3338, 1374], [543, 2370, 2163]];[0.0769017980636238, 0.6551521099116782, 0.42612293144208035];0.4557133198106829;0.35408283279450786;[[4, 66, 1161], [179, 1767, 376], [352, 1086, 925]];[0.003249390739236393, 0.7609819121447028, 0.3914515446466356];15.0;[2, 7, 6]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;20795212.0;0.8888888888888888;0.8436400201106083;[[2, 1, 1], [0, 8, 0], [0, 0, 6]];[0.5, 1.0, 1.0];0.3851120946093013;0.3320142389637583;[[326, 1209, 2080], [493, 3276, 1334], [649, 2710, 1706]];[0.09017980636237898, 0.6419753086419753, 0.3368213228035538];0.3901284651791751;0.30080656094671493;[[14, 137, 1080], [224, 1674, 424], [397, 1346, 620]];[0.011372867587327376, 0.7209302325581395, 0.26237833262801524];18.0;[4, 8, 6]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;20795212.0;0.8095238095238095;0.7491228070175439;[[2, 1, 2], [0, 9, 0], [1, 0, 6]];[0.4, 1.0, 0.8571428571428571];0.36567489114658924;0.31424328129263573;[[318, 1307, 1989], [521, 3182, 1393], [620, 2911, 1539]];[0.08799114554510237, 0.6244113029827315, 0.30355029585798815];0.35344827586206895;0.2699888219592286;[[12, 178, 1041], [248, 1568, 506], [379, 1473, 511]];[0.00974817221770918, 0.6752799310938846, 0.21625052898857386];21.0;[5, 9, 7]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;20795212.0;0.875;0.8469791078486731;[[4, 1, 0], [0, 11, 0], [2, 0, 6]];[0.8, 1.0, 0.75];0.407998838644117;0.35441458841237744;[[527, 1720, 1357], [499, 3724, 874], [678, 3028, 1370]];[0.14622641509433962, 0.7306258583480478, 0.2698975571315997];0.43492224475997293;0.36029129042417285;[[177, 370, 684], [212, 1843, 267], [375, 1435, 553]];[0.1437855402112104, 0.7937123169681309, 0.23402454506982648];24.0;[5, 11, 8]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;20795212.0;1.0;1.0;[[5, 0, 0], [0, 12, 0], [0, 0, 10]];[1.0, 1.0, 1.0];0.46660374618847106;0.4463129715239394;[[1003, 1299, 1296], [333, 3227, 1477], [617, 2325, 2197]];[0.27876598110061146, 0.6406591224935477, 0.4275150807550107];0.5456389452332657;0.5331283923517031;[[533, 196, 502], [58, 1694, 570], [272, 1090, 1001]];[0.4329813160032494, 0.7295434969853575, 0.42361404993652135];27.0;[5, 12, 10]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;20795212.0;0.9666666666666667;0.960233918128655;[[7, 0, 0], [0, 13, 0], [1, 0, 9]];[1.0, 1.0, 0.9];0.4639459734224094;0.4500090109429075;[[1136, 1110, 1366], [429, 3007, 1594], [817, 2066, 2246]];[0.31450719822812845, 0.5978131212723659, 0.43790212517059857];0.535158891142664;0.5262747987584272;[[571, 129, 531], [86, 1584, 652], [392, 960, 1011]];[0.46385052802599513, 0.6821705426356589, 0.4278459585272958];30.0;[7, 13, 10]


PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;649695571.0;0.0;0.0;[[]];[];0.1685385117020506;0.15723499609751027;[[1401, 1334, 137], [2752, 257, 2408], [4071, 773, 668]];[0.4878133704735376, 0.04744323426250692, 0.12119013062409288];0.16548343475321162;0.1555307028985344;[[574, 583, 74], [1158, 113, 1051], [1724, 347, 292]];[0.4662875710804224, 0.04866494401378122, 0.12357173085061363];0.0;[]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;649695571.0;1.0;1.0;[[1, 0], [0, 2]];[1.0, 1.0];0.3750543557037252;0.2176497183766798;[[228, 0, 3347], [911, 0, 4067], [298, 0, 4947]];[0.06377622377622377, 0.0, 0.9431839847473784];0.39080459770114945;0.20821617471952436;[[20, 0, 1211], [596, 0, 1726], [71, 0, 2292]];[0.016246953696181964, 0.0, 0.9699534490055015];3.0;[1, 0, 2]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;649695571.0;1.0;1.0;[[1, 0, 0], [0, 2, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.4942370424066691;0.39717735609722976;[[91, 2274, 1137], [389, 3839, 857], [171, 2149, 2888]];[0.025985151342090233, 0.7549655850540806, 0.554531490015361];0.5899256254225829;0.4554837363747173;[[1, 892, 338], [268, 1910, 144], [43, 741, 1579]];[0.0008123476848090983, 0.8225667527993109, 0.6682183664832839];6.0;[1, 2, 3]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;649695571.0;0.8888888888888888;0.8518518518518517;[[1, 0, 1], [0, 3, 0], [0, 0, 4]];[0.5, 1.0, 1.0];0.5100058004640371;0.3926271759630666;[[23, 2001, 1473], [74, 4070, 938], [48, 2224, 2941]];[0.00657706605661996, 0.8008658008658008, 0.5641665068098983];0.6276200135226504;0.4689681729094252;[[0, 679, 552], [60, 2122, 140], [17, 755, 1591]];[0.0, 0.9138673557278209, 0.6732966567922133];9.0;[2, 3, 4]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;649695571.0;0.75;0.6944444444444445;[[1, 1, 1], [0, 3, 0], [0, 1, 5]];[0.3333333333333333, 1.0, 0.8333333333333334];0.49118862861701357;0.400153547757359;[[148, 1982, 1370], [368, 3910, 791], [303, 2202, 2715]];[0.04228571428571429, 0.7713552969027422, 0.5201149425287356];0.5872210953346856;0.4562140559454946;[[17, 691, 523], [222, 2008, 92], [139, 775, 1449]];[0.01380991064175467, 0.8647717484926787, 0.6132035548032162];12.0;[3, 3, 6]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;649695571.0;0.7333333333333333;0.7252525252525253;[[3, 1, 0], [0, 5, 0], [3, 0, 3]];[0.75, 1.0, 0.5];0.4597417670100102;0.45278133586390884;[[1974, 949, 597], [1850, 2900, 321], [2466, 1265, 1464]];[0.5607954545454545, 0.5718793137448235, 0.2818094321462945];0.545131845841785;0.5360229983206964;[[881, 156, 194], [772, 1544, 6], [1134, 429, 800]];[0.7156783103168156, 0.664944013781223, 0.33855268726195514];15.0;[4, 5, 6]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;649695571.0;0.9444444444444444;0.9474747474747476;[[5, 0, 0], [0, 5, 0], [0, 1, 7]];[1.0, 1.0, 0.875];0.4903141551186244;0.4810433401721353;[[1528, 1152, 839], [1429, 3075, 558], [1518, 1529, 2155]];[0.4342142654163115, 0.607467404188068, 0.4142637447135717];0.5828262339418526;0.5649019139009432;[[650, 308, 273], [647, 1628, 47], [660, 533, 1170]];[0.5280259951259139, 0.7011197243755384, 0.4951333051206094];18.0;[5, 5, 8]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;649695571.0;0.9523809523809523;0.952136752136752;[[7, 0, 0], [0, 6, 0], [0, 1, 7]];[1.0, 1.0, 0.875];0.5297532656023222;0.5163549561757986;[[1544, 1124, 873], [1030, 3435, 609], [1176, 1668, 2321]];[0.4360350183563965, 0.6769806858494285, 0.4493707647628267];0.6556795131845842;0.6365725912006548;[[752, 220, 259], [411, 1844, 67], [460, 620, 1283]];[0.6108854589764419, 0.7941429801894918, 0.5429538721963606];21.0;[7, 6, 8]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;649695571.0;0.9583333333333334;0.9547511312217193;[[9, 0, 0], [0, 6, 0], [0, 1, 8]];[1.0, 1.0, 0.8888888888888888];0.5263845539667562;0.517810297940161;[[1680, 1032, 850], [1224, 3187, 642], [1240, 1537, 2385]];[0.4716451431779899, 0.6307144270730259, 0.46203022084463385];0.6533130493576741;0.6393742414611322;[[804, 195, 232], [530, 1705, 87], [464, 543, 1356]];[0.6531275385865151, 0.7342807924203273, 0.573846804909014];24.0;[9, 6, 9]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;649695571.0;0.9629629629629629;0.960233918128655;[[9, 0, 0], [1, 7, 0], [0, 0, 10]];[1.0, 0.875, 1.0];0.5257731958762887;0.5175468386613428;[[1658, 1018, 863], [1281, 3111, 648], [1275, 1447, 2473]];[0.4684939248375247, 0.6172619047619048, 0.47603464870067375];0.6455375253549696;0.6308150485357555;[[776, 210, 245], [560, 1671, 91], [474, 517, 1372]];[0.6303818034118602, 0.7196382428940569, 0.5806178586542531];27.0;[9, 8, 10]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;649695571.0;0.9;0.8972222222222221;[[9, 0, 0], [1, 7, 0], [1, 1, 11]];[1.0, 0.875, 0.8461538461538461];0.5271948297146177;0.5163783155766292;[[1540, 1065, 919], [1207, 3169, 657], [1204, 1459, 2551]];[0.4370034052213394, 0.6296443473077687, 0.4892596854622171];0.6460446247464503;0.6283175599978031;[[732, 235, 264], [529, 1705, 88], [459, 519, 1385]];[0.59463850528026, 0.7342807924203273, 0.5861193398222598];30.0;[9, 8, 13]


PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;831763849.0;0.0;0.0;[[]];[];0.3433809144264908;0.3385420771355095;[[1107, 762, 1003], [1105, 1055, 3257], [883, 2052, 2577]];[0.3854456824512535, 0.19475724570795644, 0.46752539912917274];0.34279918864097364;0.3377960389371217;[[462, 319, 450], [470, 466, 1386], [365, 898, 1100]];[0.3753046303818034, 0.20068906115417742, 0.46550994498518833];0.0;[]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;831763849.0;1.0;1.0;[[1, 0], [0, 2]];[1.0, 1.0];0.4716625597912741;0.3531607356339162;[[0, 2672, 910], [0, 4359, 725], [0, 2983, 2149]];[0.0, 0.8573957513768686, 0.41874512860483243];0.5711629479377958;0.41955668491896114;[[0, 928, 303], [0, 2190, 132], [0, 1174, 1189]];[0.0, 0.9431524547803618, 0.5031739314430809];3.0;[0, 1, 2]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;831763849.0;1.0;1.0;[[1, 0, 0], [0, 2, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.4617615077926785;0.38096643515671724;[[159, 1362, 2073], [472, 2655, 1951], [309, 1258, 3556]];[0.04424040066777963, 0.5228436392280426, 0.6941245364044505];0.5569641649763354;0.42911005455897516;[[0, 457, 774], [259, 1436, 627], [132, 372, 1859]];[0.0, 0.6184323858742463, 0.7867118070249682];6.0;[1, 2, 3]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;831763849.0;1.0;1.0;[[1, 0, 0], [0, 4, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.45925174013921116;0.36406033138813626;[[128, 2830, 616], [306, 4350, 447], [297, 2962, 1856]];[0.03581421376608842, 0.8524397413286302, 0.36285434995112414];0.5444557133198107;0.4115438823068418;[[0, 1054, 177], [158, 2149, 15], [137, 1154, 1072]];[0.0, 0.9254952627045651, 0.4536606009310199];9.0;[1, 4, 4]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;831763849.0;0.9166666666666666;0.8585858585858586;[[1, 1, 0], [0, 5, 0], [0, 0, 5]];[0.5, 1.0, 1.0];0.47269562694901734;0.3694334828739141;[[88, 2814, 671], [188, 4428, 488], [213, 2897, 2002]];[0.02462916316820599, 0.8675548589341693, 0.39162754303599373];0.5672751859364435;0.42647760754627745;[[0, 1038, 193], [100, 2202, 20], [105, 1104, 1154]];[0.0, 0.9483204134366925, 0.4883622513753703];12.0;[2, 5, 5]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;831763849.0;0.8666666666666667;0.7857142857142857;[[1, 2, 0], [0, 6, 0], [0, 0, 6]];[0.3333333333333333, 1.0, 1.0];0.4736689395038445;0.37784229628341026;[[123, 2725, 718], [269, 4327, 512], [327, 2705, 2080]];[0.034492428491306786, 0.8471025841816758, 0.40688575899843504];0.5684584178498986;0.43148330856667716;[[0, 1012, 219], [127, 2169, 26], [162, 1007, 1194]];[0.0, 0.9341085271317829, 0.505289885738468];15.0;[3, 6, 6]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;831763849.0;0.7777777777777778;0.7428571428571429;[[2, 1, 1], [0, 6, 1], [1, 0, 6]];[0.5, 0.8571428571428571, 0.8571428571428571];0.48400203148806503;0.4234454218463907;[[432, 2032, 1100], [578, 3833, 728], [641, 2033, 2406]];[0.12121212121212122, 0.745864954271259, 0.4736220472440945];0.5841784989858012;0.4913555776689682;[[136, 686, 409], [249, 1996, 77], [349, 690, 1324]];[0.11047928513403736, 0.859603789836348, 0.5603046974185357];18.0;[4, 7, 7]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;831763849.0;0.9047619047619048;0.9;[[5, 0, 0], [1, 7, 0], [1, 0, 7]];[1.0, 0.875, 0.875];0.5398403483309143;0.5211513249264776;[[1647, 1315, 602], [740, 3956, 445], [867, 2372, 1836]];[0.4621212121212121, 0.7695000972573429, 0.36177339901477834];0.677315753887762;0.6636082204467092;[[884, 167, 180], [241, 2067, 14], [322, 985, 1056]];[0.7181153533712429, 0.8901808785529716, 0.4468895471857808];21.0;[5, 8, 8]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.3;831763849.0;0.8333333333333334;0.8263305322128852;[[5, 1, 1], [2, 7, 0], [0, 0, 8]];[0.7142857142857143, 0.7777777777777778, 1.0];0.5398853161065544;0.5184286514956937;[[1431, 1443, 695], [647, 3978, 518], [739, 2297, 2029]];[0.4009526478005043, 0.7734785144857087, 0.40059230009871666];0.6808654496281271;0.663081620241018;[[760, 248, 223], [197, 2100, 25], [253, 942, 1168]];[0.6173842404549147, 0.9043927648578811, 0.4942869234024545];24.0;[7, 9, 8]
