dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.8;20795212.0;0.0;0.0;[[]];[];0.4590971668719658;0.3661569756512067;[[333, 1521, 1018], [120, 4677, 620], [940, 3246, 1326]];[0.11594707520891365, 0.8633930219678789, 0.24056603773584906];0.4629817444219067;0.3717330633425999;[[155, 639, 437], [49, 2016, 257], [414, 1381, 568]];[0.12591389114541024, 0.8682170542635659, 0.24037240795598816];0.0;[]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.8;20795212.0;1.0;1.0;[[1, 0], [0, 2]];[1.0, 1.0];0.32236556022611973;0.23581351806343587;[[1027, 3968, 0], [1010, 3421, 0], [676, 3696, 0]];[0.20560560560560562, 0.7720604829609569, 0.0];0.4148073022312373;0.26575325194021576;[[188, 1043, 0], [56, 2266, 0], [904, 1459, 0]];[0.15272136474411047, 0.9758828596037898, 0.0];3.0;[1, 2]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.8;20795212.0;0.6666666666666666;0.625;[[1, 2], [0, 3]];[0.3333333333333333, 1.0];0.3210583544762595;0.2005864743765353;[[402, 4597, 0], [406, 4027, 0], [240, 4123, 0]];[0.08041608321664333, 0.9084141664786826, 0.0];0.39976335361730897;0.21697864283917853;[[47, 1184, 0], [4, 2318, 0], [393, 1970, 0]];[0.038180341186027617, 0.9982773471145564, 0.0];6.0;[3, 3]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.8;20795212.0;0.7777777777777778;0.6785714285714286;[[1, 2], [0, 6]];[0.3333333333333333, 1.0];0.32410092807424595;0.18669461647300611;[[221, 4740, 0], [241, 4249, 0], [138, 4203, 0]];[0.04454747026809111, 0.946325167037862, 0.0];0.3990872210953347;0.21259743257250527;[[42, 1189, 0], [3, 2319, 0], [218, 2145, 0]];[0.03411860276198213, 0.9987080103359173, 0.0];9.0;[3, 6]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.8;20795212.0;0.5;0.49927849927849915;[[2, 0, 1], [1, 3, 4], [0, 0, 1]];[0.6666666666666666, 0.375, 1.0];0.3320762926970774;0.24629533523225874;[[295, 377, 4277], [342, 461, 3687], [205, 322, 3823]];[0.05960800161648818, 0.10267260579064588, 0.8788505747126437];0.327079107505071;0.20786218312040208;[[85, 146, 1000], [6, 44, 2272], [271, 286, 1806]];[0.06904955320877336, 0.018949181739879414, 0.7642826914938637];12.0;[3, 8, 1]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.8;20795212.0;0.9333333333333333;0.8666666666666667;[[2, 0, 1], [0, 10, 0], [0, 0, 2]];[0.6666666666666666, 1.0, 1.0];0.36384738140142175;0.29756970980915454;[[82, 3111, 1692], [70, 3180, 1326], [43, 2528, 1754]];[0.016786079836233366, 0.6949300699300699, 0.4055491329479769];0.23935091277890466;0.17624256615929232;[[18, 757, 456], [0, 1054, 1268], [58, 1961, 344]];[0.01462225832656377, 0.45391903531438416, 0.1455776555226407];15.0;[3, 10, 2]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.8;20795212.0;0.8333333333333334;0.6888888888888888;[[3, 0, 1], [0, 11, 0], [2, 0, 1]];[0.75, 1.0, 0.3333333333333333];0.3584125371834869;0.2910778790669844;[[2005, 2761, 76], [1629, 2861, 71], [2128, 2178, 74]];[0.4140850888062784, 0.6272747204560404, 0.016894977168949773];0.26707234617985126;0.23492305478735542;[[634, 575, 22], [1440, 882, 0], [411, 1888, 64]];[0.5150284321689683, 0.3798449612403101, 0.027084214980956412];18.0;[4, 11, 3]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.8;20795212.0;0.8095238095238095;0.6863619472315124;[[5, 0, 1], [0, 11, 0], [2, 1, 1]];[0.8333333333333334, 1.0, 0.25];0.35711175616835994;0.3028378513675302;[[2353, 2344, 150], [1984, 2398, 172], [2526, 1683, 170]];[0.4854549205694244, 0.5265700483091788, 0.038821648778259873];0.2880324543610548;0.26949159601391576;[[838, 347, 46], [1630, 691, 1], [496, 1692, 175]];[0.6807473598700243, 0.297588285960379, 0.07405840033855268];21.0;[6, 11, 4]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.8;20795212.0;0.75;0.6296296296296297;[[5, 0, 1], [1, 12, 0], [2, 2, 1]];[0.8333333333333334, 0.9230769230769231, 0.2];0.34942295129563766;0.29121899745664753;[[1691, 2980, 155], [1425, 2954, 173], [1905, 2325, 169]];[0.35039370078740156, 0.6489455184534271, 0.03841782223232553];0.3299526707234618;0.29842102186992114;[[649, 520, 62], [1177, 1145, 0], [351, 1854, 158]];[0.5272136474411048, 0.49310938845822566, 0.06686415573423614];24.0;[6, 13, 5]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.8;20795212.0;0.7777777777777778;0.6339285714285715;[[5, 0, 1], [0, 15, 0], [3, 2, 1]];[0.8333333333333334, 1.0, 0.16666666666666666];0.34536082474226804;0.28722525339720617;[[1300, 3310, 208], [1095, 3214, 253], [1480, 2671, 243]];[0.26982150269821503, 0.7045155633494081, 0.05530268548020027];0.3561528059499662;0.31565444408743476;[[520, 599, 112], [915, 1393, 14], [276, 1893, 194]];[0.42242079610073113, 0.5999138673557278, 0.08209902666102412];27.0;[6, 15, 6]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0.8;20795212.0;0.9666666666666667;0.952136752136752;[[6, 0, 1], [0, 16, 0], [0, 0, 7]];[0.8571428571428571, 1.0, 1.0];0.37092440636119384;0.33341881559111003;[[487, 2928, 1393], [352, 3047, 1152], [411, 2427, 1574]];[0.10128951747088186, 0.6695231817183037, 0.35675430643699];0.26200135226504395;0.2040941257357636;[[44, 678, 509], [302, 1126, 894], [153, 1830, 380]];[0.03574329813160033, 0.48492678725236865, 0.1608125264494287];30.0;[7, 16, 7]


