;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;label_propagation_uncertainty_treshold;embedding_dim;hidden_dim_size;dropout;distance_loss_weight;learning_rate;;;;;;;;
Cora;model;7;-1;16;128;0.5;1;0.003;0.281395348837209;0.0566409100766537;0.184749969444267;0.0276406237407194;0.828571428571429;0.147542222712663;0.781079365079365;0.194660158932008
Cora;model;14;-1;16;128;0.5;1;0.003;0.322888616891065;0.0388596276509796;0.235387973551772;0.0554365449966891;0.785714285714286;0.138832187972507;0.778095238095238;0.146633751757999
Cora;model;21;-1;16;128;0.5;1;0.003;0.380171358629131;0.0814159505764297;0.310392035113178;0.0638540902959153;0.828571428571429;0.0815570322454929;0.795547673614901;0.075351287449483
Cora;model;28;-1;16;128;0.5;1;0.003;0.491432068543452;0.0744462690246714;0.403440755221762;0.0907850747938038;0.85;0.0690065559342354;0.810424125627912;0.0826206038302728
Cora;model;35;-1;16;128;0.5;1;0.003;0.478702570379437;0.0716018579371718;0.420940127484647;0.06411678826156;0.88;0.0421637021355784;0.834851869099989;0.0610460920473454
Cora;model;42;-1;16;128;0.5;1;0.003;0.516279069767442;0.0787059438415804;0.497855347968656;0.0712459364410455;0.885714285714286;0.0535934698924893;0.864878810040679;0.0586338060380887
Cora;model;49;-1;16;128;0.5;1;0.003;0.512362301101591;0.0967102023738423;0.48540968407056;0.101204481038435;0.859183673469388;0.0778309781494616;0.83276811638535;0.104177255958659
Cora;model;56;-1;16;128;0.5;1;0.003;0.538066095471236;0.0800967321268817;0.491401642101117;0.0909565477924932;0.855357142857143;0.0626839696042893;0.826656670542039;0.0761416384330667
Cora;model;63;-1;16;128;0.5;1;0.003;0.614932680538556;0.118381221445319;0.583751097075948;0.128180152649017;0.917460317460317;0.0538540133333311;0.909989737261002;0.0653807046041887
Cora;model;70;-1;16;128;0.5;1;0.003;0.629742962056304;0.0651703749635048;0.603053335592427;0.0859316670398799;0.935714285714286;0.027969857439216;0.932159844401183;0.0331637603212573
Cora;model;77;-1;16;128;0.5;1;0.003;0.676744186046512;0.0734993408868712;0.644459911664485;0.0853034331283469;0.936363636363636;0.0354079741068027;0.93153746504937;0.0376745364173713
Cora;model;84;-1;16;128;0.5;1;0.003;0.686658506731946;0.0449167162611926;0.665139711101172;0.0415917230131302;0.94047619047619;0.0336717514850737;0.937934831864499;0.0334940678566774
Cora;model;91;-1;16;128;0.5;1;0.003;0.701223990208078;0.0604453739427135;0.675228662207227;0.061087716997746;0.936263736263736;0.032267715085048;0.931625502876096;0.0352106745323557
Cora;model;98;-1;16;128;0.5;1;0.003;0.754345165238678;0.0290913403171551;0.735367707824222;0.028753938246732;0.93265306122449;0.0333957488670301;0.93265049478369;0.0341731475426955
Cora;model;105;-1;16;128;0.5;1;0.003;0.727294981640147;0.0410145301475637;0.706822217847316;0.0402806790989063;0.930476190476191;0.020598258028582;0.929466045787378;0.0266233758579719
Cora;model;112;-1;16;128;0.5;1;0.003;0.763525091799266;0.0361200411378303;0.748947168084161;0.0316160824345559;0.933035714285714;0.0263691148015913;0.930669028070783;0.0289806681973298
Cora;model;119;-1;16;128;0.5;1;0.003;0.7734394124847;0.0150400901033391;0.758338406677574;0.0107210785601525;0.926890756302521;0.034088611600171;0.923451642127509;0.0346680477617871
Cora;model;126;-1;16;128;0.5;1;0.003;0.778702570379437;0.0212221062179629;0.761691281264324;0.0244373350584025;0.923015873015873;0.0310888773448097;0.920183899059447;0.0310083007773272
Cora;model;133;-1;16;128;0.5;1;0.003;0.770869033047736;0.0494797610573782;0.760011599494699;0.0383698224212864;0.917293233082707;0.0298656022250952;0.91529011176001;0.030675449619555
Cora;model;140;-1;16;128;0.5;1;0.003;0.794981640146879;0.0168048105480367;0.779246941509414;0.0130842561239215;0.921428571428571;0.0277664375945015;0.919298767722542;0.0279711045341969
Cora;model;7;0.001;16;128;0.5;1;0.003;0.256548347613219;0.0873059630713342;0.20472009213693;0.0902903006842338;0.885714285714286;0.112687233963802;0.846357142857143;0.155744299568468
Cora;model;14;0.001;16;128;0.5;1;0.003;0.389106487148103;0.0699793499222159;0.340343725641998;0.0860805812799979;0.757142857142857;0.126884881852136;0.692275200989487;0.100821497444015
Cora;model;21;0.001;16;128;0.5;1;0.003;0.472949816401469;0.0542841152195443;0.428161489097669;0.0516435600870964;0.814285714285714;0.0823257300310472;0.757917940455534;0.0767344531559263
Cora;model;28;0.001;16;128;0.5;1;0.003;0.52484700122399;0.0672236995537904;0.480399772529089;0.0783345467124885;0.839285714285714;0.106811657410276;0.755551562775713;0.129233146020039
Cora;model;35;0.001;16;128;0.5;1;0.003;0.569889840881273;0.0691339604045827;0.528436187008643;0.0913221687484524;0.857142857142857;0.0555328751890028;0.786648319620263;0.0991754509043794
Cora;model;42;0.001;16;128;0.5;1;0.003;0.598776009791922;0.0526483389354414;0.572483547434945;0.0336777542868556;0.857142857142857;0.051434449987364;0.81955527608709;0.066371414677399
Cora;model;49;0.001;16;128;0.5;1;0.003;0.636352509179927;0.0687966462673908;0.627285879180974;0.0599772104093319;0.879591836734694;0.051314346028969;0.838380965893827;0.0756776159481372
Cora;model;56;0.001;16;128;0.5;1;0.003;0.687392900856793;0.0494272511939828;0.669695936153904;0.0509260407241805;0.892857142857143;0.0453319827729994;0.882804524839607;0.0472323653279344
Cora;model;63;0.001;16;128;0.5;1;0.003;0.719706242350061;0.0363094173174819;0.705376720349059;0.0376425437491126;0.887301587301587;0.0321404075100263;0.876363939214058;0.0377195929678498
Cora;model;70;0.001;16;128;0.5;1;0.003;0.744553243574051;0.0394558369077543;0.728413353179782;0.0385488658803022;0.901428571428571;0.0304538608672752;0.892240656160713;0.0384507162728588
Cora;model;77;0.001;16;128;0.5;1;0.003;0.756548347613219;0.0408748796866784;0.742861878772786;0.0378952757644107;0.88051948051948;0.0322793971988004;0.87035126350953;0.0346978390584985
Cora;model;84;0.001;16;128;0.5;1;0.003;0.770869033047736;0.028247992197038;0.756074970308998;0.0281786604307153;0.883333333333333;0.023676879190756;0.867780968994189;0.0219173623352834
Cora;model;91;0.001;16;128;0.5;1;0.003;0.772093023255814;0.0282597754504588;0.759309511688225;0.0289787437157725;0.858241758241758;0.0222510513530952;0.847036233078866;0.0237491510411562
Cora;model;98;0.001;16;128;0.5;1;0.003;0.766707466340269;0.0334865666786828;0.756391226379717;0.0318261121672028;0.859183673469388;0.0158080952906425;0.847748974841961;0.0100378063083174
Cora;model;105;0.001;16;128;0.5;1;0.003;0.777478580171359;0.0249232245844366;0.765616304014611;0.0268381596475017;0.861904761904762;0.0250974417473681;0.852150022470937;0.0264641729137974
Cora;model;112;0.001;16;128;0.5;1;0.003;0.778702570379437;0.0195651345424371;0.768619557984308;0.021118205669396;0.851785714285714;0.0323844535922272;0.842071561187951;0.033414346181056
Cora;model;119;0.001;16;128;0.5;1;0.003;0.785801713586291;0.0283726456967991;0.774346249905408;0.0295665936116984;0.857142857142857;0.0253652244765754;0.849268231345855;0.0238122391764972
Cora;model;126;0.001;16;128;0.5;1;0.003;0.793145654834761;0.0274906250965696;0.78048100807059;0.0291971858780164;0.857142857142857;0.0201475478991109;0.847840327276553;0.0217552452351716
Cora;model;133;0.001;16;128;0.5;1;0.003;0.791921664626683;0.0253812011668638;0.779295835951073;0.0267525622623283;0.855639097744361;0.0280880716313221;0.846768164436782;0.0267070539413803
Cora;model;140;0.001;16;128;0.5;1;0.003;0.798531211750306;0.0261194399242033;0.787454775932384;0.0254431334780608;0.862857142857143;0.0246977190093142;0.849980825439774;0.0253069560246244
Cora;model;7;0.005;16;128;0.5;1;0.003;0.256548347613219;0.0873059630713342;0.20472009213693;0.0902903006842338;0.885714285714286;0.112687233963802;0.846357142857143;0.155744299568468
Cora;model;14;0.005;16;128;0.5;1;0.003;0.389106487148103;0.0699793499222159;0.340343725641998;0.0860805812799979;0.757142857142857;0.126884881852136;0.692275200989487;0.100821497444015
Cora;model;21;0.005;16;128;0.5;1;0.003;0.472949816401469;0.0542841152195443;0.428161489097669;0.0516435600870964;0.814285714285714;0.0823257300310472;0.757917940455534;0.0767344531559263
Cora;model;28;0.005;16;128;0.5;1;0.003;0.52484700122399;0.0672236995537904;0.480399772529089;0.0783345467124885;0.839285714285714;0.106811657410276;0.755551562775713;0.129233146020039
Cora;model;35;0.005;16;128;0.5;1;0.003;0.569889840881273;0.0691339604045827;0.528436187008643;0.0913221687484524;0.857142857142857;0.0555328751890028;0.786648319620263;0.0991754509043794
Cora;model;42;0.005;16;128;0.5;1;0.003;0.598776009791922;0.0526483389354414;0.572483547434945;0.0336777542868556;0.857142857142857;0.051434449987364;0.81955527608709;0.066371414677399
Cora;model;49;0.005;16;128;0.5;1;0.003;0.636352509179927;0.0687966462673908;0.627285879180974;0.0599772104093319;0.879591836734694;0.051314346028969;0.838380965893827;0.0756776159481372
Cora;model;56;0.005;16;128;0.5;1;0.003;0.687392900856793;0.0494272511939828;0.669695936153904;0.0509260407241805;0.892857142857143;0.0453319827729994;0.882804524839607;0.0472323653279344
Cora;model;63;0.005;16;128;0.5;1;0.003;0.719706242350061;0.0363094173174819;0.705376720349059;0.0376425437491126;0.887301587301587;0.0321404075100263;0.876363939214058;0.0377195929678498
