;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;label_propagation_uncertainty_treshold;embedding_dim;hidden_dim_size;dropout;distance_loss_weight;learning_rate;;;;;;;;
Cora;model;0;-1;16;128;0.5;1;0.003;0.129742962056304;0;0.0328122581643708;0;;;;
Cora;model;7;-1;16;128;0.5;1;0.003;0.217013463892289;0.0830071339766069;0.136496502077164;0.0282092574905719;0.728571428571429;0.081092316028221;0.714888888888889;0.0893094986937408
Cora;model;14;-1;16;128;0.5;1;0.003;0.318115055079559;0.0754086803606248;0.228119593023561;0.0451303868999126;0.807142857142857;0.101295463743727;0.746028447742734;0.100762391634737
Cora;model;21;-1;16;128;0.5;1;0.003;0.346756425948592;0.0915933135578229;0.291060261998479;0.0724752438157235;0.79047619047619;0.127380334271358;0.767198278689875;0.131534947447096
Cora;model;28;-1;16;128;0.5;1;0.003;0.409302325581395;0.0806414605551092;0.355686119072686;0.0761529877670555;0.8;0.0984574910863587;0.765355720744929;0.118598395672188
Cora;model;35;-1;16;128;0.5;1;0.003;0.414565483476132;0.0841760648889464;0.40366901282713;0.0622571457941949;0.788571428571429;0.100970348805322;0.767447750357871;0.100645831321176
Cora;model;42;-1;16;128;0.5;1;0.003;0.535373317013464;0.0469150122792812;0.476543121379125;0.0611160015125886;0.869047619047619;0.0552713820523179;0.843070393683209;0.0921583367489228
Cora;model;49;-1;16;128;0.5;1;0.003;0.499020807833537;0.0982400733916155;0.442009454942964;0.0856935692917117;0.842857142857143;0.081092316028221;0.806982135192705;0.0799821751337861
Cora;model;56;-1;16;128;0.5;1;0.003;0.519094247246022;0.0911549992777463;0.473443361029581;0.0856599867907789;0.860714285714286;0.0865861740284199;0.832064842353531;0.101957969829706
Cora;model;63;-1;16;128;0.5;1;0.003;0.528029375764994;0.0547391143833908;0.470582461955273;0.0521749559062219;0.874603174603175;0.0679435952063153;0.851946941854781;0.0806866392796323
Cora;model;70;-1;16;128;0.5;1;0.003;0.593635250917993;0.0755113675162163;0.553943733863989;0.0604007846114695;0.912857142857143;0.0412118029017501;0.901214191611728;0.0476868020147007
Cora;model;77;-1;16;128;0.5;1;0.003;0.607833537331701;0.0636401673804079;0.581526492697616;0.0547132746338943;0.912987012987013;0.0245267800419312;0.899803241438216;0.0366848258700692
Cora;model;84;-1;16;128;0.5;1;0.003;0.679926560587515;0.0657805382651711;0.649025774486829;0.048977772736756;0.929761904761905;0.0189896604984213;0.91485938973758;0.0288728865380754
Cora;model;91;-1;16;128;0.5;1;0.003;0.666217870257038;0.0522747161435617;0.635356116699685;0.0468402577042151;0.91978021978022;0.0231958098153664;0.91250405860678;0.0289931679265896
Cora;model;98;-1;16;128;0.5;1;0.003;0.699632802937576;0.0475948784334593;0.68023794288555;0.0488937494570065;0.923469387755102;0.0226899048709632;0.917031883716588;0.0272949848633078
Cora;model;105;-1;16;128;0.5;1;0.003;0.734149326805386;0.0273680366522917;0.717441129778079;0.0271945101482745;0.918095238095238;0.0201780934375501;0.91510007951062;0.0209851520938802
Cora;model;112;-1;16;128;0.5;1;0.003;0.73561811505508;0.0462064184214023;0.718610088541562;0.0518176917434946;0.914285714285714;0.0323844535922272;0.911222152963175;0.0363671436858575
Cora;model;119;-1;16;128;0.5;1;0.003;0.748225214198286;0.052300184791984;0.73773439918054;0.041601179327987;0.909243697478992;0.0208866687756944;0.904903833454626;0.0220667845560956
Cora;model;126;-1;16;128;0.5;1;0.003;0.760097919216646;0.0296577427097287;0.749994368680992;0.0268559210926869;0.916666666666667;0.0248874176219931;0.909987282528864;0.0250466733643154
Cora;model;133;-1;16;128;0.5;1;0.003;0.76156670746634;0.0285877347512958;0.745828768371405;0.0292761443409001;0.909774436090225;0.0218491175114821;0.906266635420635;0.0211020934039479
Cora;model;140;-1;16;128;0.5;1;0.003;0.772705018359853;0.0354137876559122;0.759546119328115;0.0279964997579579;0.915714285714286;0.0255993905823155;0.912688432400644;0.0211560806035754
Cora;model;0;0;16;128;0.5;1;0.003;0.129742962056304;0;0.0328122581643708;0;;;;
Cora;model;7;0;16;128;0.5;1;0.003;0.323990208078335;0.0950869633826407;0.226066501052011;0.062536961033291;0.828571428571429;0.0903507902905251;0.746031746031746;0.127053001603816
Cora;model;14;0;16;128;0.5;1;0.003;0.430477356181151;0.0616576082214212;0.349737655929874;0.0751932998776519;0.821428571428571;0.12256702548794;0.756139971139971;0.130747107812095
Cora;model;21;0;16;128;0.5;1;0.003;0.500367197062424;0.0604298123277807;0.452387861542825;0.0709026916253373;0.833333333333333;0.110542764104636;0.778291946149089;0.128544143221681
Cora;model;28;0;16;128;0.5;1;0.003;0.540758873929009;0.0793253103487121;0.506128819932522;0.0823905120212173;0.853571428571429;0.109691899997995;0.821301109328531;0.164291313790515
Cora;model;35;0;16;128;0.5;1;0.003;0.599877600979192;0.0693413229019124;0.564255946656283;0.0604089845506706;0.868571428571429;0.0715237461162613;0.839837708199053;0.102457507139342
Cora;model;42;0;16;128;0.5;1;0.003;0.636842105263158;0.0690203388660204;0.608818423602131;0.0609017372765981;0.892857142857143;0.0585905676993389;0.854638188982485;0.102979256519383
Cora;model;49;0;16;128;0.5;1;0.003;0.678090575275398;0.0599713568193317;0.662145299281572;0.0623300453022571;0.908163265306122;0.0602722624036373;0.895590673925481;0.0731654517574799
Cora;model;56;0;16;128;0.5;1;0.003;0.714320685434517;0.035419192780359;0.698677736180209;0.0323129123398362;0.9;0.0477676253517592;0.89100259195691;0.0564166781910806
Cora;model;63;0;16;128;0.5;1;0.003;0.740881272949816;0.0434168725483793;0.723008947050854;0.0508515503537822;0.895238095238095;0.0456377960906832;0.886586645328468;0.0479462652791634
Cora;model;70;0;16;128;0.5;1;0.003;0.739779681762546;0.0399011629887298;0.724719101985739;0.0359773281064668;0.887142857142857;0.034634469611368;0.877566859487559;0.0348515073111453
Cora;model;77;0;16;128;0.5;1;0.003;0.755813953488372;0.020130825218358;0.738968182252743;0.0225561385003464;0.877922077922078;0.0347400911649158;0.867844464209616;0.0360823555851416
Cora;model;84;0;16;128;0.5;1;0.003;0.755324357405141;0.0182046113678043;0.739468904900036;0.0218618690032562;0.848809523809524;0.0389010347084205;0.837663598724495;0.0437151038018515
Cora;model;91;0;16;128;0.5;1;0.003;0.752631578947368;0.0243259821077719;0.73847733994922;0.0225812475233544;0.848351648351648;0.0438949514401326;0.842190805974326;0.0416453390657547
Cora;model;98;0;16;128;0.5;1;0.003;0.762301101591187;0.0283773388811331;0.747497727634145;0.0301605649400277;0.843877551020408;0.0546445270975006;0.833719438649814;0.0602197764929997
Cora;model;105;0;16;128;0.5;1;0.003;0.768665850673195;0.0225397426632936;0.752421381730297;0.0236404860897002;0.858095238095238;0.0371442137861048;0.853171993790571;0.0419945369261313
Cora;model;112;0;16;128;0.5;1;0.003;0.763157894736842;0.0254483364893125;0.748059809371332;0.0271815229571803;0.836607142857143;0.0378924101973851;0.836900513211254;0.0465968041639635
Cora;model;119;0;16;128;0.5;1;0.003;0.779436964504284;0.0275619838862171;0.762700791710302;0.0319357266944718;0.857983193277311;0.0307995899325568;0.855814212475107;0.0320081243618097
Cora;model;126;0;16;128;0.5;1;0.003;0.76609547123623;0.0326420337830518;0.751747818350324;0.0347681899769593;0.834920634920635;0.0397354145090341;0.835852887246978;0.0332410119421447
Cora;model;133;0;16;128;0.5;1;0.003;0.778090575275398;0.012226975358101;0.765015190041309;0.0123499009372563;0.845112781954887;0.0482350344810803;0.840902103867827;0.0431067975530957
Cora;model;140;0;16;128;0.5;1;0.003;0.782619339045288;0.0216906966644398;0.768929956212283;0.0229810230387008;0.849285714285714;0.0369546513784585;0.846920058163417;0.0340617707934422
Cora;model;0;0.05;16;128;0.5;1;0.003;0.129742962056304;0;0.0328122581643708;0;;;;
Cora;model;7;0.05;16;128;0.5;1;0.003;0.323990208078335;0.0950869633826407;0.226066501052011;0.062536961033291;0.828571428571429;0.0903507902905251;0.746031746031746;0.127053001603816
Cora;model;14;0.05;16;128;0.5;1;0.003;0.430599755201958;0.0615758860327766;0.349912205002789;0.0750903698555238;0.821428571428571;0.12256702548794;0.756139971139971;0.130747107812095
Cora;model;21;0.05;16;128;0.5;1;0.003;0.500122399020808;0.0494070402326812;0.455234217227957;0.0712692863342272;0.833333333333333;0.0984894733808798;0.777877598591884;0.121570805670912
Cora;model;28;0.05;16;128;0.5;1;0.003;0.543574051407589;0.076830129580271;0.50312175166108;0.082812894176583;0.853571428571429;0.117187854307854;0.82069726872469;0.167676218536513
Cora;model;35;0.05;16;128;0.5;1;0.003;0.605385556915545;0.0551692456272025;0.557963156173267;0.0606647908255138;0.874285714285714;0.0489342193472957;0.836423346257491;0.092302939122745
Cora;model;42;0.05;16;128;0.5;1;0.003;0.635740514075887;0.0595820530783894;0.593753940754705;0.0668850784935752;0.892857142857143;0.0517397016285924;0.853843620186389;0.100567582763645
Cora;model;49;0.05;16;128;0.5;1;0.003;0.668053855569155;0.055944074452691;0.656219302760143;0.0604658594078475;0.910204081632653;0.0578831221392725;0.901299854321435;0.0736212055872889
Cora;model;56;0.05;16;128;0.5;1;0.003;0.721787025703794;0.041898900964121;0.703447669657519;0.0373517787387181;0.903571428571429;0.0447023413226633;0.900591491408148;0.0498793621063109
