dataset_name;sampler_name;budget;embedding_dim;hidden_dim_multiplier;dropout;distance_loss_weight;train_epochs;learning_rate;test_accuracy;test_macro_f1;test_confusion
Cora;kmedoids;7;16;6;0.5;0.5;16;0.003;0.18690330477356182;0.12264261902512255;"[[34.7 27.3 11.4  8.9  9.5  0.  14.2]
 [21.6 21.5  9.2  6.2  5.8  0.   1.7]
 [47.5 28.3 21.7 13.  12.   0.   3.5]
 [81.5 69.4 29.2 33.7 25.1  0.   7.1]
 [37.2 30.5 14.2 16.2 25.9  0.   4. ]
 [27.7 21.4 11.6  7.   8.6  0.9 12.8]
 [17.3 11.2  6.4  2.3  3.5  0.  14.3]]"
Cora;kmedoids;14;16;6;0.5;0.5;16;0.003;0.198531211750306;0.17441691592853656;"[[30.7  8.5  8.5  2.3  8.4 16.8 30.8]
 [15.8 11.   6.8  0.4  7.3 13.  11.7]
 [27.4 12.7 23.   0.3  9.3 29.8 23.5]
 [76.2 24.5 19.9 11.2 23.  50.1 41.1]
 [32.7 12.5  9.3  2.6 31.7 19.7 19.5]
 [17.7  6.2  6.6  0.1  8.1 28.6 22.7]
 [10.2  2.7  4.4  0.1  2.6  9.  26. ]]"
Cora;kmedoids;21;16;6;0.5;0.5;16;0.003;0.2307221542227662;0.19770694347584014;"[[24.2 19.3  0.5 12.7  8.8 11.3 29.2]
 [ 8.2 17.2  2.6  6.   8.   9.7 14.3]
 [13.  25.9 17.3  0.7 12.  22.6 34.5]
 [38.3 45.2 12.1 41.3 29.1 23.5 56.5]
 [14.9 18.7  4.6 14.2 40.2 12.8 22.6]
 [13.  14.   1.8  6.   8.6 23.4 23.2]
 [ 7.   7.1  0.9  4.6  2.9  7.6 24.9]]"
Cora;kmedoids;28;16;6;0.5;0.5;16;0.003;0.32692778457772337;0.26849861900814526;"[[29.9 11.6  0.6 17.6  5.7 16.3 24.3]
 [10.9 16.   2.7  7.3  2.6 15.1 11.4]
 [17.  23.3 34.9  2.4 11.4 22.6 14.4]
 [48.2 38.8  1.6 82.9 25.4 29.1 20. ]
 [18.2  8.9  0.7 25.5 48.6 18.5  7.6]
 [11.3 14.   1.1  9.6  0.5 30.7 22.8]
 [ 7.7  6.   0.8  5.4  1.9  9.1 24.1]]"
Cora;kmedoids;35;16;6;0.5;0.5;16;0.003;0.42313341493268053;0.3612852845958098;"[[ 28.8  12.    2.2  20.    6.4  24.2  12.4]
 [  3.1  21.2   4.1  13.4   3.3  18.1   2.8]
 [  1.9  24.1  49.1   9.5  10.3  29.    2.1]
 [ 23.8  36.5   2.1 122.4  18.1  40.7   2.4]
 [ 10.9   6.    1.3  22.1  55.3  29.1   3.3]
 [  3.6  13.7   1.   10.7   1.1  49.4  10.5]
 [  4.4   6.5   1.8   7.9   1.7  13.2  19.5]]"
Cora;kmedoids;42;16;6;0.5;0.5;16;0.003;0.44296205630354957;0.38580372902936516;"[[ 42.7   2.1  19.9  16.5   4.   12.4   8.4]
 [  6.   17.9  20.9  10.7   1.5   8.3   0.7]
 [  5.6  11.3  79.6  15.    4.7   9.3   0.5]
 [ 35.4  14.4  42.6 107.7  17.3  26.1   2.5]
 [ 21.    0.6  21.3  13.5  57.6  11.6   2.4]
 [ 13.9   6.   13.9  11.2   1.2  38.4   5.4]
 [ 13.8   1.   10.1   4.7   0.9   6.5  18. ]]"
Cora;kmedoids;49;16;6;0.5;0.5;16;0.003;0.5533659730722154;0.4881548824422919;"[[ 55.3   2.3   6.4  14.    4.5  13.4  10.1]
 [  7.3  21.4  16.8  10.5   1.3   8.1   0.6]
 [  3.1   7.6  90.7   9.    0.7  14.4   0.5]
 [ 23.9   7.8  18.4 144.   18.   31.8   2.1]
 [ 14.1   0.9   4.2  19.5  73.8  12.5   3. ]
 [ 15.4   1.7  10.6  10.    0.6  48.    3.7]
 [ 15.7   1.4   5.3   5.4   0.4   7.9  18.9]]"
Cora;kmedoids;56;16;6;0.5;0.5;16;0.003;0.5965728274173807;0.5378697453143174;"[[ 53.7   2.9   6.8  16.1   5.6  13.2   7.7]
 [  2.8  28.4  14.6   9.3   1.9   8.5   0.5]
 [  1.7   9.2  99.4   4.1   0.4  10.6   0.6]
 [ 11.8  10.8  16.5 162.1  16.9  25.7   2.2]
 [ 11.    1.2   4.3  20.7  74.3  13.4   3.1]
 [  9.8   2.1  14.7   9.3   0.6  48.3   5.2]
 [ 10.9   1.4   6.6   6.3   0.3   8.3  21.2]]"
Cora;kmedoids;63;16;6;0.5;0.5;16;0.003;0.6482252141982865;0.5986329420475579;"[[ 61.    4.8   4.5  13.    8.1   7.9   6.7]
 [  5.   39.4   8.1   6.1   2.4   4.7   0.3]
 [  1.9   7.5 107.5   3.3   0.7   4.9   0.2]
 [ 13.3  13.5  10.9 160.5  24.1  21.5   2.2]
 [ 10.2   6.1   1.6  14.   87.    7.6   1.5]
 [ 13.7   8.1   5.6   4.7   1.2  53.8   2.9]
 [ 14.    2.8   3.6   5.9   1.4   6.9  20.4]]"
Cora;kmedoids;70;16;6;0.5;0.5;16;0.003;0.6620563035495717;0.6150605146402902;"[[ 66.    4.3   6.5  12.1   7.1   2.2   7.8]
 [  4.   38.6  11.8   6.4   3.6   1.1   0.5]
 [  3.5   7.  108.3   4.9   0.6   1.5   0.2]
 [ 25.8   9.4  14.8 166.3  22.1   4.7   2.9]
 [ 15.6   1.9   2.3  11.2  92.2   2.3   2.5]
 [ 15.6   3.   10.9   7.3   2.4  46.2   4.6]
 [ 15.2   0.9   6.    6.7   1.    1.9  23.3]]"
