dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.00463216868181473;0.0015290347413773743;ommited for csv readability;0.004899260192035259;0.002018422430529721;ommited for csv readability;0.0;[]
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.04;0.0039691404525027925;ommited for csv readability;0.03031688382055385;0.0034360040945782162;ommited for csv readability;0.029789076027073823;0.003384373157431171;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.04;0.003858441268976448;ommited for csv readability;0.029706334576406528;0.0024895826589470473;ommited for csv readability;0.02965134582087203;0.002431958182193484;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.025210084033613446;0.0012295081967213116;ommited for csv readability;0.007321293115938941;0.000372722121122974;ommited for csv readability;0.007516134109869353;0.00037300316369175493;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.03734177215189873;0.005004184032432345;ommited for csv readability;0.08394975157988353;0.011663534849014676;ommited for csv readability;0.08084763104045332;0.010992336242641888;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.08934010152284264;0.01885936221249541;ommited for csv readability;0.15071772387579474;0.025228228807709044;ommited for csv readability;0.14988981583503858;0.024630573579831044;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50
 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.10254237288135593;0.023470034464550663;ommited for csv readability;0.16937129279694213;0.029385299776768126;ommited for csv readability;0.1678931213599874;0.02864281617879295;ommited for csv readability;2360.0;"[60 60 60 60 60 60 60 60 60 60 60 60 20 60 60 60 60 60 60 60 60 60 60 60
 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.10436363636363637;0.02326034984728387;ommited for csv readability;0.16543288790608884;0.02849564953358728;ommited for csv readability;0.16397764835510784;0.02778733581309183;ommited for csv readability;2750.0;"[70 70 70 70 70 70 70 70 70 70 70 70 20 70 70 70 70 70 70 70 70 70 70 70
 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.10764331210191083;0.024275680965877615;ommited for csv readability;0.16400731502266444;0.02883498843859461;ommited for csv readability;0.1621871556744845;0.02803811970018525;ommited for csv readability;3140.0;"[80 80 80 80 80 80 80 80 80 80 80 80 20 80 80 80 80 80 80 80 80 80 80 80
 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.13236961451247165;0.037748737811579336;ommited for csv readability;0.315068135767147;0.05913149199048899;ommited for csv readability;0.3086337163544782;0.05578032649275192;ommited for csv readability;3528.0;"[90 90 90 90 90 90 90 90 90 90 90 90 20 90 90 90 90 90 90 90 90 90 90 90
 90 90 90 90 90 90 90 90 90 90 90 88 90 90 90 90]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.13536335721596723;0.03744293825812243;ommited for csv readability;0.3259722016211358;0.059584266023228756;ommited for csv readability;0.31776326145128286;0.05580974315128715;ommited for csv readability;3908.0;"[100 100 100 100 100 100 100 100 100 100 100 100  20 100 100 100 100 100
 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100  88
 100 100 100 100]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.13502798507462688;0.03650818835981175;ommited for csv readability;0.32777442200453466;0.05888958717876674;ommited for csv readability;0.3192782937195026;0.055386716513897816;ommited for csv readability;4288.0;"[110 110 110 110 110 110 110 110 110 110 110 110  20 110 110 110 110 110
 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110  88
 110 110 110 110]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.15445586975149958;0.04684783768568845;ommited for csv readability;0.3856795285065568;0.07744286479681901;ommited for csv readability;0.376554383755706;0.07295118445790583;ommited for csv readability;4668.0;"[120 120 120 120 120 120 120 120 120 120 120 120  20 120 120 120 120 120
 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120  88
 120 120 120 120]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.1541204437400951;0.047398313992079236;ommited for csv readability;0.37981510694362436;0.07707792370873723;ommited for csv readability;0.3698646308830474;0.07256415371290274;ommited for csv readability;5048.0;"[130 130 130 130 130 130 130 130 130 130 130 130  20 130 130 130 130 130
 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130  88
 130 130 130 130]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.1549373618275608;0.04950646857814924;ommited for csv readability;0.3913131902627088;0.07978460444665977;ommited for csv readability;0.3803518022981269;0.07506804323176562;ommited for csv readability;5428.0;"[140 140 140 140 140 140 140 140 140 140 140 140  20 140 140 140 140 140
 140 140 140 140 140 140 140 140 140 140 140 140 140 140 140 140 140  88
 140 140 140 140]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.15306473829201103;0.04798243175357907;ommited for csv readability;0.38919892468348255;0.0786069938132584;ommited for csv readability;0.37773492838029277;0.07397699263544584;ommited for csv readability;5808.0;"[150 150 150 150 150 150 150 150 150 150 150 150  20 150 150 150 150 150
 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150  88
 150 150 150 150]"
