dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.00463216868181473;0.0015290347413773743;ommited for csv readability;0.004899260192035259;0.002018422430529721;ommited for csv readability;0.0;[]
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.025;0.0012195121951219514;ommited for csv readability;0.1313929173122021;0.005806688167376289;ommited for csv readability;0.1309814260979065;0.005790609070823402;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.025;0.0012195121951219514;ommited for csv readability;0.13175443216473126;0.005970056184348868;ommited for csv readability;0.1309814260979065;0.005790609070823402;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.025210084033613446;0.0012295081967213116;ommited for csv readability;0.13347936145369005;0.008990364368268758;ommited for csv readability;0.1323193766724382;0.008675634119305822;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.049367088607594936;0.004858223261973607;ommited for csv readability;0.1313761875849802;0.010837018382728573;ommited for csv readability;0.12993861167952148;0.010515072589061411;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.07461928934010152;0.01399657229407077;ommited for csv readability;0.14495190863928475;0.02172882973761285;ommited for csv readability;0.14501023138674643;0.02139083928112453;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50
 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.09872881355932203;0.01952190512565883;ommited for csv readability;0.16106371439148065;0.02346551774677612;ommited for csv readability;0.15947190303793482;0.022815497376982834;ommited for csv readability;2360.0;"[60 60 60 60 60 60 60 60 60 60 60 60 20 60 60 60 60 60 60 60 60 60 60 60
 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0989090909090909;0.018417836746733356;ommited for csv readability;0.1638089644032513;0.023071589692145924;ommited for csv readability;0.16098693530615457;0.022328178982638676;ommited for csv readability;2750.0;"[70 70 70 70 70 70 70 70 70 70 70 70 20 70 70 70 70 70 70 70 70 70 70 70
 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.11337579617834395;0.02637989098846452;ommited for csv readability;0.2621100893576821;0.04071787334467588;ommited for csv readability;0.256414292460255;0.03930652470044235;ommited for csv readability;3140.0;"[80 80 80 80 80 80 80 80 80 80 80 80 20 80 80 80 80 80 80 80 80 80 80 80
 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.1111111111111111;0.02601179252042986;ommited for csv readability;0.26089867902705427;0.0408241932535082;ommited for csv readability;0.25574531717298915;0.03841054684642707;ommited for csv readability;3528.0;"[90 90 90 90 90 90 90 90 90 90 90 90 20 90 90 90 90 90 90 90 90 90 90 90
 90 90 90 90 90 90 90 90 90 90 90 88 90 90 90 90]"
