dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.00463216868181473;0.0015290347413773743;ommited for csv readability;0.004899260192035259;0.002018422430529721;ommited for csv readability;0.0;[]
ogbn-arxiv;own;own;0;64;0.5;1;0.005;20795212.0;0.025;0.0012195121951219514;ommited for csv readability;0.12677046029851252;0.005625389765051505;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;20795212.0;0.025;0.0012195121951219514;ommited for csv readability;0.12711626840187226;0.005783594095585836;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;20795212.0;0.037815126050420166;0.011485860833563614;ommited for csv readability;0.10792728140527917;0.019284728308592496;ommited for csv readability;0.10679993703762002;0.01834376496026796;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;20795212.0;0.05063291139240506;0.007103799812122236;ommited for csv readability;0.14929151095870496;0.013852146788693722;ommited for csv readability;0.14821737761687392;0.013429610917439558;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;20795212.0;0.049746192893401014;0.004805519311621085;ommited for csv readability;0.14851264275111756;0.012672511453667842;ommited for csv readability;0.1470565087360302;0.012270119241947807;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50
 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"


ogbn-arxiv;own;own;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.03251799289565386;0.0036065568673523144;ommited for csv readability;0.0328191405635133;0.0036260009224641414;ommited for csv readability;0.0;[]
ogbn-arxiv;own;own;0;64;0.5;1;0.005;649695571.0;0.025;0.0012195121951219514;ommited for csv readability;0.028361228930146715;0.001378952654586767;ommited for csv readability;0.02835274673382654;0.0013785516119774227;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;649695571.0;0.025;0.0012195121951219514;ommited for csv readability;0.0283726501244489;0.0014148642503411665;ommited for csv readability;0.02835274673382654;0.0013785516119774227;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;649695571.0;0.05042016806722689;0.006953853974670322;ommited for csv readability;0.03660646557969471;0.004691671073460696;ommited for csv readability;0.036754289312136;0.0044063524408948194;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;649695571.0;0.07215189873417721;0.010381082089347533;ommited for csv readability;0.04766587708121328;0.006735317958591161;ommited for csv readability;0.04777270580827955;0.00667175730549234;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;649695571.0;0.08629441624365482;0.017601522881540703;ommited for csv readability;0.047499335043629715;0.009600044370515771;ommited for csv readability;0.0481268691956556;0.009452209671341003;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50
 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"


ogbn-arxiv;own;own;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.009686210649769236;0.001984299153648161;ommited for csv readability;0.009837871871556745;0.001997152036876092;ommited for csv readability;0.0;[]
ogbn-arxiv;own;own;0;64;0.5;1;0.005;831763849.0;0.045;0.004431432082700788;ommited for csv readability;0.019344897941906043;0.001754794377911794;ommited for csv readability;0.01928222886825122;0.0017576821241290213;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;831763849.0;0.04375;0.007220423249272234;ommited for csv readability;0.08125281390429752;0.008655669575460271;ommited for csv readability;0.08082795529671022;0.008345135800902617;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;831763849.0;0.04453781512605042;0.005047103706010589;ommited for csv readability;0.06908777881001286;0.008935232979815643;ommited for csv readability;0.06792066740122776;0.008624412953019503;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;831763849.0;0.04746835443037975;0.005229666913499695;ommited for csv readability;0.0741583218601151;0.00886607460006493;ommited for csv readability;0.07400047221784983;0.008698767708560004;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;831763849.0;0.06294416243654823;0.013335895988122532;ommited for csv readability;0.08997932200190478;0.019612359822321936;ommited for csv readability;0.08883598300015741;0.01878868978557088;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50
 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"


ogbn-arxiv;own;own;0;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.005779664020114918;0.0013929176048779256;ommited for csv readability;0.005942074610420274;0.0014945825485553315;ommited for csv readability;0.0;[]
ogbn-arxiv;own;own;0;64;0.5;1;0.005;615395017.0;0.025;0.0012195121951219514;ommited for csv readability;0.06992101186091992;0.003267578217727769;ommited for csv readability;0.06975051156933731;0.0032601298534091112;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;615395017.0;0.025;0.0012195121951219514;ommited for csv readability;0.0700736499630476;0.0033581992333421265;ommited for csv readability;0.06975051156933731;0.0032601298534091112;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;615395017.0;0.04453781512605042;0.010606342749097577;ommited for csv readability;0.1756513734882254;0.020982797593701266;ommited for csv readability;0.17336297812057297;0.020169379552316357;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;615395017.0;0.04683544303797468;0.010039589606334337;ommited for csv readability;0.17861449131598525;0.0212165311173378;ommited for csv readability;0.17613725798835195;0.020398941987542156;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;own;0;64;0.5;1;0.005;615395017.0;0.09898477157360407;0.01851948670675361;ommited for csv readability;0.2055787694446113;0.029192265308962;ommited for csv readability;0.20403746261608688;0.02835206960240096;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50
 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"

