dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.00463216868181473;0.0015290347413773743;ommited for csv readability;0.004899260192035259;0.002018422430529721;ommited for csv readability;0.0;[]
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.0425;0.004098478323284525;ommited for csv readability;0.028115713814035;0.002865684937997;ommited for csv readability;0.028057610577679835;0.00293984723026708;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.03875;0.004301496792587313;ommited for csv readability;0.029077718974846883;0.002369111260238071;ommited for csv readability;0.028667558633716353;0.002297964629408529;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.025210084033613446;0.0012295081967213116;ommited for csv readability;0.007321293115938941;0.000372722121122974;ommited for csv readability;0.007516134109869353;0.00037300316369175493;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.02531645569620253;0.001234567901234568;ommited for csv readability;0.007260195486535715;0.0003696341014234178;ommited for csv readability;0.007516134109869353;0.00037300316369175493;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.046700507614213196;0.006035210515013757;ommited for csv readability;0.11315412401650808;0.009249045228586626;ommited for csv readability;0.11195498189831575;0.008741709212251963;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50
 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.07288135593220339;0.010716878228640562;ommited for csv readability;0.13024388984064947;0.0126979533485293;ommited for csv readability;0.129505745317173;0.012495172012491413;ommited for csv readability;2360.0;"[60 60 60 60 60 60 60 60 60 60 60 60 20 60 60 60 60 60 60 60 60 60 60 60
 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.072;0.010546422597308655;ommited for csv readability;0.13311853777781618;0.013180689977474583;ommited for csv readability;0.13224067369746575;0.012974634498860344;ommited for csv readability;2750.0;"[70 70 70 70 70 70 70 70 70 70 70 70 20 70 70 70 70 70 70 70 70 70 70 70
 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.10318471337579618;0.02408402070407814;ommited for csv readability;0.16715346813544926;0.028933029835412214;ommited for csv readability;0.16622068314182276;0.028287180677709283;ommited for csv readability;3140.0;"[80 80 80 80 80 80 80 80 80 80 80 80 20 80 80 80 80 80 80 80 80 80 80 80
 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.13577097505668934;0.04460248894609149;ommited for csv readability;0.3197728517884008;0.06682080270510214;ommited for csv readability;0.3140248701400913;0.06339980080535777;ommited for csv readability;3528.0;"[90 90 90 90 90 90 90 90 90 90 90 90 20 90 90 90 90 90 90 90 90 90 90 90
 90 90 90 90 90 90 90 90 90 90 90 88 90 90 90 90]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.1461105424769703;0.04831016976450196;ommited for csv readability;0.33554370871905836;0.06986026286110147;ommited for csv readability;0.32945065323469225;0.06624019206681228;ommited for csv readability;3908.0;"[100 100 100 100 100 100 100 100 100 100 100 100  20 100 100 100 100 100
 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100  88
 100 100 100 100]"
