dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.011188079548426835;0.010315230222715504;ommited for csv readability;0.011254525421060917;0.009466614136749782;ommited for csv readability;0.0;[]
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.305;0.26364147454760256;ommited for csv readability;0.25169532420694385;0.18569191082474124;ommited for csv readability;0.25182984416810955;0.1670933763932964;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.37375;0.3071306118418586;ommited for csv readability;0.34840594976172073;0.2395855684651588;ommited for csv readability;0.3640012592475996;0.21619973557995636;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.3680672268907563;0.32042488522929713;ommited for csv readability;0.35934849866614393;0.25705611478332685;ommited for csv readability;0.37625924759955925;0.23327975293498002;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.3841772151898734;0.34413902008031694;ommited for csv readability;0.37866751041141106;0.2730169596093915;ommited for csv readability;0.397705808279553;0.2535287951371256;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.38426395939086294;0.3425946558480237;ommited for csv readability;0.37525847497619025;0.27595798067779054;ommited for csv readability;0.39985046434755234;0.266074410532261;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50
 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.41059322033898304;0.37056919859947096;ommited for csv readability;0.39663736774593444;0.2961056213373497;ommited for csv readability;0.40602864788288995;0.27626250309230305;ommited for csv readability;2360.0;"[60 60 60 60 60 60 60 60 60 60 60 60 20 60 60 60 60 60 60 60 60 60 60 60
 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.42145454545454547;0.384698701980654;ommited for csv readability;0.4111376966199933;0.30550443066465616;ommited for csv readability;0.43314182276090035;0.29110828306497777;ommited for csv readability;2750.0;"[70 70 70 70 70 70 70 70 70 70 70 70 20 70 70 70 70 70 70 70 70 70 70 70
 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.4047770700636943;0.3647004387167415;ommited for csv readability;0.40891323377737715;0.29548120730975164;ommited for csv readability;0.4261766094758382;0.283853074356682;ommited for csv readability;3140.0;"[80 80 80 80 80 80 80 80 80 80 80 80 20 80 80 80 80 80 80 80 80 80 80 80
 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.4212018140589569;0.3835793846782619;ommited for csv readability;0.4171543859954257;0.3048474517162075;ommited for csv readability;0.4323744687549189;0.29229648267480013;ommited for csv readability;3528.0;"[90 90 90 90 90 90 90 90 90 90 90 90 20 90 90 90 90 90 90 90 90 90 90 90
 90 90 90 90 90 90 90 90 90 90 90 88 90 90 90 90]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.4280962128966223;0.3961638438458519;ommited for csv readability;0.4273411801659527;0.32046281423335216;ommited for csv readability;0.44478986305682355;0.30439411159738783;ommited for csv readability;3908.0;"[100 100 100 100 100 100 100 100 100 100 100 100  20 100 100 100 100 100
 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100  88
 100 100 100 100]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.4361007462686567;0.4011411573691664;ommited for csv readability;0.43654524603654;0.3266874632054416;ommited for csv readability;0.4441208877695577;0.30923970426443725;ommited for csv readability;4288.0;"[110 110 110 110 110 110 110 110 110 110 110 110  20 110 110 110 110 110
 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110  88
 110 110 110 110]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.442159383033419;0.4078105376780128;ommited for csv readability;0.4455209001238461;0.33327247395426474;ommited for csv readability;0.4603533763576263;0.3142195522488339;ommited for csv readability;4668.0;"[120 120 120 120 120 120 120 120 120 120 120 120  20 120 120 120 120 120
 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120  88
 120 120 120 120]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.43304278922345485;0.39241228741673;ommited for csv readability;0.4465898775898688;0.33109261749127794;ommited for csv readability;0.4539194081536282;0.31230493509976887;ommited for csv readability;5048.0;"[130 130 130 130 130 130 130 130 130 130 130 130  20 130 130 130 130 130
 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130  88
 130 130 130 130]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.44086219602063376;0.39854421681106683;ommited for csv readability;0.4535374167705653;0.32869473989724585;ommited for csv readability;0.46196678734456165;0.30647195908587976;ommited for csv readability;5428.0;"[140 140 140 140 140 140 140 140 140 140 140 140  20 140 140 140 140 140
 140 140 140 140 140 140 140 140 140 140 140 140 140 140 140 140 140  88
 140 140 140 140]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.43336776859504134;0.39709596360613375;ommited for csv readability;0.44565304185039617;0.33024374319680366;ommited for csv readability;0.45096804659216116;0.31016947619122753;ommited for csv readability;5808.0;"[150 150 150 150 150 150 150 150 150 150 150 150  20 150 150 150 150 150
 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150  88
 150 150 150 150]"
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.44133807369101485;0.4002802028083222;ommited for csv readability;0.4476680524521281;0.3295110158943992;ommited for csv readability;0.4466393829686762;0.3045767523342959;ommited for csv readability;6188.0;"[160 160 160 160 160 160 160 160 160 160 160 160  20 160 160 160 160 160
 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160  88
 160 160 160 160]"
