dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.011188079548426835;0.010315230222715504;ommited for csv readability;0.011254525421060917;0.009466614136749782;ommited for csv readability;0.0;[]
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.4675;0.4416338073003085;ommited for csv readability;0.4420118693859582;0.24592770887680757;ommited for csv readability;0.44046119943333856;0.2430864333725225;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.45375;0.42268389720412625;ommited for csv readability;0.48405949761720707;0.2763956539884173;ommited for csv readability;0.48205572170628047;0.27519948994213983;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.492436974789916;0.4771841097524792;ommited for csv readability;0.4783642577708836;0.3074625146063414;ommited for csv readability;0.476074295608374;0.31011901578274426;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.5487341772151899;0.5291825525923972;ommited for csv readability;0.48866503048597987;0.3183782041774453;ommited for csv readability;0.4875452542106092;0.3242924520407964;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.5517766497461929;0.5382165755908558;ommited for csv readability;0.4755510557791144;0.323264055241968;ommited for csv readability;0.4782583031638596;0.3330346760111129;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50
 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"


ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.005965288266016419;0.005780470151761903;ommited for csv readability;0.006374940972768771;0.005764879873032824;ommited for csv readability;0.0;[]
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;649695571.0;0.49;0.4753555438407034;ommited for csv readability;0.4309636891609309;0.25488358130828476;ommited for csv readability;0.4331811742483866;0.26020301010143804;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
