dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.011188079548426835;0.010315230222715504;ommited for csv readability;0.011254525421060917;0.009466614136749782;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.3875;0.3501175631324432;ommited for csv readability;0.3405633302008991;0.25201512419034205;ommited for csv readability;0.33466472532661734;0.21894208105327895;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.39375;0.3494122936926461;ommited for csv readability;0.35780969936883594;0.26783758032711474;ommited for csv readability;0.34802455532819143;0.2371947210367078;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.4016806722689076;0.36334305148537904;ommited for csv readability;0.3516862838684383;0.26832463469682694;ommited for csv readability;0.34330237682984416;0.2367649704420461;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.4215189873417722;0.3867642107668187;ommited for csv readability;0.3912552698415413;0.2874626977448169;ommited for csv readability;0.3669329450653235;0.25532119300640854;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.43959390862944164;0.40477769787715373;ommited for csv readability;0.4159709650018447;0.31083802337575167;ommited for csv readability;0.39182276090036205;0.27872319648947314;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50
 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.45805084745762714;0.42074859603612386;ommited for csv readability;0.4372713263716113;0.3279363524182638;ommited for csv readability;0.4072091925074768;0.2896764111188098;ommited for csv readability;2360.0;"[60 60 60 60 60 60 60 60 60 60 60 60 20 60 60 60 60 60 60 60 60 60 60 60
 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.4610909090909091;0.4253530259732359;ommited for csv readability;0.44625936131434146;0.3333119261172202;ommited for csv readability;0.4199984259405006;0.29365502911372887;ommited for csv readability;2750.0;"[70 70 70 70 70 70 70 70 70 70 70 70 20 70 70 70 70 70 70 70 70 70 70 70
 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.4547770700636943;0.41524344129094226;ommited for csv readability;0.4603524038169858;0.3376372744802278;ommited for csv readability;0.44040217220210925;0.30540505439835064;ommited for csv readability;3140.0;"[80 80 80 80 80 80 80 80 80 80 80 80 20 80 80 80 80 80 80 80 80 80 80 80
 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.45351473922902497;0.4184884634189275;ommited for csv readability;0.4629666669565444;0.33682118295434227;ommited for csv readability;0.44785927908074924;0.30380494318105367;ommited for csv readability;3528.0;"[90 90 90 90 90 90 90 90 90 90 90 90 20 90 90 90 90 90 90 90 90 90 90 90
 90 90 90 90 90 90 90 90 90 90 90 88 90 90 90 90]"
