dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.011188079548426835;0.010315230222715504;ommited for csv readability;0.011254525421060917;0.009466614136749782;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.495;0.4872599394013951;ommited for csv readability;0.3014248342772966;0.225585256786416;ommited for csv readability;0.303045805131434;0.22839923797198675;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.4775;0.4579579563385023;ommited for csv readability;0.21955674105284617;0.2172243955856647;ommited for csv readability;0.22099795372265071;0.2209188549297944;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.46302521008403363;0.435977321906023;ommited for csv readability;0.3058067485446906;0.23326363139191209;ommited for csv readability;0.3068038721863686;0.23688966261821834;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.49050632911392406;0.47497266544229877;ommited for csv readability;0.2515841592625215;0.2466815191830456;ommited for csv readability;0.25287265858649455;0.2520554970013563;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.49137055837563454;0.47049114750659804;ommited for csv readability;0.29296690662296543;0.2585494073327988;ommited for csv readability;0.29804816622068314;0.2676606702712756;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50
 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"


ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.005965288266016419;0.005780470151761903;ommited for csv readability;0.006374940972768771;0.005764879873032824;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.505;0.4980261104707699;ommited for csv readability;0.25912850599818826;0.21140016039825588;ommited for csv readability;0.26074295608374;0.21593378221697948;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.44;0.42589089334007146;ommited for csv readability;0.19967889635487898;0.18762420649774128;ommited for csv readability;0.20338816307256413;0.19275684574198784;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.4722689075630252;0.44645662194591484;ommited for csv readability;0.28389400744913873;0.23874587913850362;ommited for csv readability;0.2854950417125767;0.24167816406126152;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.45126582278481014;0.43161359703410956;ommited for csv readability;0.2619399858045648;0.22989128235112685;ommited for csv readability;0.26454037462616087;0.2337663634873965;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.4746192893401015;0.4514926325812046;ommited for csv readability;0.2736445615148993;0.23965153804237574;ommited for csv readability;0.27811663780890916;0.24627385153900097;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50
 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"


ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.027227701887461084;0.012207209878311257;ommited for csv readability;0.02734928380292775;0.011519866061390842;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.4325;0.41189243943299764;ommited for csv readability;0.20089062724879148;0.17477934432190545;ommited for csv readability;0.20077128915473005;0.17595669537844447;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
