dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.011188079548426835;0.010315230222715504;ommited for csv readability;0.011254525421060917;0.009466614136749782;ommited for csv readability;0.0;[]
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.2975;0.2605663531919589;ommited for csv readability;0.26652782363548627;0.1970089763842086;ommited for csv readability;0.2813237840390367;0.17425996275084948;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.3475;0.29387743877703754;ommited for csv readability;0.32580976732727934;0.2318485154186475;ommited for csv readability;0.3270108610105462;0.19937446043871596;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.36470588235294116;0.31702689555935015;ommited for csv readability;0.33409472508927884;0.23997943999221868;ommited for csv readability;0.3389737132063592;0.21443045240726094;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.36075949367088606;0.31138596238844823;ommited for csv readability;0.35084103677985956;0.24942782314346781;ommited for csv readability;0.37080906658271684;0.22439436358163306;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.36598984771573606;0.32351252610128983;ommited for csv readability;0.34730456717775354;0.26026183338792014;ommited for csv readability;0.36461120730363605;0.24647796084552107;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50
 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.38008474576271184;0.3409617053430421;ommited for csv readability;0.3591973071393521;0.268499907066412;ommited for csv readability;0.3680938139461672;0.2549243395154738;ommited for csv readability;2360.0;"[60 60 60 60 60 60 60 60 60 60 60 60 20 60 60 60 60 60 60 60 60 60 60 60
 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.392;0.35514776390326974;ommited for csv readability;0.38490442173638884;0.2856377246318272;ommited for csv readability;0.40018495199118526;0.26880980398609633;ommited for csv readability;2750.0;"[70 70 70 70 70 70 70 70 70 70 70 70 20 70 70 70 70 70 70 70 70 70 70 70
 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.3980891719745223;0.3545744170215207;ommited for csv readability;0.39438719351008417;0.28648642520635254;ommited for csv readability;0.404474264127184;0.2694780724142222;ommited for csv readability;3140.0;"[80 80 80 80 80 80 80 80 80 80 80 80 20 80 80 80 80 80 80 80 80 80 80 80
 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.41241496598639454;0.3753708108116694;ommited for csv readability;0.40365767755737403;0.3011523768378765;ommited for csv readability;0.40799622225720134;0.2843293233793596;ommited for csv readability;3528.0;"[90 90 90 90 90 90 90 90 90 90 90 90 20 90 90 90 90 90 90 90 90 90 90 90
 90 90 90 90 90 90 90 90 90 90 90 88 90 90 90 90]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.41223132036847493;0.3711100686292183;ommited for csv readability;0.4094371395415798;0.2994155670793613;ommited for csv readability;0.41533527467338266;0.2839615977264425;ommited for csv readability;3908.0;"[100 100 100 100 100 100 100 100 100 100 100 100  20 100 100 100 100 100
 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100  88
 100 100 100 100]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.4281716417910448;0.3926485014120214;ommited for csv readability;0.42395671927935497;0.313812927346868;ommited for csv readability;0.42491736187627893;0.29916175146445867;ommited for csv readability;4288.0;"[110 110 110 110 110 110 110 110 110 110 110 110  20 110 110 110 110 110
 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110  88
 110 110 110 110]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.42630676949443014;0.3909608182161365;ommited for csv readability;0.4292540249975846;0.3215588512307315;ommited for csv readability;0.42916732252479145;0.3002490106882276;ommited for csv readability;4668.0;"[120 120 120 120 120 120 120 120 120 120 120 120  20 120 120 120 120 120
 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120  88
 120 120 120 120]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.4314580031695721;0.3907473814802995;ommited for csv readability;0.43992738232676193;0.31875797947639606;ommited for csv readability;0.43924130332126554;0.29639911816535364;ommited for csv readability;5048.0;"[130 130 130 130 130 130 130 130 130 130 130 130  20 130 130 130 130 130
 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130  88
 130 130 130 130]"
