dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.011188079548426835;0.010315230222715504;ommited for csv readability;0.011254525421060917;0.009466614136749782;ommited for csv readability;0.0;[]
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.38;0.3458231223362854;ommited for csv readability;0.25531032264072673;0.17544649476346869;ommited for csv readability;0.2536793640799622;0.1754847746592735;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.4125;0.3854927664240739;ommited for csv readability;0.3320194700940375;0.23802856238410866;ommited for csv readability;0.3346253738391311;0.24336905174756254;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.44201680672268906;0.41860865063830266;ommited for csv readability;0.39379011156662036;0.2832713509016036;ommited for csv readability;0.3936722808122147;0.2865381289246785;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.39746835443037976;0.36772854754184214;ommited for csv readability;0.3541675574444796;0.26135314984925917;ommited for csv readability;0.35422241460727216;0.2644683457853426;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.4446700507614213;0.41991662955432274;ommited for csv readability;0.3888064247655493;0.28768136133979477;ommited for csv readability;0.39186211238784824;0.29769491716661045;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50
 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.45254237288135596;0.432053286228302;ommited for csv readability;0.41169431555023717;0.2944249309924179;ommited for csv readability;0.4138202424051629;0.3012261247571614;ommited for csv readability;2360.0;"[60 60 60 60 60 60 60 60 60 60 60 60 20 60 60 60 60 60 60 60 60 60 60 60
 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.46763636363636363;0.44161245333103594;ommited for csv readability;0.42402542995102316;0.30037797628985297;ommited for csv readability;0.4283015898000944;0.3109304818549685;ommited for csv readability;2750.0;"[70 70 70 70 70 70 70 70 70 70 70 70 20 70 70 70 70 70 70 70 70 70 70 70
 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.46719745222929937;0.4366729736853717;ommited for csv readability;0.4142781615371948;0.3022260648276352;ommited for csv readability;0.4186211238784826;0.3137722946478767;ommited for csv readability;3140.0;"[80 80 80 80 80 80 80 80 80 80 80 80 20 80 80 80 80 80 80 80 80 80 80 80
 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.4699546485260771;0.44263540053139944;ommited for csv readability;0.4529745806193528;0.3139413120056897;ommited for csv readability;0.4572446088462144;0.32759457764131;ommited for csv readability;3528.0;"[90 90 90 90 90 90 90 90 90 90 90 90 20 90 90 90 90 90 90 90 90 90 90 90
 90 90 90 90 90 90 90 90 90 90 90 88 90 90 90 90]"
