;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;embedding_dim;hidden_dim_size;dropout;distance_loss_weight;train_epochs;learning_rate;;;;;;;;
Cora;model;7;16;128;0.5;1;16;0.004;0.21089351285189717;0.04914642042219526;0.17052063342288074;0.05664558267019468;0.8;0.2150779007740231;0.7563492063492063;0.21649362239141182
Cora;model;14;16;128;0.5;1;16;0.004;0.26854345165238674;0.04451915608127612;0.248545567178168;0.05457235541851177;0.7785714285714286;0.16986722839749493;0.7137983920841064;0.17270746799629344
Cora;model;21;16;128;0.5;1;16;0.004;0.3695226438188494;0.11869472851681785;0.3193686081392141;0.10011625073824794;0.8285714285714285;0.1104287436884196;0.760967895930302;0.16701848925925927
Cora;model;28;16;128;0.5;1;16;0.004;0.4358629130966952;0.11156819762548742;0.3753370085012998;0.10431081926554385;0.85;0.12348859504657086;0.7962956953329624;0.17549540572712424
Cora;model;35;16;128;0.5;1;16;0.004;0.5194614443084455;0.1276321784856377;0.4754607315513434;0.12931662054890977;0.8828571428571429;0.1089633694092463;0.8369156322229221;0.15999521837309433
Cora;model;42;16;128;0.5;1;16;0.004;0.6121175030599755;0.099817466690634;0.5644682811002252;0.11203974525865862;0.9380952380952381;0.07027283689263064;0.9124226746642712;0.10476015513781
Cora;model;49;16;128;0.5;1;16;0.004;0.7069767441860465;0.06327028376167508;0.6737681956936974;0.07543519629834215;0.936734693877551;0.06556778644909653;0.935049371730044;0.06348434006606535
Cora;model;56;16;128;0.5;1;16;0.004;0.749938800489596;0.0505292056837089;0.7231020100110452;0.054852187044682844;0.925;0.03930374766480756;0.919518673859168;0.043518867309644535
Cora;model;63;16;128;0.5;1;16;0.004;0.7727050183598532;0.018063246272064837;0.7556365653601783;0.02158771626235595;0.8968253968253969;0.05088725942241096;0.8872519641290527;0.06116123280519028
Cora;model;70;16;128;0.5;1;16;0.004;0.7833537331701346;0.021231516656479266;0.7679280198438391;0.026064069802380213;0.8728571428571428;0.05364280958719595;0.8619829556727693;0.06277095884291567
Cora;model;77;16;128;0.5;1;16;0.004;0.7942472460220318;0.021631138922195415;0.783016935637849;0.021484147904036736;0.8623376623376624;0.05202015198545386;0.8511601357284617;0.059421721779064775
Cora;model;84;16;128;0.5;1;16;0.004;0.8052631578947368;0.02103815695128513;0.7953742211889873;0.018838074424367537;0.869047619047619;0.0492447366904399;0.8578533990176082;0.05384312196766181
Cora;model;91;16;128;0.5;1;16;0.004;0.81187270501836;0.02184250070051679;0.802482281417231;0.020174911162716958;0.8659340659340659;0.04826276656996513;0.8562732419976286;0.047965736064748424
Cora;model;98;16;128;0.5;1;16;0.004;0.818359853121175;0.018778490234049813;0.8101080633515763;0.017123617625524907;0.8622448979591837;0.04767974751318429;0.8524615621103129;0.05011197965962825
Cora;model;105;16;128;0.5;1;16;0.004;0.8199510403916769;0.01611922765864935;0.8096282956247899;0.013803204459824806;0.8523809523809524;0.046494661955164496;0.84035139695273;0.0462455525578733
Cora;model;112;16;128;0.5;1;16;0.004;0.8276621787025704;0.01794072575079259;0.817942307098072;0.016926662244824385;0.8625;0.04537104523847503;0.8537631468244277;0.0499547369155334
Cora;model;119;16;128;0.5;1;16;0.004;0.8266829865361076;0.016873513864463934;0.8175361091218363;0.015458362918750594;0.8680672268907562;0.041745153580418234;0.8633441625509043;0.04025919175417888
Cora;model;126;16;128;0.5;1;16;0.004;0.8324357405140759;0.012933560884665124;0.8235240423492606;0.01217589431040063;0.8658730158730158;0.03597299983789428;0.8572527146942723;0.035762154073450514
Cora;model;133;16;128;0.5;1;16;0.004;0.8372093023255814;0.014923982993204321;0.8279624864917361;0.012994895524442808;0.8676691729323307;0.036006586458281656;0.8598210175088112;0.03652987155292153
Cora;model;140;16;128;0.5;1;16;0.004;0.8378212974296206;0.015624197583734496;0.8302934713767979;0.011576754288542478;0.8728571428571428;0.03670066451047181;0.8660233169937305;0.03535117895682475
