;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;embedding_dim;hidden_dim_size;dropout;distance_loss_weight;train_epochs;learning_rate;;;;;;;;
Cora;model;7;16;128;0.5;1;16;0.004;0.2730722154222766;0.06399035687574782;0.19581886117893935;0.06488982819435636;1.0;0.0;1.0;0.0
Cora;model;14;16;128;0.5;1;16;0.004;0.3826193390452876;0.10290127407455664;0.3152769478082074;0.10175778024541321;0.9714285714285715;0.03688555567816585;0.9504761904761905;0.07506815954202903
Cora;model;21;16;128;0.5;1;16;0.004;0.4591187270501836;0.13233624293586418;0.41584380728540155;0.10658703510558883;0.9857142857142858;0.023002185311411842;0.9877034077034077;0.021306764731417883
Cora;model;28;16;128;0.5;1;16;0.004;0.46634026927784583;0.09728305521265768;0.42066695742135884;0.06797711225697779;0.9714285714285713;0.028171808490950558;0.9709848616991474;0.031973913339972015
Cora;model;35;16;128;0.5;1;16;0.004;0.5580171358629131;0.07269318045378156;0.5176432396964514;0.06900473205240805;0.9828571428571429;0.02760262237369418;0.9713332573858888;0.05011396215262976
Cora;model;42;16;128;0.5;1;16;0.004;0.6215422276621787;0.05270837811441576;0.564167093851698;0.0654288113471891;0.9785714285714284;0.023676879190756037;0.974801611309726;0.02479504849146671
Cora;model;49;16;128;0.5;1;16;0.004;0.5700122399020808;0.10835221176524232;0.5181230931664913;0.11391383649110334;0.9346938775510203;0.11334239782127094;0.9280359678681958;0.117285618440155
Cora;model;56;16;128;0.5;1;16;0.004;0.6417380660954712;0.059988147336991114;0.602654084401852;0.05782267417552834;0.9696428571428571;0.03862173380359129;0.9658454409139308;0.046141779425290255
Cora;model;63;16;128;0.5;1;16;0.004;0.6773561811505509;0.0628902849599188;0.6485219832256004;0.07483898074297367;0.9714285714285713;0.04539176844344383;0.9667716080134678;0.055731041960408366
Cora;model;70;16;128;0.5;1;16;0.004;0.7209302325581396;0.05325881312796645;0.691015802024194;0.0647026695942043;0.9771428571428572;0.048655389616932554;0.9763818743621527;0.05154331927323543
Cora;model;77;16;128;0.5;1;16;0.004;0.7430844553243574;0.041400914686978964;0.7182152530243514;0.046272536067270886;0.9883116883116884;0.012914661376775998;0.9876197132135056;0.01550186959059972
Cora;model;84;16;128;0.5;1;16;0.004;0.7547123623011016;0.023189150518687793;0.7332132195007899;0.022845927544432293;0.9976190476190476;0.0075292325242104375;0.9973692973692974;0.008319012159617079
Cora;model;91;16;128;0.5;1;16;0.004;0.7586291309669523;0.02556938688473832;0.7374910670691932;0.024664733325833226;0.9945054945054945;0.007770404188863153;0.9950195143291346;0.006728102931990678
Cora;model;98;16;128;0.5;1;16;0.004;0.7758873929008568;0.028404602662334924;0.7554867787542224;0.025749292578368662;0.9938775510204081;0.007134754069184678;0.9939610661065524;0.007405400050764478
Cora;model;105;16;128;0.5;1;16;0.004;0.7828641370869033;0.01684389213081729;0.7625513873447173;0.019294265483404474;0.9942857142857143;0.006659103797905719;0.9949268726710905;0.0058929373472534526
Cora;model;112;16;128;0.5;1;16;0.004;0.790452876376989;0.0140483650537135;0.7719034777017837;0.015536167502819956;0.9955357142857142;0.004705770327631501;0.9955660509355091;0.004831804923235666
Cora;model;119;16;128;0.5;1;16;0.004;0.7954712362301102;0.01832309662160292;0.7777321846794556;0.018442036336008442;0.9974789915966387;0.004059209172602071;0.9969993016630845;0.0050120954279209914
Cora;model;126;16;128;0.5;1;16;0.004;0.8019583843329252;0.01464020549775211;0.784524890616388;0.017231591415039597;0.9992063492063492;0.0025097441747367953;0.9994890092947447;0.001615894491782475
Cora;model;133;16;128;0.5;1;16;0.004;0.8020807833537331;0.014332827198703152;0.7850581136474207;0.01626251088383825;0.9962406015037594;0.005316592339748521;0.9960561082927736;0.006180712672222535
Cora;model;140;16;128;0.5;1;16;0.004;0.8050183598531213;0.019336204595399312;0.7904554180958303;0.020336827539798076;0.9949999999999999;0.004821061126503931;0.9945320225029806;0.00564598090714006
