dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.16294067067927773;0.15961039572703542;ommited for csv readability;0.16683316683316685;0.1631084341826332;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.21120689655172414;0.20384696418118042;ommited for csv readability;0.1918081918081918;0.1838010212870669;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.34053586862575624;0.314301903612015;ommited for csv readability;0.31368631368631367;0.2863800159425092;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3362218370883882;0.3189934676622079;ommited for csv readability;0.3006993006993007;0.28298643800625795;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.38010425716768026;0.3490557377980819;ommited for csv readability;0.37362637362637363;0.3502259481168218;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.367595818815331;0.3393934055052798;ommited for csv readability;0.3886113886113886;0.36193330793732564;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.38995633187772927;0.36200388463839817;ommited for csv readability;0.37362637362637363;0.3454204848260376;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.41112084063047283;0.38576677463492265;ommited for csv readability;0.3946053946053946;0.3720227202494179;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4073748902546093;0.3843153474992711;ommited for csv readability;0.3966033966033966;0.377929403991973;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4027288732394366;0.3806524047982242;ommited for csv readability;0.4115884115884116;0.3942408450155413;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4187996469549868;0.39534084902658523;ommited for csv readability;0.4045954045954046;0.38560779627171077;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.415929203539823;0.3917469695258288;ommited for csv readability;0.42657342657342656;0.4040099309836152;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4241348713398403;0.3976240565068967;ommited for csv readability;0.41858141858141856;0.400142467327246;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4194839857651246;0.3945352741848705;ommited for csv readability;0.4065934065934066;0.3894636746988133;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.423728813559322;0.39881404862607556;ommited for csv readability;0.4385614385614386;0.41949265364095023;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4186046511627907;0.3943557364934056;ommited for csv readability;0.42657342657342656;0.4086238381953014;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4260089686098655;0.40127858744331935;ommited for csv readability;0.4305694305694306;0.41370731483005985;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.42176258992805754;0.3972179391081081;ommited for csv readability;0.4205794205794206;0.4021445932492092;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.433273219116321;0.40823099259833134;ommited for csv readability;0.4435564435564436;0.4272165731939754;ommited for csv readability;108.0;[18 18 18 18 18 18]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4177215189873418;0.39370014942622134;ommited for csv readability;0.42657342657342656;0.40725568369085624;ommited for csv readability;114.0;[19 19 19 19 19 19]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4161378059836809;0.39366346018573456;ommited for csv readability;0.43356643356643354;0.41513451373253035;ommited for csv readability;120.0;[20 20 20 20 20 20]


CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.15950128976784178;0.15692347326092418;ommited for csv readability;0.1878121878121878;0.18188203991809224;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.29051724137931034;0.2535940829190429;ommited for csv readability;0.2907092907092907;0.2530320153397214;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.3167675021607606;0.2923181808672593;ommited for csv readability;0.3256743256743257;0.31158051877195164;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.34705372616984403;0.3304113282233963;ommited for csv readability;0.33666333666333664;0.3237276553863095;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.3649000868809731;0.34250155202890037;ommited for csv readability;0.3546453546453546;0.3403745222421979;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.39547038327526135;0.3760296229323477;ommited for csv readability;0.3726273726273726;0.35889929891307;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4;0.3821283554583275;ommited for csv readability;0.37462537462537465;0.35860311113783333;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.39535901926444833;0.3765373839965149;ommited for csv readability;0.37962037962037964;0.36213764066160214;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.3915715539947322;0.3737924961574666;ommited for csv readability;0.3826173826173826;0.3676884719860572;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.40492957746478875;0.3879264896821842;ommited for csv readability;0.3866133866133866;0.37561963597726566;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4060017652250662;0.3871257333554386;ommited for csv readability;0.3916083916083916;0.3814090461422685;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.40575221238938053;0.3860217611744625;ommited for csv readability;0.4035964035964036;0.39007911056689587;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.40860692102928126;0.3923844078635641;ommited for csv readability;0.3986013986013986;0.3834671702997121;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.41725978647686834;0.39699936615924;ommited for csv readability;0.40559440559440557;0.3933453833740215;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4090098126672614;0.3887309248309389;ommited for csv readability;0.42157842157842157;0.4087596933261575;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.41055456171735244;0.3915731217959733;ommited for csv readability;0.4165834165834166;0.4065463998156218;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4224215246636771;0.4044499286053764;ommited for csv readability;0.4085914085914086;0.3976903373195732;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4159172661870504;0.3973986060251767;ommited for csv readability;0.43456543456543456;0.4251954433786474;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4224526600541028;0.40597648719414897;ommited for csv readability;0.42157842157842157;0.4132545578021178;ommited for csv readability;108.0;[18 18 18 18 18 18]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.43399638336347196;0.4159602058423804;ommited for csv readability;0.40559440559440557;0.39689840568907186;ommited for csv readability;114.0;[19 19 19 19 19 19]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.44152311876699907;0.4244677985186667;ommited for csv readability;0.4385614385614386;0.4307852269421011;ommited for csv readability;120.0;[20 20 20 20 20 20]


CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.1530524505588994;0.1496870773228289;ommited for csv readability;0.1928071928071928;0.18709129407120884;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.35086206896551725;0.311025343952026;ommited for csv readability;0.3706293706293706;0.33205481961616556;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.3599827139152982;0.32946573312911887;ommited for csv readability;0.34865134865134867;0.32637675284229145;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4068457538994801;0.3812491474834632;ommited for csv readability;0.3776223776223776;0.35694100228603975;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4109470026064292;0.3831217065029187;ommited for csv readability;0.3886113886113886;0.3694274598453015;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4259581881533101;0.401625484761263;ommited for csv readability;0.39760239760239763;0.37513901468557087;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.41746724890829695;0.3923795383604632;ommited for csv readability;0.4005994005994006;0.37860277303445117;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.431260945709282;0.40626499808018374;ommited for csv readability;0.41858141858141856;0.4013162556759782;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.42756804214223004;0.4021480331160348;ommited for csv readability;0.4095904095904096;0.39418059828434404;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4441021126760563;0.4214080667229461;ommited for csv readability;0.4035964035964036;0.3837763510762781;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4276257722859665;0.4047576753551376;ommited for csv readability;0.43156843156843155;0.4165464977286291;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.42743362831858406;0.4039064277649471;ommited for csv readability;0.4095904095904096;0.3956882556793384;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.42857142857142855;0.4085728619057949;ommited for csv readability;0.4045954045954046;0.38831381615768823;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4359430604982206;0.4138023489212299;ommited for csv readability;0.42857142857142855;0.41405859355329017;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4299732381801962;0.40753134228646354;ommited for csv readability;0.42857142857142855;0.41557401812656036;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.44543828264758495;0.42498583239086213;ommited for csv readability;0.43756243756243757;0.4256469217133314;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.44573991031390137;0.42477525674223227;ommited for csv readability;0.4385614385614386;0.4274474221186135;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.44289568345323743;0.42325746521871954;ommited for csv readability;0.44155844155844154;0.42986654213691544;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.43552750225428316;0.4148804904024151;ommited for csv readability;0.4325674325674326;0.4214170182603727;ommited for csv readability;108.0;[18 18 18 18 18 18]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4376130198915009;0.4157395486096434;ommited for csv readability;0.4305694305694306;0.4182227852759072;ommited for csv readability;114.0;[19 19 19 19 19 19]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.442883046237534;0.4204089415280255;ommited for csv readability;0.43356643356643354;0.41987233442505606;ommited for csv readability;120.0;[20 20 20 20 20 20]


CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.16122098022355977;0.15877754850515283;ommited for csv readability;0.15584415584415584;0.15316516040508396;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.2775862068965517;0.23927308245711623;ommited for csv readability;0.3016983016983017;0.26748013505809554;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.33664649956784787;0.3113875027808151;ommited for csv readability;0.3196803196803197;0.3017191392935436;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.3821490467937608;0.3509450420194426;ommited for csv readability;0.36363636363636365;0.33602882531340555;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.368375325803649;0.34585582291223393;ommited for csv readability;0.3706293706293706;0.3504809665014808;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.397212543554007;0.3757082741006689;ommited for csv readability;0.3836163836163836;0.36707492421993787;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.4170305676855895;0.3894651121483847;ommited for csv readability;0.4015984015984016;0.3803730376358561;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.4102451838879159;0.38442454327307424;ommited for csv readability;0.4225774225774226;0.40859441875775765;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.42844600526777876;0.4030107569336872;ommited for csv readability;0.4125874125874126;0.3998776986712133;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.43882042253521125;0.41196355860417855;ommited for csv readability;0.4275724275724276;0.4089504297788012;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.44130626654898497;0.41321851499154133;ommited for csv readability;0.41058941058941056;0.3899822663711674;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.4451327433628319;0.42285033716153286;ommited for csv readability;0.4205794205794206;0.4020943630353762;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.44143744454303463;0.41356425468879987;ommited for csv readability;0.43656343656343655;0.4236504327458845;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.4541814946619217;0.42722636197356606;ommited for csv readability;0.4195804195804196;0.40493722777702684;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.44201605709188224;0.416693209828444;ommited for csv readability;0.3986013986013986;0.3834160086652325;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.4476744186046512;0.4204660666469588;ommited for csv readability;0.4195804195804196;0.40262910985853484;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.4587443946188341;0.4343783592156886;ommited for csv readability;0.42657342657342656;0.4130438426373386;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.45098920863309355;0.42717731007815685;ommited for csv readability;0.43756243756243757;0.4221040685290049;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.45401262398557257;0.42818877770827507;ommited for csv readability;0.42657342657342656;0.4124921049018966;ommited for csv readability;108.0;[18 18 18 18 18 18]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.44665461121157324;0.4229571680197551;ommited for csv readability;0.4325674325674326;0.41684841898154845;ommited for csv readability;114.0;[19 19 19 19 19 19]
CiteSeer;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.4374433363553944;0.41299060289836054;ommited for csv readability;0.44655344655344653;0.43418921863851073;ommited for csv readability;120.0;[20 20 20 20 20 20]


CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;0.0;0.0;[[]];0.16337059329320722;0.16073058177812316;ommited for csv readability;0.15884115884115885;0.155846947620316;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.28879310344827586;0.2683648259837715;ommited for csv readability;0.25374625374625376;0.24059561500651702;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.29559204840103714;0.2784649695205718;ommited for csv readability;0.2837162837162837;0.2676375491944259;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.3682842287694974;0.3478275684976085;ommited for csv readability;0.36163836163836166;0.34479008610407785;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.38184187662901825;0.36288381817835064;ommited for csv readability;0.36163836163836166;0.3494493907150075;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.37630662020905925;0.3568235673668411;ommited for csv readability;0.3646353646353646;0.3495267287295536;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.39039301310043667;0.3713242706262687;ommited for csv readability;0.38461538461538464;0.3694173977850475;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.4054290718038529;0.3857318074807164;ommited for csv readability;0.4035964035964036;0.39120226645196937;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.41308165057067603;0.3923179482315455;ommited for csv readability;0.41058941058941056;0.3948415237331204;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.4168133802816901;0.39534849828391394;ommited for csv readability;0.3986013986013986;0.38140204893831803;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.42541924095322153;0.40454615765974733;ommited for csv readability;0.3936063936063936;0.3766859550234322;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.4230088495575221;0.3989059295562733;ommited for csv readability;0.4015984015984016;0.38750138074221235;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.43433895297249336;0.4113821959658798;ommited for csv readability;0.3996003996003996;0.3842689548416052;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.4346085409252669;0.40805891995473204;ommited for csv readability;0.4125874125874126;0.3980357187249246;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.42863514719000895;0.40592926761262277;ommited for csv readability;0.41358641358641357;0.4015060098292822;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.44856887298747766;0.42491462566204213;ommited for csv readability;0.44455544455544455;0.4332468068654713;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.4412556053811659;0.4201651750265083;ommited for csv readability;0.43356643356643354;0.423274821445254;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.4357014388489209;0.4169336217769081;ommited for csv readability;0.4275724275724276;0.4158627342871357;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;medoids;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.44274120829576197;0.41968110241716494;ommited for csv readability;0.44755244755244755;0.43533378483346535;ommited for csv readability;108.0;[18 18 18 18 18 18]
