dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.16023268112109995;0.10241236627684154;ommited for csv readability;0.17503059975520197;0.10750652537651871;ommited for csv readability;0.0;[]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8095238095238094;ommited for csv readability;0.2945859872611465;0.23087931389992486;ommited for csv readability;0.29498164014687883;0.22777652196817472;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.7857142857142857;0.7714285714285715;ommited for csv readability;0.43953116675546083;0.4138151440885275;ommited for csv readability;0.4173806609547124;0.39194751753433354;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8438775510204081;ommited for csv readability;0.5893048128342246;0.5457310188066946;ommited for csv readability;0.5899632802937577;0.5541620976918293;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9285714285714286;0.9206349206349207;ommited for csv readability;0.6634460547504025;0.6483854524222323;ommited for csv readability;0.6523867809057528;0.6416662487504434;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9714285714285714;0.9711399711399712;ommited for csv readability;0.697198275862069;0.6889501135193025;ommited for csv readability;0.6731946144430845;0.6656217937082359;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9285714285714286;0.9280719280719281;ommited for csv readability;0.6755002704164413;0.6778006221600705;ommited for csv readability;0.6560587515299877;0.6660167137118643;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9795918367346939;0.9794871794871796;ommited for csv readability;0.7263843648208469;0.7152111082449154;ommited for csv readability;0.7123623011015912;0.7098153661563417;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9464285714285714;0.9472222222222222;ommited for csv readability;0.7253405994550409;0.7078332077091666;ommited for csv readability;0.7221542227662179;0.7068938566836849;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.9530345471521942;ommited for csv readability;0.7188183807439825;0.6967625729297062;ommited for csv readability;0.7221542227662179;0.7004275804274717;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.742998352553542;0.7260352873070698;ommited for csv readability;0.7466340269277846;0.7228385805693903;ommited for csv readability;70.0;[10 10 10 10 10 10 10]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.974025974025974;0.973999085800328;ommited for csv readability;0.7546857772877619;0.7362492860982874;ommited for csv readability;0.7478580171358629;0.7260314182053585;ommited for csv readability;77.0;[11 11 11 11 11 11 11]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9642857142857143;0.9642650103519669;ommited for csv readability;0.7553956834532374;0.7399076306902426;ommited for csv readability;0.7490820073439413;0.7318885552510556;ommited for csv readability;84.0;[12 12 12 12 12 12 12]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.989010989010989;0.988994708994709;ommited for csv readability;0.7527777777777778;0.7363406169366057;ommited for csv readability;0.762545899632803;0.7472219300189863;ommited for csv readability;91.0;[13 13 13 13 13 13 13]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9693877551020408;0.9693616910365679;ommited for csv readability;0.762409369771333;0.7443408162825135;ommited for csv readability;0.7711138310893513;0.7558661554324827;ommited for csv readability;98.0;[14 14 14 14 14 14 14]
