dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1427815970386039;0.1335703425083267;ommited for csv readability;0.14687882496940025;0.13494620237128777;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3381104033970276;0.3172353590178944;ommited for csv readability;0.35495716034271724;0.33213139975663925;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3292488012786361;0.3300514377670386;ommited for csv readability;0.3659730722154223;0.3690690089782951;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4919786096256685;0.4868004402233397;ommited for csv readability;0.5030599755201959;0.5001938332298338;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4787976382179281;0.4757076086424064;ommited for csv readability;0.48959608323133413;0.4933508032096183;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5269396551724138;0.5150891382145346;ommited for csv readability;0.5458996328029376;0.5450860862841024;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5532720389399676;0.5445673489882706;ommited for csv readability;0.5691554467564259;0.5693342092594145;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5694896851248643;0.563398678722564;ommited for csv readability;0.583843329253366;0.5844223224129736;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5732970027247957;0.5658382697359395;ommited for csv readability;0.5973072215422277;0.5974530707145024;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5804157549234136;0.573972085867816;ommited for csv readability;0.5960832313341493;0.5949975881565939;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
