dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1427815970386039;0.09455894499607427;ommited for csv readability;0.1419828641370869;0.0925337535462661;ommited for csv readability;0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.5714285714285714;0.4857142857142857;ommited for csv readability;0.4570063694267516;0.30108068349850975;ommited for csv readability;0.4222766217870257;0.27764577451594624;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.7142857142857143;0.6428571428571429;ommited for csv readability;0.4560468833244539;0.40953415457065356;ommited for csv readability;0.40269277845777235;0.3645244181226735;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.9047619047619048;0.8928571428571429;ommited for csv readability;0.6770053475935829;0.6020141180077206;ommited for csv readability;0.6438188494492044;0.5797863003050482;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.725174449812131;0.7155361539043958;ommited for csv readability;0.6695226438188494;0.6596770402721612;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7235991379310345;0.7092728053342119;ommited for csv readability;0.6474908200734394;0.6330288312749277;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.775013520822066;0.7612589872976849;ommited for csv readability;0.7160342717258262;0.7011980447810231;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7812160694896851;0.7682982839343907;ommited for csv readability;0.7086903304773562;0.6889140799403987;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8;0.7848875101370884;ommited for csv readability;0.7343941248470012;0.712070084039124;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8025164113785558;0.7862048297030266;ommited for csv readability;0.7368421052631579;0.7144870961512949;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7962657880285557;0.7832593539670799;ommited for csv readability;0.7221542227662179;0.70129471430606;ommited for csv readability;70.0;[10 10 10 10 10 10 10]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8037486218302095;0.7899020677815108;ommited for csv readability;0.7294981640146879;0.7065184593701078;ommited for csv readability;77.0;[11 11 11 11 11 11 11]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8035417819590481;0.7917215256106329;ommited for csv readability;0.7246022031823746;0.7033897459498378;ommited for csv readability;84.0;[12 12 12 12 12 12 12]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8055555555555556;0.7933087008091951;ommited for csv readability;0.7405140758873929;0.7223697036600701;ommited for csv readability;91.0;[13 13 13 13 13 13 13]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8192972671500279;0.8090316032242166;ommited for csv readability;0.7600979192166463;0.7386751247200264;ommited for csv readability;98.0;[14 14 14 14 14 14 14]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8135498320268757;0.8039785786298317;ommited for csv readability;0.7564259485924113;0.7373425267199128;ommited for csv readability;105.0;[15 15 15 15 15 15 15]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8173130972456436;0.8078835740862661;ommited for csv readability;0.7490820073439413;0.7299962019704569;ommited for csv readability;112.0;[16 16 16 16 16 16 16]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8132054176072234;0.8038723770984681;ommited for csv readability;0.7466340269277846;0.7316198677303581;ommited for csv readability;119.0;[17 17 17 17 17 17 17]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8135977337110482;0.8013787454397562;ommited for csv readability;0.7454100367197063;0.7261138820447215;ommited for csv readability;126.0;[18 18 18 18 18 18 18]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8145620022753128;0.802957633396224;ommited for csv readability;0.7564259485924113;0.7399096103036186;ommited for csv readability;133.0;[19 19 19 19 19 19 19]
