dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.16023268112109995;0.10241236627684154;ommited for csv readability;0.17503059975520197;0.10750652537651871;ommited for csv readability;0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3248407643312102;0.2715710032238509;ommited for csv readability;0.30599755201958384;0.24520170960884322;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5721896643580181;0.5399008610596604;ommited for csv readability;0.4981640146878825;0.4658014892699342;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.9510204081632653;ommited for csv readability;0.7443850267379679;0.7209623296814506;ommited for csv readability;0.6940024479804161;0.6670920444925104;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7391304347826086;0.715589700766761;ommited for csv readability;0.6952264381884945;0.6716847477599287;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7106681034482759;0.7017042655319113;ommited for csv readability;0.642594859241126;0.6348040947418359;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7312060573282856;0.7220029372273039;ommited for csv readability;0.6487148102815178;0.6366564814160106;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.743213897937025;0.7301295499977977;ommited for csv readability;0.6658506731946144;0.6532153347017317;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7629427792915532;0.7450381320644924;ommited for csv readability;0.7001223990208079;0.679840302035898;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7565645514223195;0.7410215512881003;ommited for csv readability;0.6817625458996328;0.6610993218191086;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.757276221856123;0.742119223990265;ommited for csv readability;0.6866585067319462;0.6676066199800411;ommited for csv readability;70.0;[10 10 10 10 10 10 10]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7535832414553473;0.7426234137674105;ommited for csv readability;0.6817625458996328;0.6647605265174341;ommited for csv readability;77.0;[11 11 11 11 11 11 11]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7648035417819591;0.7509466586146106;ommited for csv readability;0.6866585067319462;0.6651406180821746;ommited for csv readability;84.0;[12 12 12 12 12 12 12]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7644444444444445;0.755395625343579;ommited for csv readability;0.6805385556915544;0.6606290290532727;ommited for csv readability;91.0;[13 13 13 13 13 13 13]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7640825432236475;0.7536147918900087;ommited for csv readability;0.6756425948592412;0.6586306075128509;ommited for csv readability;98.0;[14 14 14 14 14 14 14]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.776595744680851;0.7661511582001571;ommited for csv readability;0.6866585067319462;0.6652910611584121;ommited for csv readability;105.0;[15 15 15 15 15 15 15]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7655986509274874;0.7568824922626941;ommited for csv readability;0.6842105263157895;0.6633406544735643;ommited for csv readability;112.0;[16 16 16 16 16 16 16]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7844243792325056;0.775113806848828;ommited for csv readability;0.6854345165238678;0.6675107629772905;ommited for csv readability;119.0;[17 17 17 17 17 17 17]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7728045325779037;0.7653445326326187;ommited for csv readability;0.6854345165238678;0.6707903138317752;ommited for csv readability;126.0;[18 18 18 18 18 18 18]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7832764505119454;0.7752250783081134;ommited for csv readability;0.6891064871481029;0.6737851359538304;ommited for csv readability;133.0;[19 19 19 19 19 19 19]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7875499714448886;0.7826144245879159;ommited for csv readability;0.6988984088127295;0.6832172885402343;ommited for csv readability;140.0;[20 20 20 20 20 20 20]


Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.09518773135906927;0.07800475960476114;ommited for csv readability;0.09791921664626684;0.08132092310474412;ommited for csv readability;0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5461783439490446;0.5223941481190427;ommited for csv readability;0.5385556915544676;0.5255666130551169;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6483750665956314;0.6375032018124254;ommited for csv readability;0.6303549571603427;0.6087918276955017;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7128342245989305;0.6938002346867123;ommited for csv readability;0.6707466340269278;0.6501049179499027;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7305421363392378;0.7220283970675478;ommited for csv readability;0.6817625458996328;0.6742729343308883;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7117456896551724;0.7083382410405636;ommited for csv readability;0.6682986536107711;0.663418089645572;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7155219037317468;0.7077142028246293;ommited for csv readability;0.6768665850673194;0.6679893857093356;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7741585233441911;0.7615473122318902;ommited for csv readability;0.7454100367197063;0.7252297807213639;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.784741144414169;0.7698526027242244;ommited for csv readability;0.7454100367197063;0.7237278697383772;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7795404814004376;0.7652669097813513;ommited for csv readability;0.7368421052631579;0.717176599504869;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7726523887973641;0.7548978958187773;ommited for csv readability;0.7343941248470012;0.7125760076454365;ommited for csv readability;70.0;[10 10 10 10 10 10 10]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7772877618522602;0.7602327368718742;ommited for csv readability;0.7319461444308446;0.7110126204238911;ommited for csv readability;77.0;[11 11 11 11 11 11 11]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7814056447149972;0.7659518663080352;ommited for csv readability;0.7441860465116279;0.7226577353872509;ommited for csv readability;84.0;[12 12 12 12 12 12 12]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7838888888888889;0.7690212588477708;ommited for csv readability;0.7331701346389229;0.7089022685203318;ommited for csv readability;91.0;[13 13 13 13 13 13 13]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7780256553262688;0.759942790832502;ommited for csv readability;0.7294981640146879;0.7034417129894663;ommited for csv readability;98.0;[14 14 14 14 14 14 14]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.765397536394177;0.7513609948380158;ommited for csv readability;0.7172582619339045;0.6942006579564629;ommited for csv readability;105.0;[15 15 15 15 15 15 15]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7639123102866779;0.7530922168468506;ommited for csv readability;0.7135862913096696;0.695359654851572;ommited for csv readability;112.0;[16 16 16 16 16 16 16]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7804740406320542;0.7702995458185118;ommited for csv readability;0.7331701346389229;0.7142701967094958;ommited for csv readability;119.0;[17 17 17 17 17 17 17]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.775070821529745;0.7610925953629585;ommited for csv readability;0.7307221542227662;0.7124227890030873;ommited for csv readability;126.0;[18 18 18 18 18 18 18]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7844141069397043;0.7700743475300342;ommited for csv readability;0.7417380660954712;0.7201731930596758;ommited for csv readability;133.0;[19 19 19 19 19 19 19]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7892632781267847;0.7749354232564426;ommited for csv readability;0.7417380660954712;0.7193398651053349;ommited for csv readability;140.0;[20 20 20 20 20 20 20]


Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.09148598625066102;0.08378331457017753;ommited for csv readability;0.09179926560587515;0.08424446248300313;ommited for csv readability;0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4272823779193206;0.4174106992247665;ommited for csv readability;0.41370869033047736;0.41201592424505223;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;0.9285714285714286;0.9238095238095237;ommited for csv readability;0.5316995205114544;0.5072092431219312;ommited for csv readability;0.4847001223990208;0.4680149342390911;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5754010695187166;0.555576306907628;ommited for csv readability;0.5214198286413708;0.5138996183529974;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5931293612453032;0.5801359483653392;ommited for csv readability;0.5324357405140759;0.5343102794176758;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.630926724137931;0.6183334105709737;ommited for csv readability;0.5691554467564259;0.5640995145877536;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.6949702541914549;0.6796750457626552;ommited for csv readability;0.6328029375764994;0.6226106753900627;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.6948968512486428;0.6855811078010153;ommited for csv readability;0.6266829865361077;0.6207249070230016;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.7046321525885558;0.6935633600295742;ommited for csv readability;0.6242350061199511;0.6174963203482148;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.723741794310722;0.7137900815044061;ommited for csv readability;0.6340269277845777;0.6255447266306636;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.7160900604063701;0.7061981606007287;ommited for csv readability;0.6376988984088128;0.627986193615823;ommited for csv readability;70.0;[10 10 10 10 10 10 10]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.7067254685777288;0.7014898399685745;ommited for csv readability;0.6181150550795593;0.6112943127819326;ommited for csv readability;77.0;[11 11 11 11 11 11 11]
