dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.30447069052967174;0.247898618184049;ommited for csv readability;0.30983772819472616;0.2509211558377609;ommited for csv readability;0.0;[]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.3931729236121177;0.18814267630789505;ommited for csv readability;0.3924949290060852;0.18790968681718864;ommited for csv readability;3.0;[1 1 1]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.387459224356651;0.1861720654824103;ommited for csv readability;0.3924949290060852;0.18790968681718864;ommited for csv readability;6.0;[2 2 2]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.3842082366589327;0.18504356328461927;ommited for csv readability;0.3924949290060852;0.18790968681718864;ommited for csv readability;9.0;[3 3 3]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.38472695626949016;0.1852239796096505;ommited for csv readability;0.3924949290060852;0.18790968681718864;ommited for csv readability;12.0;[4 4 4]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.6;0.47863247863247865;ommited for csv readability;0.5384447990715219;0.38675223088024246;ommited for csv readability;0.5510480054090602;0.3949311366153287;ommited for csv readability;15.0;[5 5 5]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.5555555555555556;0.4444444444444444;ommited for csv readability;0.5388522092432707;0.3868805988576116;ommited for csv readability;0.5515551048005409;0.3952481401399197;ommited for csv readability;18.0;[6 6 6]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.5714285714285714;0.45394736842105265;ommited for csv readability;0.5998548621190131;0.44271522635091914;ommited for csv readability;0.6078431372549019;0.4467711870474565;ommited for csv readability;21.0;[7 7 7]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.5833333333333334;0.4666666666666666;ommited for csv readability;0.6359875154242578;0.4736831328687536;ommited for csv readability;0.6479039891818796;0.4799569643875667;ommited for csv readability;24.0;[8 8 8]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.5555555555555556;0.43999999999999995;ommited for csv readability;0.6006243647451721;0.44237715842280884;ommited for csv readability;0.6115618661257607;0.4488569623494003;ommited for csv readability;27.0;[9 9 9]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8277777777777778;ommited for csv readability;0.7128748819984024;0.6928636637689628;ommited for csv readability;0.7109533468559838;0.6897452947821141;ommited for csv readability;30.0;[10 10 10]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.8484848484848485;0.8443408443408442;ommited for csv readability;0.7388146426496223;0.7279995454224043;ommited for csv readability;0.7315753887762001;0.7185612463244745;ommited for csv readability;33.0;[11 11 11]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.8611111111111112;0.8579365079365079;ommited for csv readability;0.7455139847439157;0.734455381116439;ommited for csv readability;0.736815415821501;0.7220280534152885;ommited for csv readability;36.0;[12 12 12]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.8717948717948718;0.8693084693084693;ommited for csv readability;0.7477837523615753;0.738140087123103;ommited for csv readability;0.7376605814739688;0.7245463678788185;ommited for csv readability;39.0;[13 13 13]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.8809523809523809;0.878968253968254;ommited for csv readability;0.7609564648593647;0.7540843928762571;ommited for csv readability;0.7554090601757945;0.7457402735084036;ommited for csv readability;42.0;[14 14 14]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.8666666666666667;0.8648809523809525;ommited for csv readability;0.78256760686246;0.7723065886736227;ommited for csv readability;0.7832995267072346;0.7706079825891038;ommited for csv readability;45.0;[15 15 15]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.8958333333333334;0.8931239737274219;ommited for csv readability;0.7740856540391188;0.7685249984152048;ommited for csv readability;0.7716362407031778;0.7640728939337794;ommited for csv readability;48.0;[16 16 16]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.8627450980392157;0.861952861952862;ommited for csv readability;0.7696;0.7631554953135712;ommited for csv readability;0.7702839756592292;0.7619296088285664;ommited for csv readability;51.0;[17 17 17]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.8518518518518519;0.8502621561445091;ommited for csv readability;0.7712955553939042;0.7644517608073965;ommited for csv readability;0.7721433400946586;0.762574137029567;ommited for csv readability;54.0;[18 18 18]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.8596491228070176;0.8586872586872586;ommited for csv readability;0.7804860302677532;0.7743773538309765;ommited for csv readability;0.7854969574036511;0.7770189329694605;ommited for csv readability;57.0;[19 19 19]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.8666666666666667;0.8658413658413657;ommited for csv readability;0.7778909831889964;0.7722564260659186;ommited for csv readability;0.7792427315753888;0.7721996254978851;ommited for csv readability;60.0;[20 20 20]


PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.47532787479168176;0.36658975310580083;ommited for csv readability;0.4710953346855984;0.36449428757664454;ommited for csv readability;0.0;[]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.40288447601101607;0.19145528749289661;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;3.0;[1 1 1]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.3978252990213846;0.18973534546837456;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;6.0;[2 2 2]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.39733178654292345;0.18956690189566902;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;9.0;[3 3 3]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.39995648705489883;0.1904613896947092;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;12.0;[4 4 4]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.3998259103438271;0.19041696894324112;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;15.0;[5 5 5]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.6666666666666666;0.5429864253393665;ommited for csv readability;0.5740404846550098;0.42966917638334357;ommited for csv readability;0.5711629479377958;0.4265536430816607;ommited for csv readability;18.0;[6 6 6]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.6666666666666666;0.5444444444444444;ommited for csv readability;0.5917271407837446;0.43979651560819993;ommited for csv readability;0.5933062880324543;0.44042725618475104;ommited for csv readability;21.0;[7 7 7]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.6666666666666666;0.545609548167093;ommited for csv readability;0.6134136604485737;0.45746407704951947;ommited for csv readability;0.6112237998647735;0.45481349539280486;ommited for csv readability;24.0;[8 8 8]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.6666666666666666;0.5465587044534413;ommited for csv readability;0.6128938579933207;0.45657899428218024;ommited for csv readability;0.6120689655172413;0.45486162854245055;ommited for csv readability;27.0;[9 9 9]
