dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.35606115498876895;0.3267555634094375;ommited for csv readability;0.3509127789046653;0.3211947243075296;ommited for csv readability;0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4507899695608059;0.3732052728305948;ommited for csv readability;0.450473292765382;0.3734980931720416;ommited for csv readability;3.0;[1 1 1]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.44711852120333456;0.4080072617884019;ommited for csv readability;0.4496281271129141;0.4089216002491372;ommited for csv readability;6.0;[2 2 2]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.8857142857142858;ommited for csv readability;0.5100783062645011;0.4334431483211009;ommited for csv readability;0.5091277890466531;0.43135492556056293;ommited for csv readability;9.0;[3 3 3]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9153439153439153;ommited for csv readability;0.6121546159982595;0.5386210107140438;ommited for csv readability;0.612237998647735;0.5376525083771576;ommited for csv readability;12.0;[4 4 4]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7142028144494414;0.6928957996851263;ommited for csv readability;0.7085868830290737;0.6857574142266115;ommited for csv readability;15.0;[5 5 5]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9444444444444444;0.9440559440559441;ommited for csv readability;0.7078284843647972;0.6850282586256817;ommited for csv readability;0.7009803921568627;0.6776361994414253;ommited for csv readability;18.0;[6 6 6]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.952136752136752;ommited for csv readability;0.6969521044992744;0.6655680389466053;ommited for csv readability;0.6898242055442867;0.656838596332226;ommited for csv readability;21.0;[7 7 7]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9131652661064426;ommited for csv readability;0.6816433185744356;0.6457264233074875;ommited for csv readability;0.6747802569303584;0.6376675919855094;ommited for csv readability;24.0;[8 8 8]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9259259259259259;0.9232456140350879;ommited for csv readability;0.6981269057644838;0.6694953592297068;ommited for csv readability;0.6889790398918187;0.6576672863294623;ommited for csv readability;27.0;[9 9 9]
