dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.35606115498876895;0.3267555634094375;ommited for csv readability;0.3509127789046653;0.3211947243075296;ommited for csv readability;0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4144803594723873;0.4028129570487533;ommited for csv readability;0.41801893171061527;0.40537124026936905;ommited for csv readability;3.0;[1 1 1]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8222222222222223;ommited for csv readability;0.528452337803552;0.47159271330198765;ommited for csv readability;0.5316091954022989;0.46970802951526275;ommited for csv readability;6.0;[2 2 2]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.8857142857142857;ommited for csv readability;0.4996374709976798;0.45020657441308654;ommited for csv readability;0.4883367139959432;0.44201743841418395;ommited for csv readability;9.0;[3 3 3]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8222222222222223;ommited for csv readability;0.5573283051707884;0.5679326599436797;ommited for csv readability;0.5579783637592968;0.5705443518332403;ommited for csv readability;12.0;[4 4 4]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.606122152908748;0.610487958767017;ommited for csv readability;0.6061528059499662;0.6108751212436007;ommited for csv readability;15.0;[5 5 5]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.669883189436262;0.6718426778868469;ommited for csv readability;0.6702163624070318;0.6729703004125235;ommited for csv readability;18.0;[6 6 6]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7015239477503629;0.7033366709337896;ommited for csv readability;0.7021636240703177;0.7051454589880031;ommited for csv readability;21.0;[7 7 7]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7291137402917907;0.7317217991873511;ommited for csv readability;0.7297160243407708;0.7334866290483862;ommited for csv readability;24.0;[8 8 8]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7270219253666328;0.7280487445968564;ommited for csv readability;0.7293779580797837;0.7313946155146555;ommited for csv readability;27.0;[9 9 9]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7319003703434754;0.7335111080400853;ommited for csv readability;0.7334347532116294;0.7359443156957376;ommited for csv readability;30.0;[10 10 10]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7326409064497386;0.7340199053992303;ommited for csv readability;0.7337728194726166;0.7365766099131851;ommited for csv readability;33.0;[11 11 11]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7452960406828913;0.7473846851855551;ommited for csv readability;0.7481406355645707;0.7512295211840517;ommited for csv readability;36.0;[12 12 12]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7478564162185729;0.7487466654921455;ommited for csv readability;0.7481406355645707;0.7501968060083968;ommited for csv readability;39.0;[13 13 13]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7629914964750345;0.7633708681868062;ommited for csv readability;0.7657200811359026;0.7664287792248583;ommited for csv readability;42.0;[14 14 14]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7678104100029078;0.7679533084821042;ommited for csv readability;0.7706220419202163;0.7712730204995601;ommited for csv readability;45.0;[15 15 15]
