dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.00463216868181473;0.0015290347413773743;ommited for csv readability;0.004899260192035259;0.002018422430529721;ommited for csv readability;0.0;[]
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.04;0.0039691404525027925;ommited for csv readability;0.03031688382055385;0.0034360040945782162;ommited for csv readability;0.029789076027073823;0.003384373157431171;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.04;0.003858441268976448;ommited for csv readability;0.029706334576406528;0.0024895826589470473;ommited for csv readability;0.02965134582087203;0.002431958182193484;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.025210084033613446;0.0012295081967213116;ommited for csv readability;0.007321293115938941;0.000372722121122974;ommited for csv readability;0.007516134109869353;0.00037300316369175493;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.03734177215189873;0.005004184032432345;ommited for csv readability;0.08394975157988353;0.011663534849014676;ommited for csv readability;0.08084763104045332;0.010992336242641888;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.08934010152284264;0.01885936221249541;ommited for csv readability;0.15071772387579474;0.025228228807709044;ommited for csv readability;0.14988981583503858;0.024630573579831044;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"


ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.03251799289565386;0.0036065568673523144;ommited for csv readability;0.0328191405635133;0.0036260009224641414;ommited for csv readability;0.0;[]
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;649695571.0;0.0525;0.010784495014624298;ommited for csv readability;0.04239792074094769;0.007973271913714637;ommited for csv readability;0.04147646781048324;0.007358616732378011;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;649695571.0;0.02625;0.0032315270935960594;ommited for csv readability;0.008503300231908189;0.0034044524870392124;ommited for csv readability;0.008558948528254368;0.003254048876280579;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;649695571.0;0.029411764705882353;0.0023856129190115;ommited for csv readability;0.012972069991221268;0.0013097675639897376;ommited for csv readability;0.013005666614198016;0.0012745052971853074;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;649695571.0;0.02531645569620253;0.001234567901234568;ommited for csv readability;0.04674231864476351;0.0022900393969730506;ommited for csv readability;0.04645443097749095;0.0022196107925166867;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;649695571.0;0.025380710659898477;0.0012376237623762376;ommited for csv readability;0.046812928467854724;0.002293306600507125;ommited for csv readability;0.04645443097749095;0.0022196107925166867;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"


ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.009686210649769236;0.001984299153648161;ommited for csv readability;0.009837871871556745;0.001997152036876092;ommited for csv readability;0.0;[]
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;831763849.0;0.03;0.010693473193473194;ommited for csv readability;0.012978436999974603;0.008486747918293432;ommited for csv readability;0.013163072564142925;0.008499725431176207;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;831763849.0;0.02625;0.003606442577030812;ommited for csv readability;0.005691519635742743;0.003043480050758612;ommited for csv readability;0.005804344404218479;0.003004754693106379;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;831763849.0;0.05042016806722689;0.005536836945319675;ommited for csv readability;0.039973067187140436;0.0030510769974920918;ommited for csv readability;0.04009916574846529;0.0030235190876609476;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;831763849.0;0.05063291139240506;0.005231551296778656;ommited for csv readability;0.039824181838394375;0.0030512814725626907;ommited for csv readability;0.040000787029749726;0.0030258814041087315;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
