dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.00463216868181473;0.0015290347413773743;ommited for csv readability;0.004899260192035259;0.002018422430529721;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.025;0.0012195121951219514;ommited for csv readability;0.1109220362515768;0.004992341164905008;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.025;0.0012195121951219514;ommited for csv readability;0.10524214442868186;0.004761044670581363;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.025210084033613446;0.0012295081967213116;ommited for csv readability;0.14276095423978727;0.008688371358773926;ommited for csv readability;0.16724382181646466;0.009222927890069366;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.04430379746835443;0.010708333333333334;ommited for csv readability;0.20747569245504066;0.022780967614656256;ommited for csv readability;0.24960648512513772;0.025263422578216465;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.048730964467005075;0.006293392883049057;ommited for csv readability;0.2154801843001656;0.020458794261447366;ommited for csv readability;0.27284353848575477;0.024328205923290054;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"


ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.03251799289565386;0.0036065568673523144;ommited for csv readability;0.0328191405635133;0.0036260009224641414;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.025;0.0013440860215053762;ommited for csv readability;0.12489099975448488;0.0063921955590962535;ommited for csv readability;0.163662836455218;0.008028468752543164;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.025;0.0012195121951219514;ommited for csv readability;0.11243724462491186;0.005053644381657821;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.025210084033613446;0.0012295081967213116;ommited for csv readability;0.1157343879177356;0.005186466831668042;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.02531645569620253;0.001234567901234568;ommited for csv readability;0.11102369611506854;0.004996459414110004;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.025380710659898477;0.0012376237623762376;ommited for csv readability;0.11280234064642339;0.005068390698248211;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"


ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.009686210649769236;0.001984299153648161;ommited for csv readability;0.009837871871556745;0.001997152036876092;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.025;0.0012195121951219514;ommited for csv readability;0.10716311516352153;0.0048825285429789245;ommited for csv readability;0.1613017472060444;0.00697097986152227;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.025;0.0012195121951219514;ommited for csv readability;0.09691723511072979;0.004417709559506847;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.025210084033613446;0.0012295081967213116;ommited for csv readability;0.12262952893146623;0.005461709574314629;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.02531645569620253;0.001234567901234568;ommited for csv readability;0.1380634347822369;0.006065717892458898;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.025380710659898477;0.0012376237623762376;ommited for csv readability;0.13647478742846356;0.006004303348306972;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"


ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.005779664020114918;0.0013929176048779256;ommited for csv readability;0.005942074610420274;0.0014945825485553315;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017.0;0.025;0.0012195121951219514;ommited for csv readability;0.10483495457970352;0.004744371733766532;ommited for csv readability;0.06975051156933731;0.0032601298534091112;ommited for csv readability;400.0;"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017.0;0.025;0.0012195121951219514;ommited for csv readability;0.08238262302601959;0.0038056146354097176;ommited for csv readability;0.06975051156933731;0.0032601298534091112;ommited for csv readability;800.0;"[20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017.0;0.025210084033613446;0.0012295081967213116;ommited for csv readability;0.12418924562554867;0.005523502653525398;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;1190.0;"[30 30 30 30 30 30 30 30 30 30 30 30 20 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017.0;0.02531645569620253;0.001234567901234568;ommited for csv readability;0.13225698868640914;0.005840413881650995;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;1580.0;"[40 40 40 40 40 40 40 40 40 40 40 40 20 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017.0;0.025380710659898477;0.0012376237623762376;ommited for csv readability;0.13196166419274297;0.005828892813558808;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;1970.0;"[50 50 50 50 50 50 50 50 50 50 50 50 20 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50]"

