dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1943250214961307;0.1487954206206255;ommited for csv readability;0.2017982017982018;0.15543017144111693;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.2560344827586207;0.1463700272065493;ommited for csv readability;0.24675324675324675;0.13280375898010596;ommited for csv readability;6.0;[1 1 2 1 1]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;0.75;0.7545454545454545;ommited for csv readability;0.30121002592912705;0.20716709345860831;ommited for csv readability;0.3036963036963037;0.20939898027805173;ommited for csv readability;12.0;[1 3 4 1 1 2]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.8853276353276353;ommited for csv readability;0.4462738301559792;0.338010097165193;ommited for csv readability;0.46053946053946054;0.35387634670296314;ommited for csv readability;18.0;[1 4 6 3 1 3]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;0.9583333333333334;0.9663865546218487;ommited for csv readability;0.5421372719374457;0.4499880618858662;ommited for csv readability;0.5684315684315684;0.481468315267203;ommited for csv readability;24.0;[1 5 8 4 2 4]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5326655052264808;0.44905823527395833;ommited for csv readability;0.5404595404595405;0.45464448209782266;ommited for csv readability;30.0;[ 1  6 11  5  2  5]


CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.1638005159071367;0.11922665390084675;ommited for csv readability;0.14985014985014986;0.10822712856701071;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.2625;0.14432608177930564;ommited for csv readability;0.2787212787212787;0.16018882145643765;ommited for csv readability;6.0;[0 1 3 1 1]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.8533333333333333;ommited for csv readability;0.3146067415730337;0.18151090776669845;ommited for csv readability;0.3196803196803197;0.18460282887986787;ommited for csv readability;12.0;[0 3 4 2 2 1]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;0.7222222222222222;0.6345543345543345;ommited for csv readability;0.3682842287694974;0.20091503755147624;ommited for csv readability;0.3706293706293706;0.20553768914702497;ommited for csv readability;18.0;[1 5 5 2 4 1]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.7412698412698413;ommited for csv readability;0.4539530842745439;0.31984018194984143;ommited for csv readability;0.46553446553446554;0.3235091974484087;ommited for csv readability;24.0;[2 6 7 3 5 1]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;0.9;0.7407407407407408;ommited for csv readability;0.41594076655052264;0.3379279983820999;ommited for csv readability;0.4085914085914086;0.3302982134067449;ommited for csv readability;30.0;[2 8 9 4 5 2]


CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.18529664660361134;0.1456201227248546;ommited for csv readability;0.18181818181818182;0.14537493663856008;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;0.8333333333333334;0.8666666666666666;ommited for csv readability;0.20301724137931035;0.05983594039749548;ommited for csv readability;0.20679320679320679;0.06600165778867553;ommited for csv readability;6.0;[0 1 2 1 2]
CiteSeer;own;medoids;0;64;0.5;1;0.005;831763849.0;0.5;0.4999999999999999;ommited for csv readability;0.2065687121866897;0.06528161995643912;ommited for csv readability;0.21078921078921078;0.07207409180374735;ommited for csv readability;12.0;[0 2 3 2 2 3]
