dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1943250214961307;0.1487954206206255;ommited for csv readability;0.2017982017982018;0.15543017144111693;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.2655172413793103;0.13387970843586072;ommited for csv readability;0.25274725274725274;0.12273717787529943;ommited for csv readability;6.0;[0 1 0 3 2]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.75;0.4787878787878787;ommited for csv readability;0.21175453759723423;0.09652305007370802;ommited for csv readability;0.21078921078921078;0.0942367844854551;ommited for csv readability;12.0;[0 2 1 4 4 1]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.82;ommited for csv readability;0.35571923743500866;0.23705937113974207;ommited for csv readability;0.34865134865134867;0.2273980427195731;ommited for csv readability;18.0;[0 3 1 6 5 3]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.6883699633699633;ommited for csv readability;0.4522154648132059;0.348694351474343;ommited for csv readability;0.44455544455544455;0.3382504683241711;ommited for csv readability;24.0;[2 4 1 7 6 4]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.8666666666666667;0.6966089466089466;ommited for csv readability;0.5500871080139372;0.46645240917023756;ommited for csv readability;0.5394605394605395;0.4511597366821832;ommited for csv readability;30.0;[ 2  5  2 10  7  4]


CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.1638005159071367;0.11922665390084675;ommited for csv readability;0.14985014985014986;0.10822712856701071;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.7777777777777778;ommited for csv readability;0.2525862068965517;0.1384446185085213;ommited for csv readability;0.26673326673326675;0.14967161677580293;ommited for csv readability;6.0;[0 4 0 2]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.5833333333333334;0.2977777777777778;ommited for csv readability;0.32800345721694035;0.1596485716875623;ommited for csv readability;0.32167832167832167;0.1558247096795661;ommited for csv readability;12.0;[1 4 3 3 1]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.9444444444444444;0.9532467532467532;ommited for csv readability;0.322790294627383;0.19872543142640361;ommited for csv readability;0.32967032967032966;0.20236348537426974;ommited for csv readability;18.0;[3 4 5 5 1]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.9583333333333334;0.9492063492063492;ommited for csv readability;0.340139009556907;0.21463401229935655;ommited for csv readability;0.3676323676323676;0.24739594703798254;ommited for csv readability;24.0;[4 4 7 6 3]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.49085365853658536;0.39655467582791815;ommited for csv readability;0.4945054945054945;0.3970085792426595;ommited for csv readability;30.0;[4 6 9 7 4]


CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.18529664660361134;0.1456201227248546;ommited for csv readability;0.18181818181818182;0.14537493663856008;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;0.8333333333333334;0.8666666666666666;ommited for csv readability;0.23706896551724138;0.10783318655165126;ommited for csv readability;0.22577422577422576;0.08832802247436394;ommited for csv readability;6.0;[1 1 2 1 1]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;0.9166666666666666;0.942857142857143;ommited for csv readability;0.3690579083837511;0.23825734027369946;ommited for csv readability;0.36063936063936064;0.22891497329808477;ommited for csv readability;12.0;[1 1 4 2 3 1]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;0.7777777777777778;0.7894179894179896;ommited for csv readability;0.24090121317157712;0.12445008774555523;ommited for csv readability;0.23676323676323677;0.11834532962686822;ommited for csv readability;18.0;[1 2 6 2 5 2]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;0.75;0.722286863463334;ommited for csv readability;0.32363162467419637;0.18481943667180575;ommited for csv readability;0.32167832167832167;0.18631580611763657;ommited for csv readability;24.0;[2 5 6 3 6 2]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;0.8666666666666667;0.8476941359294301;ommited for csv readability;0.37761324041811845;0.25886959207479426;ommited for csv readability;0.38161838161838163;0.26490101597742116;ommited for csv readability;30.0;[2 6 7 4 8 3]


CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.16766981943250214;0.12794610468143205;ommited for csv readability;0.14185814185814186;0.10432572238717874;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;0.6666666666666666;0.7083333333333333;ommited for csv readability;0.1793103448275862;0.05136372851440865;ommited for csv readability;0.1798201798201798;0.05260962062727712;ommited for csv readability;6.0;[0 2 2 1 1]
CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;0.75;0.7568181818181818;ommited for csv readability;0.1222990492653414;0.07069720462794878;ommited for csv readability;0.13686313686313686;0.07397735055233863;ommited for csv readability;12.0;[0 2 5 3 2]
CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;0.6666666666666666;0.5317460317460317;ommited for csv readability;0.22790294627383015;0.09842375971776408;ommited for csv readability;0.22977022977022976;0.09790612668648856;ommited for csv readability;18.0;[1 2 6 4 2 3]
