dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1943250214961307;0.1487954206206255;ommited for csv readability;0.2017982017982018;0.15543017144111693;ommited for csv readability;0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.21594827586206897;0.07020095019080953;ommited for csv readability;0.21078921078921078;0.06729266566079906;ommited for csv readability;6.0;[1 1 0 2 0 2]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.7999999999999999;ommited for csv readability;0.2394122731201383;0.11479220619688846;ommited for csv readability;0.22577422577422576;0.10527018531288414;ommited for csv readability;12.0;[2 1 2 3 1 3]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.7222222222222222;0.6620879120879121;ommited for csv readability;0.23006932409012132;0.10013736787144438;ommited for csv readability;0.2177822177822178;0.09407990478152982;ommited for csv readability;18.0;[2 3 4 4 2 3]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.75;0.6607142857142857;ommited for csv readability;0.2801911381407472;0.16074853541102233;ommited for csv readability;0.26673326673326675;0.15399198779397208;ommited for csv readability;24.0;[2 3 5 8 2 4]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.8;0.6832611832611833;ommited for csv readability;0.3645470383275261;0.19588268921182883;ommited for csv readability;0.35364635364635366;0.18984195845689375;ommited for csv readability;30.0;[ 2  3  6 10  3  6]


CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.1638005159071367;0.11922665390084675;ommited for csv readability;0.14985014985014986;0.10822712856701071;ommited for csv readability;0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.18405172413793103;0.06567439740379295;ommited for csv readability;0.17682317682317683;0.0637065724782069;ommited for csv readability;6.0;[1 4 0 0 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;0.75;0.46515151515151515;ommited for csv readability;0.2722558340535869;0.1482106190889759;ommited for csv readability;0.26173826173826176;0.1420730990447766;ommited for csv readability;12.0;[1 5 1 2 3]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;0.7222222222222222;0.43333333333333335;ommited for csv readability;0.3791161178509532;0.24824357940625671;ommited for csv readability;0.36863136863136864;0.2420913663022182;ommited for csv readability;18.0;[1 6 3 3 4 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;0.75;0.4275793650793651;ommited for csv readability;0.42788879235447436;0.273586000012879;ommited for csv readability;0.42157842157842157;0.27094298629608343;ommited for csv readability;24.0;[1 7 4 6 5 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;0.8666666666666667;0.6146304675716441;ommited for csv readability;0.406794425087108;0.29228003328325985;ommited for csv readability;0.3836163836163836;0.2706919545140652;ommited for csv readability;30.0;[1 7 7 8 5 2]


CiteSeer;own;random;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.18529664660361134;0.1456201227248546;ommited for csv readability;0.18181818181818182;0.14537493663856008;ommited for csv readability;0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.23017241379310344;0.08555085314163273;ommited for csv readability;0.22277722277722278;0.07947530864197531;ommited for csv readability;6.0;[0 1 2 2 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;831763849.0;0.9166666666666666;0.8888888888888888;ommited for csv readability;0.3197925669835782;0.16511494358632556;ommited for csv readability;0.3096903096903097;0.15647174821924545;ommited for csv readability;12.0;[0 1 4 5 2]
CiteSeer;own;random;0.2;64;0.5;1;0.005;831763849.0;0.8888888888888888;0.7061840120663649;ommited for csv readability;0.35008665511265163;0.16978969365472715;ommited for csv readability;0.33166833166833165;0.15761567549911945;ommited for csv readability;18.0;[0 1 6 8 2 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;831763849.0;0.875;0.6950000000000001;ommited for csv readability;0.3583840139009557;0.17296624938059127;ommited for csv readability;0.33766233766233766;0.16173708857628272;ommited for csv readability;24.0;[ 0  3  7 10  2  2]
CiteSeer;own;random;0.2;64;0.5;1;0.005;831763849.0;0.9;0.8453703703703704;ommited for csv readability;0.3362369337979094;0.18466574959724505;ommited for csv readability;0.2937062937062937;0.16488580097831468;ommited for csv readability;30.0;[ 0  5  7 13  2  3]


CiteSeer;own;random;0.2;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.16766981943250214;0.12794610468143205;ommited for csv readability;0.14185814185814186;0.10432572238717874;ommited for csv readability;0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.2831896551724138;0.1357755483272365;ommited for csv readability;0.2727272727272727;0.12706953204085503;ommited for csv readability;6.0;[1 3 1 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.3595505617977528;0.20135235352255956;ommited for csv readability;0.36363636363636365;0.2012919379939538;ommited for csv readability;12.0;[1 4 2 4 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;615395017.0;0.8888888888888888;0.7649572649572649;ommited for csv readability;0.3574523396880416;0.2140014107221584;ommited for csv readability;0.3596403596403596;0.2056964715609947;ommited for csv readability;18.0;[1 5 3 6 1 2]
CiteSeer;own;random;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.42788879235447436;0.3134127867412167;ommited for csv readability;0.4125874125874126;0.3086137945973706;ommited for csv readability;24.0;[1 6 4 7 3 3]
CiteSeer;own;random;0.2;64;0.5;1;0.005;615395017.0;0.9333333333333333;0.93003663003663;ommited for csv readability;0.42552264808362367;0.30434629092721344;ommited for csv readability;0.41858141858141856;0.3072044786419691;ommited for csv readability;30.0;[1 7 6 8 4 4]


CiteSeer;own;random;0.2;64;0.5;1;0.005;2140929057.0;0.0;0.0;[[]];0.10275150472914875;0.08402671616594372;ommited for csv readability;0.11388611388611389;0.09057001698902578;ommited for csv readability;0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.3116379310344828;0.24664390606350714;ommited for csv readability;0.3086913086913087;0.24814501786256127;ommited for csv readability;6.0;[2 2 1 0 0 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;2140929057.0;0.6666666666666666;0.6;ommited for csv readability;0.25021607605877266;0.15486906596332942;ommited for csv readability;0.25074925074925075;0.15505989971785497;ommited for csv readability;12.0;[2 2 3 1 3 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;2140929057.0;0.6111111111111112;0.5041666666666668;ommited for csv readability;0.25216637781629114;0.15570101301446784;ommited for csv readability;0.25374625374625376;0.1607953833112739;ommited for csv readability;18.0;[2 3 5 1 4 3]
CiteSeer;own;random;0.2;64;0.5;1;0.005;2140929057.0;0.875;0.8526936026936026;ommited for csv readability;0.473501303214596;0.3766392450870266;ommited for csv readability;0.47152847152847155;0.3638753166636051;ommited for csv readability;24.0;[2 5 6 3 4 4]
CiteSeer;own;random;0.2;64;0.5;1;0.005;2140929057.0;0.9;0.8847953216374269;ommited for csv readability;0.4808362369337979;0.39370822562359115;ommited for csv readability;0.46553446553446554;0.37030117714224525;ommited for csv readability;30.0;[3 5 8 4 5 5]


CiteSeer;own;random;0.2;64;0.5;1;0.005;1240197975.0;0.0;0.0;[[]];0.16036113499570076;0.12379575797448157;ommited for csv readability;0.14085914085914086;0.11050608753104389;ommited for csv readability;0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;1240197975.0;1.0;1.0;ommited for csv readability;0.2267241379310345;0.0928458191433369;ommited for csv readability;0.21978021978021978;0.09066637454284567;ommited for csv readability;6.0;[2 1 1 2]
CiteSeer;own;random;0.2;64;0.5;1;0.005;1240197975.0;0.6666666666666666;0.5933333333333333;ommited for csv readability;0.34269662921348315;0.17112872821278904;ommited for csv readability;0.34865134865134867;0.17452107732735342;ommited for csv readability;12.0;[2 3 2 3 2]
CiteSeer;own;random;0.2;64;0.5;1;0.005;1240197975.0;1.0;1.0;ommited for csv readability;0.39428076256499134;0.29815826978219284;ommited for csv readability;0.3826173826173826;0.2912342357970914;ommited for csv readability;18.0;[3 4 3 4 4]
CiteSeer;own;random;0.2;64;0.5;1;0.005;1240197975.0;0.9166666666666666;0.787179487179487;ommited for csv readability;0.41485664639443964;0.3165933290716405;ommited for csv readability;0.4015984015984016;0.3157659318828286;ommited for csv readability;24.0;[3 5 4 7 4 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;1240197975.0;0.9;0.7904040404040403;ommited for csv readability;0.5161149825783972;0.41699208568545293;ommited for csv readability;0.5014985014985015;0.4109299138966113;ommited for csv readability;30.0;[3 6 5 8 5 3]


CiteSeer;own;random;0.2;64;0.5;1;0.005;784866329.0;0.0;0.0;[[]];0.15950128976784178;0.1524946841412799;ommited for csv readability;0.15784215784215785;0.15132081074980283;ommited for csv readability;0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;784866329.0;1.0;1.0;ommited for csv readability;0.3599137931034483;0.17988206510016744;ommited for csv readability;0.34865134865134867;0.17204054641079392;ommited for csv readability;6.0;[1 1 1 2 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;784866329.0;0.75;0.7933333333333333;ommited for csv readability;0.3539325842696629;0.1917459169145044;ommited for csv readability;0.35064935064935066;0.18544302569485693;ommited for csv readability;12.0;[1 3 3 3 2]
CiteSeer;own;random;0.2;64;0.5;1;0.005;784866329.0;0.6111111111111112;0.5555555555555555;ommited for csv readability;0.33882149046793764;0.19261024331942245;ommited for csv readability;0.34165834165834164;0.18597825564188283;ommited for csv readability;18.0;[1 5 5 4 2 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;784866329.0;0.625;0.4940984940984941;ommited for csv readability;0.365768896611642;0.1887362056538772;ommited for csv readability;0.3626373626373626;0.17952907720378222;ommited for csv readability;24.0;[2 5 7 5 4 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;784866329.0;0.7666666666666667;0.6340548340548341;ommited for csv readability;0.47735191637630664;0.34109971729452426;ommited for csv readability;0.47152847152847155;0.3325243776490155;ommited for csv readability;30.0;[3 6 8 6 5 2]


