dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.14445399828030955;0.1340659756043573;ommited for csv readability;0.16183816183816183;0.15323882974908376;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.19008620689655173;0.07006187090220704;ommited for csv readability;0.1918081918081918;0.07350132128648186;ommited for csv readability;6.0;[0 2 0 1 3]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3656006914433881;0.259005278334703;ommited for csv readability;0.36363636363636365;0.2595185249149594;ommited for csv readability;12.0;[0 2 0 3 5 2]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.31152512998266896;0.1931528693473422;ommited for csv readability;0.27172827172827174;0.19109976915147353;ommited for csv readability;18.0;[0 3 1 5 7 2]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.340139009556907;0.22805060361350185;ommited for csv readability;0.30569430569430567;0.2327383495891977;ommited for csv readability;24.0;[0 5 1 7 9 2]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.9333333333333333;0.8740890688259109;ommited for csv readability;0.3789198606271777;0.2829270824216486;ommited for csv readability;0.34865134865134867;0.286456216262649;ommited for csv readability;30.0;[ 0  6  3 10  9  2]


CiteSeer;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.14789337919174547;0.12026710362005612;ommited for csv readability;0.17282717282717283;0.14692712691009627;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.19525862068965516;0.07654252704031465;ommited for csv readability;0.1928071928071928;0.07920413468595455;ommited for csv readability;6.0;[1 0 0 0 2 3]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.2964563526361279;0.15496478454027288;ommited for csv readability;0.3046953046953047;0.1609328728487505;ommited for csv readability;12.0;[1 0 0 1 3 7]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.8039215686274509;ommited for csv readability;0.41637781629116116;0.28493021892465237;ommited for csv readability;0.41358641358641357;0.29297612712026005;ommited for csv readability;18.0;[2 1 2 1 4 8]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.9583333333333334;0.9716775599128541;ommited for csv readability;0.5451781059947871;0.46927943734609184;ommited for csv readability;0.5494505494505495;0.47927556059323084;ommited for csv readability;24.0;[2 2 2 4 5 9]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.9666666666666667;0.9750445632798574;ommited for csv readability;0.5888501742160279;0.5339252264281612;ommited for csv readability;0.5944055944055944;0.530403862066485;ommited for csv readability;30.0;[3 4 3 5 6 9]


CiteSeer;own;medoids;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.1706792777300086;0.15180245590554284;ommited for csv readability;0.15584415584415584;0.1420526485083233;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.1793103448275862;0.051933909203199645;ommited for csv readability;0.17882117882117882;0.05060785976816511;ommited for csv readability;6.0;[0 0 1 0 5]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;831763849.0;0.8333333333333334;0.625;ommited for csv readability;0.3617113223854797;0.1910681985913695;ommited for csv readability;0.34965034965034963;0.18542728478212347;ommited for csv readability;12.0;[0 0 3 3 6]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4506065857885615;0.28680112635820837;ommited for csv readability;0.4385614385614386;0.28264352796085446;ommited for csv readability;18.0;[0 0 4 6 8]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.49956559513466553;0.3457155617241982;ommited for csv readability;0.4825174825174825;0.3308156328805946;ommited for csv readability;24.0;[ 0  0  5  8 10  1]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5740418118466899;0.43315845622630506;ommited for csv readability;0.5684315684315684;0.43072034728473074;ommited for csv readability;30.0;[ 0  1  8  9 10  2]


CiteSeer;own;medoids;0.2;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.11092003439380911;0.10502692039481365;ommited for csv readability;0.11788211788211789;0.11162011613456953;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.2271551724137931;0.10241465819948736;ommited for csv readability;0.2177822177822178;0.08886204313931455;ommited for csv readability;6.0;[1 2 0 2 1]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.4248055315471046;0.3408331005996914;ommited for csv readability;0.4195804195804196;0.3331380303434923;ommited for csv readability;12.0;[2 2 2 3 2 1]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.46577123050259966;0.36230352159415613;ommited for csv readability;0.4645354645354645;0.3528238694957912;ommited for csv readability;18.0;[4 2 4 4 2 2]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.5834057341442224;0.5400111485310235;ommited for csv readability;0.5954045954045954;0.5445626436566119;ommited for csv readability;24.0;[5 4 5 4 3 3]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.610191637630662;0.565680234777307;ommited for csv readability;0.6223776223776224;0.5692022652428842;ommited for csv readability;30.0;[5 5 6 6 4 4]


CiteSeer;own;medoids;0.2;64;0.5;1;0.005;2140929057.0;0.0;0.0;[[]];0.17368873602751506;0.17015641452349994;ommited for csv readability;0.1888111888111888;0.17889849733265953;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;2140929057.0;0.8333333333333334;0.8666666666666666;ommited for csv readability;0.3422413793103448;0.2143732245933788;ommited for csv readability;0.32967032967032966;0.20741436304313943;ommited for csv readability;6.0;[0 1 1 2 1 1]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;2140929057.0;0.9166666666666666;0.9492063492063492;ommited for csv readability;0.34010371650821086;0.2118569568109191;ommited for csv readability;0.33166833166833165;0.2083160440802551;ommited for csv readability;12.0;[0 2 1 4 4 1]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;2140929057.0;0.8888888888888888;0.8333333333333334;ommited for csv readability;0.45363951473136915;0.3973475058490871;ommited for csv readability;0.4385614385614386;0.38437886247924463;ommited for csv readability;18.0;[1 3 2 5 5 2]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.5364900086880973;0.480064317582309;ommited for csv readability;0.5044955044955045;0.44469392346257836;ommited for csv readability;24.0;[2 5 2 7 5 3]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;2140929057.0;0.9666666666666667;0.9555555555555556;ommited for csv readability;0.5923344947735192;0.5595411566240256;ommited for csv readability;0.5574425574425574;0.518973168687444;ommited for csv readability;30.0;[2 8 2 7 7 4]


CiteSeer;own;medoids;0.2;64;0.5;1;0.005;1240197975.0;0.0;0.0;[[]];0.1895958727429063;0.16018546236573214;ommited for csv readability;0.18281718281718282;0.15521521425012566;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;1240197975.0;1.0;1.0;ommited for csv readability;0.1875;0.06276951441265033;ommited for csv readability;0.1798201798201798;0.05745046773115715;ommited for csv readability;6.0;[1 4 0 1]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;1240197975.0;0.9166666666666666;0.8888888888888888;ommited for csv readability;0.39671564390665515;0.2763906649774739;ommited for csv readability;0.3856143856143856;0.26299648858098923;ommited for csv readability;12.0;[1 4 1 2 2 2]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;1240197975.0;0.9444444444444444;0.9206349206349205;ommited for csv readability;0.47357019064124783;0.40624924493626074;ommited for csv readability;0.45354645354645357;0.38459009505864855;ommited for csv readability;18.0;[2 4 3 3 3 3]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;1240197975.0;0.9583333333333334;0.9259259259259259;ommited for csv readability;0.5147697654213728;0.44708072714422104;ommited for csv readability;0.4885114885114885;0.4171279396602323;ommited for csv readability;24.0;[2 6 4 4 4 4]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;1240197975.0;0.9666666666666667;0.9316239316239315;ommited for csv readability;0.5971254355400697;0.5532547368512859;ommited for csv readability;0.5744255744255744;0.5297364846096492;ommited for csv readability;30.0;[2 9 4 5 4 6]


CiteSeer;own;medoids;0.2;64;0.5;1;0.005;784866329.0;0.0;0.0;[[]];0.1895958727429063;0.14395506948657064;ommited for csv readability;0.1958041958041958;0.1580089368382632;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;784866329.0;1.0;1.0;ommited for csv readability;0.4017241379310345;0.27706153319052146;ommited for csv readability;0.4005994005994006;0.2784198007491833;ommited for csv readability;6.0;[0 1 2 1 2]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;784866329.0;1.0;1.0;ommited for csv readability;0.5038893690579084;0.3770392931125725;ommited for csv readability;0.5054945054945055;0.38526824229174367;ommited for csv readability;12.0;[0 1 3 2 5 1]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;784866329.0;1.0;1.0;ommited for csv readability;0.5355285961871751;0.39677558731082807;ommited for csv readability;0.5464535464535465;0.41509328800888184;ommited for csv readability;18.0;[0 1 5 5 6 1]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;784866329.0;0.9583333333333334;0.9664335664335664;ommited for csv readability;0.5760208514335361;0.4401896537811423;ommited for csv readability;0.5814185814185814;0.4509181568660443;ommited for csv readability;24.0;[0 3 7 5 7 2]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;784866329.0;0.9;0.8401239283592224;ommited for csv readability;0.5823170731707317;0.5006269090532293;ommited for csv readability;0.6023976023976024;0.5284924387042378;ommited for csv readability;30.0;[1 4 9 5 8 3]


CiteSeer;own;medoids;0.2;64;0.5;1;0.005;1866817562.0;0.0;0.0;[[]];0.20077386070507308;0.14085394441231883;ommited for csv readability;0.2017982017982018;0.14675170207213448;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;1866817562.0;1.0;1.0;ommited for csv readability;0.38146551724137934;0.24590473130045035;ommited for csv readability;0.3676323676323676;0.23142459042713562;ommited for csv readability;6.0;[0 0 1 3 1 1]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;1866817562.0;0.8333333333333334;0.8158730158730159;ommited for csv readability;0.4511668107173725;0.3451051560540331;ommited for csv readability;0.45554445554445555;0.3485967488653881;ommited for csv readability;12.0;[1 0 1 5 4 1]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;1866817562.0;0.9444444444444444;0.9515151515151515;ommited for csv readability;0.5173310225303293;0.46037149835733754;ommited for csv readability;0.5014985014985015;0.45017144785850344;ommited for csv readability;18.0;[1 1 3 6 5 2]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;1866817562.0;0.9166666666666666;0.8959595959595958;ommited for csv readability;0.5260642919200695;0.4802941912484516;ommited for csv readability;0.5044955044955045;0.4522000246189733;ommited for csv readability;24.0;[4 2 4 7 5 2]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;1866817562.0;0.9333333333333333;0.9333778966131908;ommited for csv readability;0.5496515679442509;0.508962215426398;ommited for csv readability;0.5184815184815185;0.4781873459559429;ommited for csv readability;30.0;[4 3 6 8 7 2]


CiteSeer;own;medoids;0.2;64;0.5;1;0.005;503786444.0;0.0;0.0;[[]];0.1809974204643164;0.16037737597907575;ommited for csv readability;0.16683316683316685;0.151734327165572;ommited for csv readability;0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;503786444.0;1.0;1.0;ommited for csv readability;0.18663793103448276;0.07050886602701785;ommited for csv readability;0.18581418581418582;0.06793478867762018;ommited for csv readability;6.0;[1 0 0 1 3 1]
