dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.14445399828030955;0.1340659756043573;ommited for csv readability;0.16183816183816183;0.15323882974908376;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8666666666666667;ommited for csv readability;0.35258620689655173;0.2247446918351912;ommited for csv readability;0.35264735264735264;0.21677426624131066;ommited for csv readability;6.0;[1 0 1 2 2]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9151515151515153;ommited for csv readability;0.3362143474503025;0.1716983574258477;ommited for csv readability;0.33766233766233766;0.1734961216708332;ommited for csv readability;12.0;[1 0 3 2 5 1]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8542929292929293;ommited for csv readability;0.3968804159445407;0.26689907072334806;ommited for csv readability;0.4035964035964036;0.2781007548692562;ommited for csv readability;18.0;[3 3 3 2 6 1]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.7916666666666666;0.7761904761904762;ommited for csv readability;0.4956559513466551;0.38827719668129146;ommited for csv readability;0.5134865134865135;0.4069660848453156;ommited for csv readability;24.0;[4 3 5 4 6 2]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.8666666666666667;0.8221500721500722;ommited for csv readability;0.4952090592334495;0.3818681621985492;ommited for csv readability;0.5084915084915085;0.3996598177852772;ommited for csv readability;30.0;[5 4 8 5 6 2]


CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.14789337919174547;0.12026710362005612;ommited for csv readability;0.17282717282717283;0.14692712691009627;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.2206896551724138;0.1224261568325249;ommited for csv readability;0.22777222777222778;0.13243168809025588;ommited for csv readability;6.0;[1 0 0 2 2 1]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.9166666666666666;0.8888888888888888;ommited for csv readability;0.3668971477960242;0.21707468002349808;ommited for csv readability;0.3626373626373626;0.21907876758388464;ommited for csv readability;12.0;[3 1 1 2 4 1]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.7855921855921856;ommited for csv readability;0.3791161178509532;0.24290769005371507;ommited for csv readability;0.3916083916083916;0.26899152864918935;ommited for csv readability;18.0;[3 2 2 3 6 2]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.9166666666666666;0.8835978835978837;ommited for csv readability;0.43874891398783666;0.3343535025554536;ommited for csv readability;0.46553446553446554;0.3622958061807388;ommited for csv readability;24.0;[3 2 3 5 7 4]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.9666666666666667;0.9292929292929294;ommited for csv readability;0.5117595818815331;0.41773624149826954;ommited for csv readability;0.5384615384615384;0.44944962667731164;ommited for csv readability;30.0;[5 2 4 5 8 6]


CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.1706792777300086;0.15180245590554284;ommited for csv readability;0.15584415584415584;0.1420526485083233;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;0.6666666666666666;0.7083333333333333;ommited for csv readability;0.28663793103448276;0.1747447102031929;ommited for csv readability;0.3026973026973027;0.18673360771884784;ommited for csv readability;6.0;[0 0 1 2 1 2]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;0.9166666666666666;0.9314285714285715;ommited for csv readability;0.4222126188418323;0.3433303705969757;ommited for csv readability;0.43656343656343655;0.35080991060495004;ommited for csv readability;12.0;[0 3 2 3 1 3]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.47920277296360486;0.37173886201876777;ommited for csv readability;0.4745254745254745;0.37102180607532387;ommited for csv readability;18.0;[0 4 4 3 4 3]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.47567332754126845;0.35413694326664197;ommited for csv readability;0.47352647352647353;0.3541029660252362;ommited for csv readability;24.0;[1 4 6 5 5 3]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;0.9666666666666667;0.9750445632798574;ommited for csv readability;0.5113240418118467;0.4033435423523222;ommited for csv readability;0.4865134865134865;0.37701578682441433;ommited for csv readability;30.0;[1 6 8 6 6 3]


CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.11092003439380911;0.10502692039481365;ommited for csv readability;0.11788211788211789;0.11162011613456953;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;0.8333333333333334;0.8412698412698413;ommited for csv readability;0.22586206896551725;0.0987235569246643;ommited for csv readability;0.22577422577422576;0.09418098086803996;ommited for csv readability;6.0;[2 1 0 3]
CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;0.8333333333333334;0.8380952380952381;ommited for csv readability;0.2791702679343129;0.16493304747140794;ommited for csv readability;0.2837162837162837;0.16608817026937875;ommited for csv readability;12.0;[3 1 3 3 2]
CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;0.9444444444444444;0.9377777777777778;ommited for csv readability;0.33015597920277295;0.20393018391665618;ommited for csv readability;0.34765234765234765;0.21794818351760872;ommited for csv readability;18.0;[4 1 4 6 3]
CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;0.9583333333333334;0.9292929292929294;ommited for csv readability;0.42354474370112943;0.3085551047532288;ommited for csv readability;0.45554445554445555;0.345327866157447;ommited for csv readability;24.0;[5 2 5 7 4 1]
CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;0.9333333333333333;0.889957264957265;ommited for csv readability;0.48214285714285715;0.3967384985592565;ommited for csv readability;0.5304695304695305;0.4348306183603993;ommited for csv readability;30.0;[6 4 6 7 5 2]


CiteSeer;own;own;0;64;0.5;1;0.005;2140929057.0;0.0;0.0;[[]];0.17368873602751506;0.17015641452349994;ommited for csv readability;0.1888111888111888;0.17889849733265953;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;2140929057.0;0.8333333333333334;0.8666666666666666;ommited for csv readability;0.37198275862068964;0.2976834917160485;ommited for csv readability;0.36563436563436563;0.2850091856351216;ommited for csv readability;6.0;[1 1 1 2 1]
CiteSeer;own;own;0;64;0.5;1;0.005;2140929057.0;0.6666666666666666;0.6805555555555555;ommited for csv readability;0.29256698357821953;0.22178097705189526;ommited for csv readability;0.2817182817182817;0.2242101179661374;ommited for csv readability;12.0;[1 2 3 2 2 2]
CiteSeer;own;own;0;64;0.5;1;0.005;2140929057.0;0.8333333333333334;0.771885521885522;ommited for csv readability;0.34055459272097055;0.20102184087598418;ommited for csv readability;0.3516483516483517;0.21289061192838843;ommited for csv readability;18.0;[2 5 3 4 2 2]
CiteSeer;own;own;0;64;0.5;1;0.005;2140929057.0;0.875;0.832996632996633;ommited for csv readability;0.525629887054735;0.4392369508483527;ommited for csv readability;0.5364635364635365;0.4483108636376946;ommited for csv readability;24.0;[2 7 5 4 3 3]
CiteSeer;own;own;0;64;0.5;1;0.005;2140929057.0;0.9;0.8551587301587301;ommited for csv readability;0.5143728222996515;0.44589761246157544;ommited for csv readability;0.5284715284715285;0.464809580083884;ommited for csv readability;30.0;[2 8 6 6 4 4]


CiteSeer;own;own;0;64;0.5;1;0.005;1240197975.0;0.0;0.0;[[]];0.1895958727429063;0.16018546236573214;ommited for csv readability;0.18281718281718282;0.15521521425012566;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;1240197975.0;0.8333333333333334;0.8666666666666667;ommited for csv readability;0.2396551724137931;0.12538533152962947;ommited for csv readability;0.23976023976023977;0.12467846193570546;ommited for csv readability;6.0;[0 0 2 2 1 1]
CiteSeer;own;own;0;64;0.5;1;0.005;1240197975.0;0.9166666666666666;0.8888888888888888;ommited for csv readability;0.25021607605877266;0.18968604858328567;ommited for csv readability;0.26673326673326675;0.2008244311664321;ommited for csv readability;12.0;[1 1 2 2 1 5]
