dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1706792777300086;0.16691061421077544;ommited for csv readability;0.1798201798201798;0.17450709055476454;ommited for csv readability;0.0;[]
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.20560344827586208;0.19744472463092896;ommited for csv readability;0.2217782217782218;0.21736498206843224;ommited for csv readability;6.0;[1 3 1 0 1]
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.2964563526361279;0.26833563052698095;ommited for csv readability;0.2817182817182817;0.25721270117553513;ommited for csv readability;12.0;[1 4 3 2 1 1]
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.33882149046793764;0.31732892076578173;ommited for csv readability;0.30569430569430567;0.2810689812876416;ommited for csv readability;18.0;[1 5 3 4 2 3]
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.34448305821025194;0.31435145171173146;ommited for csv readability;0.3336663336663337;0.29564413370474146;ommited for csv readability;24.0;[4 5 4 5 2 4]
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3693379790940767;0.33428123263174103;ommited for csv readability;0.3516483516483517;0.3107387843218239;ommited for csv readability;30.0;[5 6 5 7 3 4]


CiteSeer;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.17540842648323302;0.1729111869396661;ommited for csv readability;0.18181818181818182;0.17678930280255659;ommited for csv readability;0.0;[]
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.33793103448275863;0.2967269941614386;ommited for csv readability;0.32867132867132864;0.29099886365028593;ommited for csv readability;6.0;[0 2 1 0 2 1]
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.32238547968885045;0.29447813812061807;ommited for csv readability;0.3106893106893107;0.27881433629204433;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.29116117850953205;0.27713332394441487;ommited for csv readability;0.2777222777222777;0.26630716587868547;ommited for csv readability;18.0;[3 4 2 4 2 3]
