dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1706792777300086;0.16691061421077544;ommited for csv readability;0.1798201798201798;0.17450709055476454;ommited for csv readability;0.0;[]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.21422413793103448;0.19619404697161444;ommited for csv readability;0.24175824175824176;0.22657023127347956;ommited for csv readability;6.0;[0 3 1 1 1]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3565254969749352;0.3050655263235396;ommited for csv readability;0.3436563436563437;0.29447710042063374;ommited for csv readability;12.0;[0 3 2 3 3 1]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.43630849220103984;0.390439823062861;ommited for csv readability;0.4175824175824176;0.37070178806769133;ommited for csv readability;18.0;[0 4 2 5 4 3]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4192006950477845;0.371782570258335;ommited for csv readability;0.42657342657342656;0.38506814907207604;ommited for csv readability;24.0;[2 4 2 6 6 4]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4442508710801394;0.4062952143196598;ommited for csv readability;0.42857142857142855;0.39474827153417236;ommited for csv readability;30.0;[4 5 2 8 7 4]


CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.17540842648323302;0.1729111869396661;ommited for csv readability;0.18181818181818182;0.17678930280255659;ommited for csv readability;0.0;[]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.25732758620689655;0.2380342056430618;ommited for csv readability;0.23176823176823177;0.21618777570979786;ommited for csv readability;6.0;[0 1 0 1 4]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.3634399308556612;0.32073240577141354;ommited for csv readability;0.32367632367632365;0.28731219950018255;ommited for csv readability;12.0;[0 4 1 1 5 1]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.38604852686308494;0.3392166420781302;ommited for csv readability;0.3546453546453546;0.32183996209672383;ommited for csv readability;18.0;[0 4 1 3 8 2]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9166666666666666;0.923611111111111;ommited for csv readability;0.3861859252823632;0.3423591922942164;ommited for csv readability;0.3546453546453546;0.3146903128138458;ommited for csv readability;24.0;[3 5 1 4 8 3]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9333333333333333;0.923611111111111;ommited for csv readability;0.40505226480836237;0.35729997870336505;ommited for csv readability;0.37662337662337664;0.33872611902120514;ommited for csv readability;30.0;[3 7 2 5 8 5]


CiteSeer;own;own;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.16638005159071367;0.1622783379117055;ommited for csv readability;0.15684315684315683;0.15309886901996603;ommited for csv readability;0.0;[]
CiteSeer;own;own;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.3271551724137931;0.2901138164697821;ommited for csv readability;0.3096903096903097;0.27924476691656147;ommited for csv readability;6.0;[0 0 2 2 1 1]
CiteSeer;own;own;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.35133967156439067;0.3051912951894607;ommited for csv readability;0.3006993006993007;0.2636505695351085;ommited for csv readability;12.0;[1 1 2 2 4 2]
CiteSeer;own;own;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.3752166377816291;0.32852687916154083;ommited for csv readability;0.33666333666333664;0.2928875986887535;ommited for csv readability;18.0;[2 1 4 4 4 3]
CiteSeer;own;own;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.394005212858384;0.34313147380890796;ommited for csv readability;0.3786213786213786;0.3358075329825228;ommited for csv readability;24.0;[2 1 5 6 6 4]
CiteSeer;own;own;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.39198606271777003;0.3400057837298913;ommited for csv readability;0.34965034965034963;0.3150049699835229;ommited for csv readability;30.0;[3 1 6 8 8 4]


CiteSeer;own;own;0.2;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.16809974204643163;0.1653396607537726;ommited for csv readability;0.18681318681318682;0.18407239630532046;ommited for csv readability;0.0;[]
CiteSeer;own;own;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.35301724137931034;0.2970740207067657;ommited for csv readability;0.34965034965034963;0.2971709612064706;ommited for csv readability;6.0;[0 0 1 1 2 2]
CiteSeer;own;own;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.388504753673293;0.3414071440958512;ommited for csv readability;0.37462537462537465;0.32662504433422845;ommited for csv readability;12.0;[1 1 2 4 2 2]
CiteSeer;own;own;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.38951473136915077;0.34206219321931197;ommited for csv readability;0.36563436563436563;0.3218456150636616;ommited for csv readability;18.0;[1 2 4 5 2 4]
CiteSeer;own;own;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.3792354474370113;0.3365523049679509;ommited for csv readability;0.3696303696303696;0.33243473515482785;ommited for csv readability;24.0;[2 3 6 7 2 4]
CiteSeer;own;own;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.4115853658536585;0.36725913636779844;ommited for csv readability;0.38161838161838163;0.345897555603438;ommited for csv readability;30.0;[ 3  4  7 10  2  4]


CiteSeer;own;own;0.2;64;0.5;1;0.005;2140929057.0;0.0;0.0;[[]];0.16595012897678418;0.1626024483399967;ommited for csv readability;0.16183816183816183;0.15855491528287008;ommited for csv readability;0.0;[]
CiteSeer;own;own;0.2;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.30603448275862066;0.27762097683138826;ommited for csv readability;0.3106893106893107;0.2777928382151454;ommited for csv readability;6.0;[3 0 1 1 1]
CiteSeer;own;own;0.2;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.3738115816767502;0.3358477736508563;ommited for csv readability;0.34865134865134867;0.3124400320188058;ommited for csv readability;12.0;[3 0 3 3 1 2]
CiteSeer;own;own;0.2;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.3678509532062392;0.3373028662300179;ommited for csv readability;0.3436563436563437;0.31603707932012;ommited for csv readability;18.0;[3 0 4 5 1 5]
CiteSeer;own;own;0.2;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.36055603822762816;0.3281731399192508;ommited for csv readability;0.3386613386613387;0.31168015474255406;ommited for csv readability;24.0;[3 1 5 5 3 7]
CiteSeer;own;own;0.2;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.39939024390243905;0.3637147091918016;ommited for csv readability;0.3726273726273726;0.3394521704884501;ommited for csv readability;30.0;[4 3 5 6 5 7]


CiteSeer;own;own;0.2;64;0.5;1;0.005;1240197975.0;0.0;0.0;[[]];0.1642304385210662;0.1608240889263142;ommited for csv readability;0.17482517482517482;0.17193898454617051;ommited for csv readability;0.0;[]
CiteSeer;own;own;0.2;64;0.5;1;0.005;1240197975.0;1.0;1.0;ommited for csv readability;0.20517241379310344;0.20109035742183676;ommited for csv readability;0.1968031968031968;0.19048485337230656;ommited for csv readability;6.0;[1 1 0 0 3 1]
CiteSeer;own;own;0.2;64;0.5;1;0.005;1240197975.0;1.0;1.0;ommited for csv readability;0.36430423509075194;0.3135396127946503;ommited for csv readability;0.34465534465534464;0.2980302661680449;ommited for csv readability;12.0;[1 1 4 0 4 2]
CiteSeer;own;own;0.2;64;0.5;1;0.005;1240197975.0;1.0;1.0;ommited for csv readability;0.378682842287695;0.33631581287642565;ommited for csv readability;0.34265734265734266;0.3005682833817899;ommited for csv readability;18.0;[1 3 5 2 4 3]
CiteSeer;own;own;0.2;64;0.5;1;0.005;1240197975.0;1.0;1.0;ommited for csv readability;0.3987836663770634;0.3568615620346136;ommited for csv readability;0.3826173826173826;0.3485765095118976;ommited for csv readability;24.0;[1 5 6 4 4 4]
