dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1706792777300086;0.16691061421077544;ommited for csv readability;0.1798201798201798;0.17450709055476454;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.2103448275862069;0.19333977401675084;ommited for csv readability;0.24175824175824176;0.22657023127347956;ommited for csv readability;6.0;[0 3 1 1 1]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3444252376836647;0.29483483181063463;ommited for csv readability;0.3436563436563437;0.29447710042063374;ommited for csv readability;12.0;[0 3 2 3 3 1]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.42287694974003465;0.37889424088709056;ommited for csv readability;0.4175824175824176;0.37070178806769133;ommited for csv readability;18.0;[0 4 2 5 4 3]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.40269331016507387;0.35589079364921705;ommited for csv readability;0.42657342657342656;0.38506814907207604;ommited for csv readability;24.0;[2 4 2 6 6 4]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.42552264808362367;0.38689877404776385;ommited for csv readability;0.42857142857142855;0.39474827153417236;ommited for csv readability;30.0;[4 5 2 8 7 4]


CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.17540842648323302;0.1729111869396661;ommited for csv readability;0.18181818181818182;0.17678930280255659;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.2543103448275862;0.23579791234115266;ommited for csv readability;0.23176823176823177;0.21618777570979786;ommited for csv readability;6.0;[0 1 0 1 4]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.3543647363872083;0.31349912372955163;ommited for csv readability;0.32367632367632365;0.28731219950018255;ommited for csv readability;12.0;[0 4 1 1 5 1]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.36915077989601386;0.3255785200260238;ommited for csv readability;0.3546453546453546;0.32183996209672383;ommited for csv readability;18.0;[0 4 1 3 8 2]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.9166666666666666;0.923611111111111;ommited for csv readability;0.369244135534318;0.32831322281996567;ommited for csv readability;0.3546453546453546;0.3146903128138458;ommited for csv readability;24.0;[3 5 1 4 8 3]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.9333333333333333;0.923611111111111;ommited for csv readability;0.3885017421602787;0.3442338500647668;ommited for csv readability;0.37662337662337664;0.33872611902120514;ommited for csv readability;30.0;[3 7 2 5 8 5]


CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.16638005159071367;0.1622783379117055;ommited for csv readability;0.15684315684315683;0.15309886901996603;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.31551724137931036;0.28118603914006096;ommited for csv readability;0.3096903096903097;0.27924476691656147;ommited for csv readability;6.0;[0 0 2 2 1 1]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.33923941227312016;0.2965554870883615;ommited for csv readability;0.3006993006993007;0.2636505695351085;ommited for csv readability;12.0;[1 1 2 2 4 2]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.36091854419410746;0.3187281265245518;ommited for csv readability;0.33666333666333664;0.2928875986887535;ommited for csv readability;18.0;[2 1 4 4 4 3]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.3783666377063423;0.33229924581747666;ommited for csv readability;0.3786213786213786;0.3358075329825228;ommited for csv readability;24.0;[2 1 5 6 6 4]
CiteSeer;own;own;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.37064459930313587;0.3232165727383834;ommited for csv readability;0.34965034965034963;0.3150049699835229;ommited for csv readability;30.0;[3 1 6 8 8 4]


CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.16809974204643163;0.1653396607537726;ommited for csv readability;0.18681318681318682;0.18407239630532046;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.34698275862068967;0.29319345932351804;ommited for csv readability;0.34965034965034963;0.2971709612064706;ommited for csv readability;6.0;[0 0 1 1 2 2]
CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.3794295592048401;0.3345814113727818;ommited for csv readability;0.37462537462537465;0.32662504433422845;ommited for csv readability;12.0;[1 1 2 4 2 2]
CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.37608318890814557;0.33015676931755916;ommited for csv readability;0.36563436563436563;0.3218456150636616;ommited for csv readability;18.0;[1 2 4 5 2 4]
CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.36446568201563856;0.32304472974641524;ommited for csv readability;0.3696303696303696;0.33243473515482785;ommited for csv readability;24.0;[2 3 6 7 2 4]
CiteSeer;own;own;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.39634146341463417;0.35320058607716015;ommited for csv readability;0.38161838161838163;0.345897555603438;ommited for csv readability;30.0;[ 3  4  7 10  2  4]


CiteSeer;own;own;0;64;0.5;1;0.005;2140929057.0;0.0;0.0;[[]];0.16595012897678418;0.1626024483399967;ommited for csv readability;0.16183816183816183;0.15855491528287008;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.2952586206896552;0.2661874118247784;ommited for csv readability;0.3106893106893107;0.2777928382151454;ommited for csv readability;6.0;[3 0 1 1 1]
CiteSeer;own;own;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.3543647363872083;0.31720831911575537;ommited for csv readability;0.34865134865134867;0.3124400320188058;ommited for csv readability;12.0;[3 0 3 3 1 2]
CiteSeer;own;own;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.34228769497400346;0.31163575231031243;ommited for csv readability;0.3436563436563437;0.31603707932012;ommited for csv readability;18.0;[3 0 4 5 1 5]
CiteSeer;own;own;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.3327541268462207;0.3004408116496961;ommited for csv readability;0.3386613386613387;0.31168015474255406;ommited for csv readability;24.0;[3 1 5 5 3 7]
CiteSeer;own;own;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.3702090592334495;0.3336459318883593;ommited for csv readability;0.3726273726273726;0.3394521704884501;ommited for csv readability;30.0;[4 3 5 6 5 7]


CiteSeer;own;own;0;64;0.5;1;0.005;1240197975.0;0.0;0.0;[[]];0.1642304385210662;0.1608240889263142;ommited for csv readability;0.17482517482517482;0.17193898454617051;ommited for csv readability;0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;1240197975.0;1.0;1.0;ommited for csv readability;0.2;0.19505407235508157;ommited for csv readability;0.1968031968031968;0.19048485337230656;ommited for csv readability;6.0;[1 1 0 0 3 1]
