dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.11475409836065574;0.10869649242886618;ommited for csv readability;0.1003671970624235;0.09139025591666117;ommited for csv readability;0.0;[]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.40817409766454354;0.3335309985904171;ommited for csv readability;0.37454100367197063;0.3164281062862408;ommited for csv readability;7.0;[3 1 1 1 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5562067128396377;0.5026260703381588;ommited for csv readability;0.5128518971848225;0.462292440739981;ommited for csv readability;14.0;[4 1 3 2 3 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9047619047619048;0.9098484848484848;ommited for csv readability;0.5903743315508021;0.5295533372754072;ommited for csv readability;0.5581395348837209;0.500925449363665;ommited for csv readability;21.0;[5 2 4 5 4 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7122920021470747;0.665017292158033;ommited for csv readability;0.6658506731946144;0.6307624874417541;ommited for csv readability;28.0;[6 2 5 7 5 2 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9714285714285714;0.9510204081632653;ommited for csv readability;0.7322198275862069;0.6910253387694597;ommited for csv readability;0.6682986536107711;0.634129047973411;ommited for csv readability;35.0;[7 2 5 9 7 4 1]


Cora;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.07615018508725542;0.07822380331022541;ommited for csv readability;0.06119951040391677;0.05888578631319097;ommited for csv readability;0.0;[]
Cora;own;entropy;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5079617834394905;0.3893636222511354;ommited for csv readability;0.4908200734394125;0.38221917309230813;ommited for csv readability;7.0;[1 0 1 3 0 1 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6382525306339905;0.4991770696214641;ommited for csv readability;0.6034271725826194;0.4907244059666967;ommited for csv readability;14.0;[2 0 3 4 1 3 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.9523809523809523;0.9555555555555556;ommited for csv readability;0.6598930481283423;0.5565362961371351;ommited for csv readability;0.6107711138310894;0.5227246471255484;ommited for csv readability;21.0;[3 1 4 5 2 4 2]
Cora;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.9285714285714286;0.9284049284049284;ommited for csv readability;0.691358024691358;0.6484500395181328;ommited for csv readability;0.6756425948592412;0.6559169253708166;ommited for csv readability;28.0;[4 4 5 6 2 5 2]
Cora;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.9142857142857143;0.9285095856524428;ommited for csv readability;0.703125;0.6542177321950987;ommited for csv readability;0.6940024479804161;0.6654011143128974;ommited for csv readability;35.0;[4 6 5 8 4 6 2]


Cora;own;entropy;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.0967741935483871;0.0874745974512718;ommited for csv readability;0.08812729498164015;0.07346057730377135;ommited for csv readability;0.0;[]
Cora;own;entropy;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5185774946921444;0.34755489091360303;ommited for csv readability;0.4773561811505508;0.3262387646182507;ommited for csv readability;7.0;[2 0 1 1 1 1 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;831763849.0;0.9285714285714286;0.9111111111111111;ommited for csv readability;0.6462440063931806;0.5237268238085367;ommited for csv readability;0.6046511627906976;0.5041119769968093;ommited for csv readability;14.0;[4 0 1 3 1 3 2]
Cora;own;entropy;0.2;64;0.5;1;0.005;831763849.0;0.9523809523809523;0.9481481481481482;ommited for csv readability;0.6459893048128342;0.5230670339805337;ommited for csv readability;0.602203182374541;0.4961121903752453;ommited for csv readability;21.0;[4 0 2 4 3 5 3]
Cora;own;entropy;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.6468062265163714;0.5383348749974315;ommited for csv readability;0.5997552019583844;0.5156959218788311;ommited for csv readability;28.0;[6 0 3 6 4 6 3]
Cora;own;entropy;0.2;64;0.5;1;0.005;831763849.0;0.9714285714285714;0.9686609686609687;ommited for csv readability;0.6514008620689655;0.5417896635776165;ommited for csv readability;0.5862913096695227;0.5006777102906471;ommited for csv readability;35.0;[6 0 3 8 5 8 5]


Cora;own;entropy;0.2;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.1718667371760973;0.16600137128986475;ommited for csv readability;0.1554467564259486;0.14845253522283614;ommited for csv readability;0.0;[]
Cora;own;entropy;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.46178343949044587;0.3991114311948876;ommited for csv readability;0.44430844553243576;0.3747690310742183;ommited for csv readability;7.0;[1 1 1 2 1 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.5871070857751731;0.46871104070967373;ommited for csv readability;0.5361077111383109;0.4158792031518651;ommited for csv readability;14.0;[2 2 2 5 1 2]
Cora;own;entropy;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.4855614973262032;0.4887832951864057;ommited for csv readability;0.4320685434516524;0.4425580406130236;ommited for csv readability;21.0;[3 4 3 6 2 2 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;615395017.0;0.9642857142857143;0.963718820861678;ommited for csv readability;0.5947396672034353;0.5833516813124043;ommited for csv readability;0.5312117503059975;0.5243216153895351;ommited for csv readability;28.0;[4 4 4 8 3 4 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;615395017.0;0.9142857142857143;0.8836601307189544;ommited for csv readability;0.6325431034482759;0.6198933372368085;ommited for csv readability;0.5605875152998776;0.5446300430196411;ommited for csv readability;35.0;[4 6 5 9 5 5 1]


Cora;own;entropy;0.2;64;0.5;1;0.005;2140929057.0;0.0;0.0;[[]];0.09571655208884189;0.07532438872363005;ommited for csv readability;0.11627906976744186;0.08966183113550087;ommited for csv readability;0.0;[]
Cora;own;entropy;0.2;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.46443736730360935;0.24055124461340777;ommited for csv readability;0.45777233782129745;0.23578045665674535;ommited for csv readability;7.0;[0 0 1 4 1 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.5572722429408631;0.4092932355201563;ommited for csv readability;0.5348837209302325;0.3981569656606543;ommited for csv readability;14.0;[0 0 2 6 3 2 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.627807486631016;0.49581772818780506;ommited for csv readability;0.6083231334149327;0.47164567318062006;ommited for csv readability;21.0;[1 0 3 8 4 4 1]
