dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.11475409836065574;0.10869649242886618;ommited for csv readability;0.1003671970624235;0.09139025591666117;ommited for csv readability;0.0;[]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8933333333333333;ommited for csv readability;0.24416135881104034;0.18962259563247855;ommited for csv readability;0.23623011015911874;0.17441244998384925;ommited for csv readability;7.0;[3 1 1 1 1]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8465608465608466;ommited for csv readability;0.3755993606819393;0.2857017550704163;ommited for csv readability;0.3623011015911873;0.2644961994219483;ommited for csv readability;14.0;[3 1 4 2 2 0 2]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.7619047619047619;0.7214285714285714;ommited for csv readability;0.353475935828877;0.31020031090900524;ommited for csv readability;0.34761321909424725;0.30528231627016816;ommited for csv readability;21.0;[3 2 5 3 4 2 2]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8928571428571429;0.8512987012987013;ommited for csv readability;0.6033279656468062;0.540089023328666;ommited for csv readability;0.6107711138310894;0.5465277857984979;ommited for csv readability;28.0;[4 3 6 5 4 4 2]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9714285714285714;0.9746031746031747;ommited for csv readability;0.6767241379310345;0.6502144113105829;ommited for csv readability;0.6817625458996328;0.6577151566360305;ommited for csv readability;35.0;[5 4 7 7 5 5 2]


Cora;own;entropy;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.07615018508725542;0.07822380331022541;ommited for csv readability;0.06119951040391677;0.05888578631319097;ommited for csv readability;0.0;[]
Cora;own;entropy;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.40605095541401276;0.2924914859333228;ommited for csv readability;0.40636474908200737;0.2978612704612423;ommited for csv readability;7.0;[1 0 1 3 0 1 1]
Cora;own;entropy;0;64;0.5;1;0.005;649695571.0;0.8571428571428571;0.846153846153846;ommited for csv readability;0.4928076718167288;0.40967400332720366;ommited for csv readability;0.49326805385556916;0.40336903253929124;ommited for csv readability;14.0;[2 1 2 6 1 1 1]
Cora;own;entropy;0;64;0.5;1;0.005;649695571.0;0.8095238095238095;0.808058608058608;ommited for csv readability;0.4818181818181818;0.3666344543042605;ommited for csv readability;0.45777233782129745;0.3607759470471204;ommited for csv readability;21.0;[2 2 3 7 3 3 1]
Cora;own;entropy;0;64;0.5;1;0.005;649695571.0;0.8928571428571429;0.896825396825397;ommited for csv readability;0.6655931293612453;0.5856345248177776;ommited for csv readability;0.6817625458996328;0.6227841682478482;ommited for csv readability;28.0;[ 4  3  3 10  3  4  1]
Cora;own;entropy;0;64;0.5;1;0.005;649695571.0;0.9714285714285714;0.9773242630385488;ommited for csv readability;0.7219827586206896;0.6484220925904933;ommited for csv readability;0.7160342717258262;0.656644890440673;ommited for csv readability;35.0;[ 6  4  4 11  4  5  1]


Cora;own;entropy;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.0967741935483871;0.0874745974512718;ommited for csv readability;0.08812729498164015;0.07346057730377135;ommited for csv readability;0.0;[]
Cora;own;entropy;0;64;0.5;1;0.005;831763849.0;0.8571428571428571;0.8888888888888888;ommited for csv readability;0.31475583864118895;0.21760336910867925;ommited for csv readability;0.3108935128518972;0.21908257099259437;ommited for csv readability;7.0;[2 0 1 1 1 1 1]
Cora;own;entropy;0;64;0.5;1;0.005;831763849.0;0.7857142857142857;0.8319727891156463;ommited for csv readability;0.38678742674480554;0.26998469683561405;ommited for csv readability;0.38310893512851896;0.2795011843849939;ommited for csv readability;14.0;[4 1 2 3 2 1 1]
Cora;own;entropy;0;64;0.5;1;0.005;831763849.0;0.9523809523809523;0.9319727891156463;ommited for csv readability;0.46737967914438505;0.3260362735531001;ommited for csv readability;0.46878824969400246;0.33092814500742423;ommited for csv readability;21.0;[4 2 3 5 3 1 3]
Cora;own;entropy;0;64;0.5;1;0.005;831763849.0;0.8928571428571429;0.8444444444444444;ommited for csv readability;0.5136876006441223;0.3680618844687569;ommited for csv readability;0.5079559363525091;0.36990954361184253;ommited for csv readability;28.0;[4 2 4 7 5 2 4]
Cora;own;entropy;0;64;0.5;1;0.005;831763849.0;0.9142857142857143;0.8770923520923521;ommited for csv readability;0.5387931034482759;0.42854823013055426;ommited for csv readability;0.5458996328029376;0.45058021478206356;ommited for csv readability;35.0;[5 3 7 8 5 2 5]


Cora;own;entropy;0;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.1718667371760973;0.16600137128986475;ommited for csv readability;0.1554467564259486;0.14845253522283614;ommited for csv readability;0.0;[]
Cora;own;entropy;0;64;0.5;1;0.005;615395017.0;0.8571428571428571;0.8888888888888888;ommited for csv readability;0.3354564755838641;0.2754495689853921;ommited for csv readability;0.34516523867809057;0.2812752898499568;ommited for csv readability;7.0;[1 1 1 2 1 1]
Cora;own;entropy;0;64;0.5;1;0.005;615395017.0;0.9285714285714286;0.9365079365079365;ommited for csv readability;0.5636654235482152;0.49914931452422123;ommited for csv readability;0.5630354957160343;0.5103164366555255;ommited for csv readability;14.0;[1 2 2 4 2 2 1]
Cora;own;entropy;0;64;0.5;1;0.005;615395017.0;0.9047619047619048;0.9056776556776557;ommited for csv readability;0.5540106951871657;0.53107766775491;ommited for csv readability;0.5471236230110159;0.5277552361680176;ommited for csv readability;21.0;[2 3 2 6 4 3 1]
Cora;own;entropy;0;64;0.5;1;0.005;615395017.0;0.8928571428571429;0.8842490842490843;ommited for csv readability;0.5238862050456253;0.514240541782506;ommited for csv readability;0.5152998776009792;0.5064349761738757;ommited for csv readability;28.0;[2 4 3 6 7 4 2]
Cora;own;entropy;0;64;0.5;1;0.005;615395017.0;0.9714285714285714;0.9365079365079365;ommited for csv readability;0.6546336206896551;0.5891309454105353;ommited for csv readability;0.6585067319461444;0.5887944782145207;ommited for csv readability;35.0;[2 4 4 9 8 5 3]


Cora;own;entropy;0;64;0.5;1;0.005;2140929057.0;0.0;0.0;[[]];0.09571655208884189;0.07532438872363005;ommited for csv readability;0.11627906976744186;0.08966183113550087;ommited for csv readability;0.0;[]
Cora;own;entropy;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.3205944798301486;0.10969276523871709;ommited for csv readability;0.3243574051407589;0.11395293282021211;ommited for csv readability;7.0;[0 0 1 4 1 1]
Cora;own;entropy;0;64;0.5;1;0.005;2140929057.0;0.8571428571428571;0.8416666666666666;ommited for csv readability;0.31592967501331914;0.1137239700897813;ommited for csv readability;0.32558139534883723;0.1198713601326346;ommited for csv readability;14.0;[1 0 2 7 2 2]
