dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.11475409836065574;0.10869649242886618;ommited for csv readability;0.1003671970624235;0.09139025591666117;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8933333333333333;ommited for csv readability;0.24416135881104034;0.18962259563247855;ommited for csv readability;0.23623011015911874;0.17441244998384925;ommited for csv readability;7.0;[3 1 1 1 1]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8465608465608466;ommited for csv readability;0.3755993606819393;0.2857017550704163;ommited for csv readability;0.3623011015911873;0.2644961994219483;ommited for csv readability;14.0;[3 1 4 2 2 0 2]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.7619047619047619;0.7214285714285714;ommited for csv readability;0.353475935828877;0.31020031090900524;ommited for csv readability;0.34761321909424725;0.30528231627016816;ommited for csv readability;21.0;[3 2 5 3 4 2 2]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.8928571428571429;0.8708616780045351;ommited for csv readability;0.5662909286097692;0.5159105860508045;ommited for csv readability;0.5581395348837209;0.513423178983958;ommited for csv readability;28.0;[5 3 6 4 4 4 2]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.8857142857142857;0.8588950731807875;ommited for csv readability;0.6373922413793104;0.6013274750383555;ommited for csv readability;0.642594859241126;0.624631484618149;ommited for csv readability;35.0;[6 4 7 5 6 5 2]


Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.07615018508725542;0.07822380331022541;ommited for csv readability;0.06119951040391677;0.05888578631319097;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.40605095541401276;0.2924914859333228;ommited for csv readability;0.40636474908200737;0.2978612704612423;ommited for csv readability;7.0;[1 0 1 3 0 1 1]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6169419286094833;0.5168711959792931;ommited for csv readability;0.6242350061199511;0.5415752875598188;ommited for csv readability;14.0;[2 1 2 5 1 2 1]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.9523809523809523;0.9555555555555556;ommited for csv readability;0.6550802139037433;0.5851136728541242;ommited for csv readability;0.6487148102815178;0.591707291907149;ommited for csv readability;21.0;[2 1 2 7 3 4 2]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6403650026838432;0.5948360304989532;ommited for csv readability;0.631578947368421;0.6089846473629322;ommited for csv readability;28.0;[4 3 3 8 4 4 2]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.9142857142857143;0.8825396825396826;ommited for csv readability;0.6848060344827587;0.6260524174635346;ommited for csv readability;0.6891064871481029;0.6475189621985563;ommited for csv readability;35.0;[ 4  3  4 10  5  6  3]


Cora;own;random;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.0967741935483871;0.0874745974512718;ommited for csv readability;0.08812729498164015;0.07346057730377135;ommited for csv readability;0.0;[]
