dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1427815970386039;0.09455894499607427;ommited for csv readability;0.1419828641370869;0.0925337535462661;ommited for csv readability;0.0;[]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.2857142857142857;0.08888888888888889;ommited for csv readability;0.18046709129511676;0.043679342240493316;ommited for csv readability;0.11015911872705018;0.02835092140494566;ommited for csv readability;7.0;[2 1 0 1 1 2]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.35714285714285715;0.23015873015873015;ommited for csv readability;0.26798082045817795;0.15005916370848124;ommited for csv readability;0.19583843329253367;0.12927141794279148;ommited for csv readability;14.0;[2 1 3 3 2 2 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.472039072039072;ommited for csv readability;0.46096256684491976;0.2904937337637112;ommited for csv readability;0.4589963280293758;0.2847193315691259;ommited for csv readability;21.0;[4 1 5 4 4 2 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.6071428571428571;0.40240711669283097;ommited for csv readability;0.500805152979066;0.32395520526156135;ommited for csv readability;0.49571603427172584;0.3197596323422193;ommited for csv readability;28.0;[5 1 5 6 6 3 2]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.7142857142857143;0.5746884694253115;ommited for csv readability;0.36314655172413796;0.3048931545699424;ommited for csv readability;0.31946144430844553;0.2719965245749368;ommited for csv readability;35.0;[7 2 5 7 7 4 3]


Cora;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.14119513484928609;0.0674658898285896;ommited for csv readability;0.1383108935128519;0.07731715181305877;ommited for csv readability;0.0;[]
Cora;own;entropy;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4596602972399151;0.25688523596855173;ommited for csv readability;0.4369645042839657;0.24454663556445197;ommited for csv readability;7.0;[2 0 2 2 0 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.7142857142857143;0.4742857142857143;ommited for csv readability;0.2503995737879595;0.1188796342514169;ommited for csv readability;0.1909424724602203;0.0845349585358879;ommited for csv readability;14.0;[3 0 5 4 0 1 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.8095238095238095;0.6512820512820512;ommited for csv readability;0.4893048128342246;0.3141211848518575;ommited for csv readability;0.4222766217870257;0.2702651064311573;ommited for csv readability;21.0;[5 0 5 7 0 2 2]
Cora;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.7857142857142857;0.591866028708134;ommited for csv readability;0.5383789586688137;0.3562094668720864;ommited for csv readability;0.4785801713586291;0.3329559857752283;ommited for csv readability;28.0;[6 0 5 9 2 3 3]
Cora;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.8;0.5180866192630899;ommited for csv readability;0.5808189655172413;0.3890992110359303;ommited for csv readability;0.5250917992656059;0.3616258388211452;ommited for csv readability;35.0;[ 7  1  6 11  3  4  3]


