dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1427815970386039;0.09455894499607427;ommited for csv readability;0.1419828641370869;0.0925337535462661;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8933333333333333;ommited for csv readability;0.14384288747346072;0.08657810715830712;ommited for csv readability;0.1383108935128519;0.07860224469209014;ommited for csv readability;7.0;[2 1 0 1 1 2]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.5714285714285714;0.5428571428571428;ommited for csv readability;0.14597762386787427;0.09692876862341225;ommited for csv readability;0.14687882496940025;0.09754864298587691;ommited for csv readability;14.0;[3 1 1 3 1 3 2]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.5634199134199134;ommited for csv readability;0.5016042780748663;0.3519073102856099;ommited for csv readability;0.4969400244798042;0.3452604409459255;ommited for csv readability;21.0;[3 1 1 5 4 3 4]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.7857142857142857;0.6035234606663177;ommited for csv readability;0.5222758990874933;0.3300796744339185;ommited for csv readability;0.5104039167686658;0.3218648080729773;ommited for csv readability;28.0;[5 2 1 7 6 3 4]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9142857142857143;0.7732426303854876;ommited for csv readability;0.5662715517241379;0.427055485947158;ommited for csv readability;0.5556915544675642;0.4133104123466606;ommited for csv readability;35.0;[6 2 1 9 9 4 4]


Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.14119513484928609;0.0674658898285896;ommited for csv readability;0.1383108935128519;0.07731715181305877;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.7142857142857143;0.75;ommited for csv readability;0.1587048832271762;0.04596607105644722;ommited for csv readability;0.15667074663402691;0.04064280561240264;ommited for csv readability;7.0;[2 0 2 2 0 1]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.7142857142857143;0.5222222222222223;ommited for csv readability;0.17208311134789558;0.07002856119632675;ommited for csv readability;0.1701346389228886;0.06538213685288333;ommited for csv readability;14.0;[3 0 4 3 1 2 1]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.9047619047619048;0.8611111111111112;ommited for csv readability;0.38342245989304813;0.2766577031746265;ommited for csv readability;0.3671970624235006;0.2716313524486345;ommited for csv readability;21.0;[5 0 4 5 2 3 2]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.8571428571428571;0.8288461538461539;ommited for csv readability;0.5534084809447128;0.4141102850210764;ommited for csv readability;0.5495716034271726;0.42174838665905495;ommited for csv readability;28.0;[6 0 5 7 3 4 3]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.8571428571428571;0.8376262626262627;ommited for csv readability;0.6120689655172413;0.4677068354362562;ommited for csv readability;0.6242350061199511;0.48335051654779726;ommited for csv readability;35.0;[ 6  0  6 10  3  6  4]


Cora;own;random;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.07932310946589106;0.05716074796130333;ommited for csv readability;0.07466340269277846;0.05458606447491704;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;831763849.0;0.7142857142857143;0.7416666666666667;ommited for csv readability;0.1045647558386412;0.05753852123777982;ommited for csv readability;0.0966952264381885;0.047175938698460755;ommited for csv readability;7.0;[0 1 0 3 2 0 1]
Cora;own;random;0;64;0.5;1;0.005;831763849.0;0.7857142857142857;0.7111111111111111;ommited for csv readability;0.3617474693660096;0.189782510774875;ommited for csv readability;0.35128518971848227;0.16917380736226836;ommited for csv readability;14.0;[0 1 2 6 3 1 1]
Cora;own;random;0;64;0.5;1;0.005;831763849.0;0.8095238095238095;0.8122895622895624;ommited for csv readability;0.3764705882352941;0.21723629291524751;ommited for csv readability;0.37454100367197063;0.21049406500914808;ommited for csv readability;21.0;[0 1 3 9 5 1 2]
Cora;own;random;0;64;0.5;1;0.005;831763849.0;0.8214285714285714;0.7391735679779158;ommited for csv readability;0.4406870638754697;0.2567135815505276;ommited for csv readability;0.4467564259485924;0.2537436412252862;ommited for csv readability;28.0;[ 0  2  3 11  7  2  3]
Cora;own;random;0;64;0.5;1;0.005;831763849.0;0.8285714285714286;0.7736035491026416;ommited for csv readability;0.44773706896551724;0.2787411654496733;ommited for csv readability;0.46878824969400246;0.29055572591447126;ommited for csv readability;35.0;[ 0  2  4 14  9  2  4]


Cora;own;random;0;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.05446853516657853;0.042351650193456054;ommited for csv readability;0.05752753977968176;0.044055241420239595;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;615395017.0;0.8571428571428571;0.8933333333333333;ommited for csv readability;0.13481953290870488;0.09723562385007689;ommited for csv readability;0.13953488372093023;0.09738513270211056;ommited for csv readability;7.0;[1 2 1 2 1]
Cora;own;random;0;64;0.5;1;0.005;615395017.0;0.9285714285714286;0.9492063492063492;ommited for csv readability;0.32498668087373467;0.2499076507761628;ommited for csv readability;0.3329253365973072;0.2554745225077001;ommited for csv readability;14.0;[4 2 1 4 3]
Cora;own;random;0;64;0.5;1;0.005;615395017.0;0.8571428571428571;0.6448979591836734;ommited for csv readability;0.44278074866310163;0.3289358928851082;ommited for csv readability;0.44430844553243576;0.3245131551879195;ommited for csv readability;21.0;[4 3 1 4 7 1 1]
Cora;own;random;0;64;0.5;1;0.005;615395017.0;0.8928571428571429;0.6329365079365079;ommited for csv readability;0.5120772946859904;0.34253137133042716;ommited for csv readability;0.5067319461444308;0.3400306210266844;ommited for csv readability;28.0;[5 4 2 7 8 1 1]
Cora;own;random;0;64;0.5;1;0.005;615395017.0;0.8571428571428571;0.6356107660455486;ommited for csv readability;0.509698275862069;0.3511937637190717;ommited for csv readability;0.49938800489596086;0.34222741541167306;ommited for csv readability;35.0;[7 4 2 9 9 3 1]


Cora;own;random;0;64;0.5;1;0.005;2140929057.0;0.0;0.0;[[]];0.15441565309360128;0.07458944536418546;ommited for csv readability;0.1664626682986536;0.08456575958558235;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;2140929057.0;0.8571428571428571;0.8095238095238094;ommited for csv readability;0.09076433121019108;0.048906385251289035;ommited for csv readability;0.08935128518971848;0.03907198228128461;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;random;0;64;0.5;1;0.005;2140929057.0;0.7857142857142857;0.7419913419913421;ommited for csv readability;0.11028236547682473;0.10301452512751844;ommited for csv readability;0.11260709914320685;0.101470251891507;ommited for csv readability;14.0;[3 4 2 1 1 2 1]
Cora;own;random;0;64;0.5;1;0.005;2140929057.0;0.8095238095238095;0.753968253968254;ommited for csv readability;0.1481283422459893;0.17821415498802237;ommited for csv readability;0.1481028151774786;0.17498379448366944;ommited for csv readability;21.0;[4 7 2 2 1 3 2]
Cora;own;random;0;64;0.5;1;0.005;2140929057.0;0.9285714285714286;0.9318751424014582;ommited for csv readability;0.38110574342458403;0.38041129854792394;ommited for csv readability;0.38555691554467564;0.3937267757492529;ommited for csv readability;28.0;[5 9 3 4 1 3 3]
Cora;own;random;0;64;0.5;1;0.005;2140929057.0;0.9714285714285714;0.9779158040027606;ommited for csv readability;0.5657327586206896;0.5092629390203187;ommited for csv readability;0.5801713586291309;0.5270558821125305;ommited for csv readability;35.0;[ 7 11  4  4  1  3  5]


Cora;own;random;0;64;0.5;1;0.005;1240197975.0;0.0;0.0;[[]];0.177683765203596;0.11284749717364194;ommited for csv readability;0.18482252141982863;0.11644476334963375;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;1240197975.0;1.0;1.0;ommited for csv readability;0.37208067940552014;0.15830112208039007;ommited for csv readability;0.3537331701346389;0.15442601712869758;ommited for csv readability;7.0;[1 0 1 3 1 1]
Cora;own;random;0;64;0.5;1;0.005;1240197975.0;0.7857142857142857;0.7919413919413919;ommited for csv readability;0.3873201917954182;0.20419103038773737;ommited for csv readability;0.38922888616891066;0.21247460028365978;ommited for csv readability;14.0;[4 0 2 5 2 1]
Cora;own;random;0;64;0.5;1;0.005;1240197975.0;0.8095238095238095;0.6884920634920636;ommited for csv readability;0.34385026737967916;0.16444700339992616;ommited for csv readability;0.32802937576499386;0.15596551096301908;ommited for csv readability;21.0;[6 1 2 6 5 1]
Cora;own;random;0;64;0.5;1;0.005;1240197975.0;0.8571428571428571;0.6446311858076564;ommited for csv readability;0.4868491680085883;0.32801831803355785;ommited for csv readability;0.4479804161566707;0.2989664763156945;ommited for csv readability;28.0;[7 1 3 9 6 1 1]
Cora;own;random;0;64;0.5;1;0.005;1240197975.0;0.9428571428571428;0.7032967032967034;ommited for csv readability;0.5770474137931034;0.4069940710165602;ommited for csv readability;0.5667074663402693;0.4113578042795846;ommited for csv readability;35.0;[ 9  1  4 12  7  1  1]


Cora;own;random;0;64;0.5;1;0.005;784866329.0;0.0;0.0;[[]];0.09201480698043363;0.04470214125639683;ommited for csv readability;0.09179926560587515;0.04913027806801792;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;784866329.0;0.8571428571428571;0.8888888888888888;ommited for csv readability;0.1316348195329087;0.11032037380512046;ommited for csv readability;0.12851897184822522;0.10409583150196496;ommited for csv readability;7.0;[0 1 1 2 1 1 1]
Cora;own;random;0;64;0.5;1;0.005;784866329.0;0.7857142857142857;0.7197278911564625;ommited for csv readability;0.2685135855087906;0.21116396883749028;ommited for csv readability;0.2533659730722154;0.1940184633064536;ommited for csv readability;14.0;[1 2 2 3 1 3 2]
Cora;own;random;0;64;0.5;1;0.005;784866329.0;0.9047619047619048;0.888888888888889;ommited for csv readability;0.3711229946524064;0.22420329311626877;ommited for csv readability;0.3659730722154223;0.20243009000333342;ommited for csv readability;21.0;[1 2 2 8 2 4 2]
Cora;own;random;0;64;0.5;1;0.005;784866329.0;0.7857142857142857;0.8181818181818181;ommited for csv readability;0.42673107890499196;0.30911643147929807;ommited for csv readability;0.41615667074663404;0.28385614036922224;ommited for csv readability;28.0;[1 3 4 8 5 5 2]
Cora;own;random;0;64;0.5;1;0.005;784866329.0;0.8285714285714286;0.8047138047138047;ommited for csv readability;0.5743534482758621;0.46168948239177937;ommited for csv readability;0.5703794369645043;0.4513091061310991;ommited for csv readability;35.0;[ 2  4  6 11  5  5  2]


Cora;own;random;0;64;0.5;1;0.005;1866817562.0;0.0;0.0;[[]];0.1560021152829191;0.12331522792771876;ommited for csv readability;0.17258261933904528;0.1384509969452643;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;1866817562.0;0.7142857142857143;0.7666666666666666;ommited for csv readability;0.2075371549893843;0.16510868925768651;ommited for csv readability;0.2215422276621787;0.18703938777807924;ommited for csv readability;7.0;[1 1 0 0 2 2 1]
Cora;own;random;0;64;0.5;1;0.005;1866817562.0;0.6428571428571429;0.5777777777777777;ommited for csv readability;0.25306339904102293;0.25150032494985497;ommited for csv readability;0.25703794369645044;0.25393266728581876;ommited for csv readability;14.0;[2 1 1 2 3 3 2]
Cora;own;random;0;64;0.5;1;0.005;1866817562.0;0.9047619047619048;0.9255189255189256;ommited for csv readability;0.2748663101604278;0.21223109601249993;ommited for csv readability;0.28518971848225216;0.2311767770236639;ommited for csv readability;21.0;[2 1 1 4 6 4 3]
Cora;own;random;0;64;0.5;1;0.005;1866817562.0;0.8928571428571429;0.9059987631416203;ommited for csv readability;0.4245840042941492;0.3240008934218726;ommited for csv readability;0.41370869033047736;0.32895668043530224;ommited for csv readability;28.0;[4 2 1 6 6 5 4]
Cora;own;random;0;64;0.5;1;0.005;1866817562.0;0.9714285714285714;0.9619047619047619;ommited for csv readability;0.5824353448275862;0.4661036173394371;ommited for csv readability;0.5826193390452876;0.46879033205874293;ommited for csv readability;35.0;[4 3 2 7 7 7 5]


Cora;own;random;0;64;0.5;1;0.005;503786444.0;0.0;0.0;[[]];0.08461131676361713;0.06268830088527887;ommited for csv readability;0.09179926560587515;0.06787466842467708;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;503786444.0;0.8571428571428571;0.8809523809523809;ommited for csv readability;0.333864118895966;0.21625441440852242;ommited for csv readability;0.3182374541003672;0.20721233869880448;ommited for csv readability;7.0;[0 0 1 1 3 2]
Cora;own;random;0;64;0.5;1;0.005;503786444.0;0.5714285714285714;0.4303418803418803;ommited for csv readability;0.34736281299946725;0.2293588190089113;ommited for csv readability;0.34394124847001223;0.23214524609823864;ommited for csv readability;14.0;[2 1 2 3 4 2]
Cora;own;random;0;64;0.5;1;0.005;503786444.0;0.6666666666666666;0.4473684210526316;ommited for csv readability;0.5240641711229946;0.3608445953866625;ommited for csv readability;0.48714810281517745;0.3390329563279392;ommited for csv readability;21.0;[3 1 3 4 7 2 1]
Cora;own;random;0;64;0.5;1;0.005;503786444.0;0.7857142857142857;0.6868347338935574;ommited for csv readability;0.5936661298980139;0.4061428884637935;ommited for csv readability;0.5679314565483476;0.3966860611657689;ommited for csv readability;28.0;[4 1 4 6 9 3 1]
Cora;own;random;0;64;0.5;1;0.005;503786444.0;0.8857142857142857;0.793432757718472;ommited for csv readability;0.609375;0.4384565750771645;ommited for csv readability;0.583843329253366;0.4309887640833799;ommited for csv readability;35.0;[ 4  1  6  7 11  3  3]


Cora;own;random;0;64;0.5;1;0.005;1256718679.0;0.0;0.0;[[]];0.1708090957165521;0.08274178086292346;ommited for csv readability;0.1689106487148103;0.08448610783964008;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;1256718679.0;0.8571428571428571;0.8933333333333333;ommited for csv readability;0.12154989384288747;0.08791258989531002;ommited for csv readability;0.11015911872705018;0.07046689693316217;ommited for csv readability;7.0;[0 1 1 0 3 1 1]
Cora;own;random;0;64;0.5;1;0.005;1256718679.0;0.9285714285714286;0.9292929292929294;ommited for csv readability;0.36014917421417153;0.27567230893823996;ommited for csv readability;0.3537331701346389;0.2844337215981096;ommited for csv readability;14.0;[0 2 3 1 5 2 1]
Cora;own;random;0;64;0.5;1;0.005;1256718679.0;0.8571428571428571;0.7452380952380953;ommited for csv readability;0.39197860962566844;0.35617559265070614;ommited for csv readability;0.39657282741738065;0.36439732434029104;ommited for csv readability;21.0;[1 2 4 2 7 4 1]
Cora;own;random;0;64;0.5;1;0.005;1256718679.0;0.8928571428571429;0.7494331065759637;ommited for csv readability;0.4369296833064949;0.3963475584399596;ommited for csv readability;0.4467564259485924;0.41295974632164834;ommited for csv readability;28.0;[1 3 4 3 9 6 2]
Cora;own;random;0;64;0.5;1;0.005;1256718679.0;0.9428571428571428;0.8425283156740957;ommited for csv readability;0.47252155172413796;0.43296742602773686;ommited for csv readability;0.4675642594859241;0.43459813430160327;ommited for csv readability;35.0;[ 2  3  6  3 11  8  2]

