dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.11475409836065574;0.10869649242886618;ommited for csv readability;0.1003671970624235;0.09139025591666117;ommited for csv readability;0.0;[]
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4033970276008493;0.22550076604962194;ommited for csv readability;0.3537331701346389;0.21001290299981953;ommited for csv readability;7.0;[1 0 2 3 1]
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5231752797016516;0.3480189137202837;ommited for csv readability;0.4565483476132191;0.3078315813371337;ommited for csv readability;14.0;[3 0 3 4 4]
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6106951871657754;0.4730770610950956;ommited for csv readability;0.5128518971848225;0.4105371530464799;ommited for csv readability;21.0;[5 0 4 4 6 2]
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9642857142857143;0.9538461538461539;ommited for csv readability;0.6752549651100376;0.5843673781389288;ommited for csv readability;0.5642594859241126;0.5093373997279983;ommited for csv readability;28.0;[7 2 5 5 7 2]
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7122844827586207;0.6316163299573121;ommited for csv readability;0.631578947368421;0.5726697275131986;ommited for csv readability;35.0;[8 3 6 8 7 3]


Cora;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.07615018508725542;0.07822380331022541;ommited for csv readability;0.06119951040391677;0.05888578631319097;ommited for csv readability;0.0;[]
Cora;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4113588110403397;0.43024697694660563;ommited for csv readability;0.3623011015911873;0.3840398730540889;ommited for csv readability;7.0;[1 1 0 1 2 1 1]
Cora;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5919019712306872;0.5748646881819445;ommited for csv readability;0.5201958384332925;0.517400456476871;ommited for csv readability;14.0;[2 3 1 3 2 2 1]
Cora;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.9047619047619048;0.923469387755102;ommited for csv readability;0.5957219251336898;0.5792192398783987;ommited for csv readability;0.5275397796817626;0.5256745053271982;ommited for csv readability;21.0;[3 3 3 5 3 2 2]
Cora;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6167471819645732;0.6037855519964239;ommited for csv readability;0.5507955936352509;0.546633435683436;ommited for csv readability;28.0;[5 3 5 7 3 3 2]
Cora;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6724137931034483;0.6592099123540213;ommited for csv readability;0.5569155446756426;0.5443308234219633;ommited for csv readability;35.0;[5 4 6 9 4 5 2]


Cora;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.0967741935483871;0.0874745974512718;ommited for csv readability;0.08812729498164015;0.07346057730377135;ommited for csv readability;0.0;[]
Cora;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4251592356687898;0.2843979849160361;ommited for csv readability;0.4222766217870257;0.2788168909022969;ommited for csv readability;7.0;[0 2 0 3 0 1 1]
Cora;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5562067128396377;0.46199657951981987;ommited for csv readability;0.5214198286413708;0.42992635432984366;ommited for csv readability;14.0;[1 3 0 4 1 3 2]
Cora;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.741711229946524;0.6922503929273207;ommited for csv readability;0.7135862913096696;0.6674106472100604;ommited for csv readability;21.0;[3 3 1 5 3 3 3]
Cora;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.9642857142857143;0.9591836734693876;ommited for csv readability;0.7466451959205582;0.7036797508527342;ommited for csv readability;0.6952264381884945;0.6592658846844239;ommited for csv readability;28.0;[4 4 3 6 4 3 4]
Cora;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.7467672413793104;0.7109767982574257;ommited for csv readability;0.7050183598531212;0.6664591220633053;ommited for csv readability;35.0;[4 5 4 8 6 4 4]


Cora;own;pagerank;0.2;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.1718667371760973;0.16600137128986475;ommited for csv readability;0.1554467564259486;0.14845253522283614;ommited for csv readability;0.0;[]
Cora;own;pagerank;0.2;64;0.5;1;0.005;615395017.0;0.8571428571428571;0.8666666666666667;ommited for csv readability;0.47664543524416136;0.3258069834663676;ommited for csv readability;0.4173806609547124;0.28637940700273556;ommited for csv readability;7.0;[1 0 2 3 0 1]
