dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.11475409836065574;0.10869649242886618;ommited for csv readability;0.1003671970624235;0.09139025591666117;ommited for csv readability;0.0;[]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3832271762208068;0.21221047752462607;ommited for csv readability;0.379436964504284;0.21714335676320537;ommited for csv readability;7.0;[1 0 2 3 1]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8277777777777778;ommited for csv readability;0.44485881726158766;0.3225212773693023;ommited for csv readability;0.4394124847001224;0.31117991943480094;ommited for csv readability;14.0;[3 1 3 4 2 1]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.8095238095238095;0.7665945165945165;ommited for csv readability;0.4898395721925134;0.36291666242844955;ommited for csv readability;0.4749082007343941;0.3487686323088008;ommited for csv readability;21.0;[4 2 4 6 3 2]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8338624338624337;ommited for csv readability;0.5593129361245304;0.4723761678738487;ommited for csv readability;0.5740514075887393;0.4983771729201429;ommited for csv readability;28.0;[6 3 4 8 4 3]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9428571428571428;0.9350475232828174;ommited for csv readability;0.5862068965517241;0.5034840435950975;ommited for csv readability;0.6070991432068543;0.5327590670804266;ommited for csv readability;35.0;[8 4 6 9 4 4]


Cora;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.07615018508725542;0.07822380331022541;ommited for csv readability;0.06119951040391677;0.05888578631319097;ommited for csv readability;0.0;[]
Cora;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.8571428571428571;0.8888888888888888;ommited for csv readability;0.3848195329087049;0.3596258813429335;ommited for csv readability;0.3623011015911873;0.34506361552994413;ommited for csv readability;7.0;[1 1 0 1 2 1 1]
Cora;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.7857142857142857;0.8081632653061224;ommited for csv readability;0.3985082578582845;0.3764253592982542;ommited for csv readability;0.390452876376989;0.36728271679396196;ommited for csv readability;14.0;[1 1 1 3 4 3 1]
