dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1406663141195135;0.13511598152838555;ommited for csv readability;0.1591187270501836;0.14962961510415893;ommited for csv readability;0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.18949044585987262;0.13189775184641064;ommited for csv readability;0.1456548347613219;0.10901687073070725;ommited for csv readability;7.0;[3 0 0 1 2 0 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.337773042088439;0.2740662459411916;ommited for csv readability;0.30354957160342716;0.2528043792135829;ommited for csv readability;14.0;[3 0 1 5 2 2 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4128342245989305;0.3624056899651791;ommited for csv readability;0.397796817625459;0.366736393047768;ommited for csv readability;21.0;[3 1 1 7 5 3 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.43478260869565216;0.37477238768689125;ommited for csv readability;0.4186046511627907;0.39031723395399814;ommited for csv readability;28.0;[ 3  1  2 10  6  4  2]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.521551724137931;0.5034791518508316;ommited for csv readability;0.4834761321909425;0.47252293167555287;ommited for csv readability;35.0;[ 4  3  3 12  6  4  3]


Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.1581173982020095;0.154231309104419;ommited for csv readability;0.13586291309669524;0.1289086094437834;ommited for csv readability;0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.26963906581740976;0.2534228052265261;ommited for csv readability;0.25458996328029376;0.24582604795382018;ommited for csv readability;7.0;[1 1 0 2 1 1 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.35055940330314334;0.3329619087048485;ommited for csv readability;0.3023255813953488;0.291531172089138;ommited for csv readability;14.0;[1 2 0 4 2 2 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5272727272727272;0.5082972303798453;ommited for csv readability;0.4663402692778458;0.4519243536878726;ommited for csv readability;21.0;[1 2 1 9 2 3 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5571658615136876;0.5238770796693581;ommited for csv readability;0.5287637698898409;0.4913046198469918;ommited for csv readability;28.0;[ 1  2  1 15  3  3  3]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5862068965517241;0.5577743530681317;ommited for csv readability;0.5446756425948592;0.5046836015928331;ommited for csv readability;35.0;[ 1  2  1 20  5  3  3]


Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.14859862506610258;0.1423698026960719;ommited for csv readability;0.12729498164014688;0.12178505395301467;ommited for csv readability;0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.3227176220806794;0.2281166062368147;ommited for csv readability;0.29498164014687883;0.20700601089479423;ommited for csv readability;7.0;[2 0 2 2 0 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.3708044752264251;0.3068492184773789;ommited for csv readability;0.3525091799265606;0.2841380704742981;ommited for csv readability;14.0;[3 0 3 3 3 2]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.42245989304812837;0.3410473712902256;ommited for csv readability;0.401468788249694;0.32576114377795756;ommited for csv readability;21.0;[4 0 4 5 5 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4927536231884058;0.42703479438383424;ommited for csv readability;0.4467564259485924;0.388499632437119;ommited for csv readability;28.0;[4 1 5 8 7 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5350215517241379;0.47071476095952136;ommited for csv readability;0.4920440636474908;0.4302728970232245;ommited for csv readability;35.0;[ 4  1  6 10  9  5]


Cora;own;medoids;0.2;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.1491274457958752;0.13878508560152655;ommited for csv readability;0.12239902080783353;0.11922850891288772;ommited for csv readability;0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.40923566878980894;0.29725190973354915;ommited for csv readability;0.4222766217870257;0.3098525860619433;ommited for csv readability;7.0;[0 0 2 3 1 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.5050612679808204;0.4440358815554741;ommited for csv readability;0.49938800489596086;0.4431269295744338;ommited for csv readability;14.0;[1 1 2 5 2 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.5636363636363636;0.5162595807509901;ommited for csv readability;0.543451652386781;0.49243835065247227;ommited for csv readability;21.0;[2 1 2 8 4 3 1]
