dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1406663141195135;0.13511598152838555;ommited for csv readability;0.1591187270501836;0.14962961510415893;ommited for csv readability;0.0;[]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3067940552016985;0.20104553387324695;ommited for csv readability;0.2729498164014688;0.17080722954425642;ommited for csv readability;7.0;[0 0 4 2 0 0 1]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.44805540756526374;0.33887002741970157;ommited for csv readability;0.4149326805385557;0.29987033301282456;ommited for csv readability;14.0;[1 0 4 4 4 0 1]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5165775401069519;0.44002203412320123;ommited for csv readability;0.48959608323133413;0.4110784612724741;ommited for csv readability;21.0;[1 1 4 8 6 0 1]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.581857219538379;0.5373708161900264;ommited for csv readability;0.5716034271725826;0.5183113820712864;ommited for csv readability;28.0;[ 1  1  4 11  8  2  1]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.603448275862069;0.5536977255411841;ommited for csv readability;0.587515299877601;0.5201581439932549;ommited for csv readability;35.0;[ 1  1  4 17  9  2  1]


Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.1581173982020095;0.154231309104419;ommited for csv readability;0.13586291309669524;0.1289086094437834;ommited for csv readability;0.0;[]
Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.37048832271762205;0.2556983352415316;ommited for csv readability;0.35128518971848227;0.23659301508859534;ommited for csv readability;7.0;[1 0 1 3 1 0 1]
Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4533830580713905;0.36923293512713046;ommited for csv readability;0.4149326805385557;0.3296399727358377;ommited for csv readability;14.0;[1 1 2 6 3 0 1]
Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5203208556149732;0.4491435771111023;ommited for csv readability;0.47613219094247244;0.4121505642396892;ommited for csv readability;21.0;[2 2 3 9 4 0 1]
Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5700483091787439;0.5479059481681279;ommited for csv readability;0.5324357405140759;0.513615874281663;ommited for csv readability;28.0;[ 2  2  4 12  5  1  2]
Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6131465517241379;0.5947518115741185;ommited for csv readability;0.5703794369645043;0.5532966596203044;ommited for csv readability;35.0;[ 3  2  5 15  6  2  2]


Cora;own;own;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.14859862506610258;0.1423698026960719;ommited for csv readability;0.12729498164014688;0.12178505395301467;ommited for csv readability;0.0;[]
Cora;own;own;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.31210191082802546;0.20220843351468964;ommited for csv readability;0.29865361077111385;0.19654932596980262;ommited for csv readability;7.0;[0 2 0 3 1 0 1]
Cora;own;own;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.41822056473095365;0.36269457711179687;ommited for csv readability;0.43329253365973075;0.37112556031336547;ommited for csv readability;14.0;[1 2 2 5 2 1 1]
Cora;own;own;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4588235294117647;0.4177412843095029;ommited for csv readability;0.45777233782129745;0.41624810500628456;ommited for csv readability;21.0;[1 2 2 8 4 2 2]
Cora;own;own;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5254965110037574;0.4698324943734316;ommited for csv readability;0.5165238678090576;0.46251426837042736;ommited for csv readability;28.0;[ 1  2  4 11  5  3  2]
Cora;own;own;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.546875;0.4919397439080234;ommited for csv readability;0.5348837209302325;0.47308929186648097;ommited for csv readability;35.0;[ 1  2  5 13  8  4  2]


Cora;own;own;0.2;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.1491274457958752;0.13878508560152655;ommited for csv readability;0.12239902080783353;0.11922850891288772;ommited for csv readability;0.0;[]
Cora;own;own;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.29777070063694266;0.2803392494016626;ommited for csv readability;0.2729498164014688;0.26721918063304445;ommited for csv readability;7.0;[1 2 0 1 1 2]
Cora;own;own;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.40490143846563664;0.3976489853179886;ommited for csv readability;0.38310893512851896;0.37038114729622007;ommited for csv readability;14.0;[1 2 0 4 2 3 2]
Cora;own;own;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.49732620320855614;0.46787076331701394;ommited for csv readability;0.46511627906976744;0.43732609670091277;ommited for csv readability;21.0;[2 2 0 6 5 4 2]
Cora;own;own;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.5083199141170156;0.47534664508971547;ommited for csv readability;0.4883720930232558;0.4496212085079549;ommited for csv readability;28.0;[ 4  2  0 10  6  4  2]
Cora;own;own;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.5258620689655172;0.49535765999564874;ommited for csv readability;0.4920440636474908;0.4570007194382402;ommited for csv readability;35.0;[ 4  2  0 13  9  4  3]


Cora;own;own;0.2;64;0.5;1;0.005;2140929057.0;0.0;0.0;[[]];0.14806980433633;0.13925106585167635;ommited for csv readability;0.13219094247246022;0.13261436796939757;ommited for csv readability;0.0;[]
