dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1406663141195135;0.13511598152838555;ommited for csv readability;0.1591187270501836;0.14962961510415893;ommited for csv readability;0.0;[]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.2791932059447983;0.19149454765173973;ommited for csv readability;0.2729498164014688;0.17080722954425642;ommited for csv readability;7.0;[0 0 4 2 0 0 1]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.41555673947789024;0.32321365282257203;ommited for csv readability;0.4149326805385557;0.29987033301282456;ommited for csv readability;14.0;[1 0 4 4 4 0 1]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4839572192513369;0.4182975976078636;ommited for csv readability;0.48959608323133413;0.4110784612724741;ommited for csv readability;21.0;[1 1 4 8 6 0 1]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5501878690284487;0.5133721525257873;ommited for csv readability;0.5716034271725826;0.5183113820712864;ommited for csv readability;28.0;[ 1  1  4 11  8  2  1]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5770474137931034;0.5317520875281175;ommited for csv readability;0.587515299877601;0.5201581439932549;ommited for csv readability;35.0;[ 1  1  4 17  9  2  1]


Cora;own;own;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.1581173982020095;0.154231309104419;ommited for csv readability;0.13586291309669524;0.1289086094437834;ommited for csv readability;0.0;[]
Cora;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.3497876857749469;0.24250330631092734;ommited for csv readability;0.35128518971848227;0.23659301508859534;ommited for csv readability;7.0;[1 0 1 3 1 0 1]
Cora;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4267448055407565;0.35108637795776776;ommited for csv readability;0.4149326805385557;0.3296399727358377;ommited for csv readability;14.0;[1 1 2 6 3 0 1]
Cora;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.49572192513368984;0.4298863052006871;ommited for csv readability;0.47613219094247244;0.4121505642396892;ommited for csv readability;21.0;[2 2 3 9 4 0 1]
Cora;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5410628019323671;0.5200209432838644;ommited for csv readability;0.5324357405140759;0.513615874281663;ommited for csv readability;28.0;[ 2  2  4 12  5  1  2]
Cora;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.578125;0.5589201109065064;ommited for csv readability;0.5703794369645043;0.5532966596203044;ommited for csv readability;35.0;[ 3  2  5 15  6  2  2]


Cora;own;own;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.14859862506610258;0.1423698026960719;ommited for csv readability;0.12729498164014688;0.12178505395301467;ommited for csv readability;0.0;[]
Cora;own;own;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.30095541401273884;0.1968015268945538;ommited for csv readability;0.29865361077111385;0.19654932596980262;ommited for csv readability;7.0;[0 2 0 3 1 0 1]
Cora;own;own;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.40330314331379863;0.3504391768384697;ommited for csv readability;0.43329253365973075;0.37112556031336547;ommited for csv readability;14.0;[1 2 2 5 2 1 1]
Cora;own;own;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.43475935828877005;0.39424330259458457;ommited for csv readability;0.45777233782129745;0.41624810500628456;ommited for csv readability;21.0;[1 2 2 8 4 2 2]
Cora;own;own;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4954374664519592;0.44121620370110576;ommited for csv readability;0.5165238678090576;0.46251426837042736;ommited for csv readability;28.0;[ 1  2  4 11  5  3  2]
Cora;own;own;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5167025862068966;0.4628618375682373;ommited for csv readability;0.5348837209302325;0.47308929186648097;ommited for csv readability;35.0;[ 1  2  5 13  8  4  2]


Cora;own;own;0;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.1491274457958752;0.13878508560152655;ommited for csv readability;0.12239902080783353;0.11922850891288772;ommited for csv readability;0.0;[]
Cora;own;own;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.27282377919320594;0.2702997936659625;ommited for csv readability;0.2729498164014688;0.26721918063304445;ommited for csv readability;7.0;[1 2 0 1 1 2]
Cora;own;own;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.38359083644112946;0.3790855631598343;ommited for csv readability;0.38310893512851896;0.37038114729622007;ommited for csv readability;14.0;[1 2 0 4 2 3 2]
Cora;own;own;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.47005347593582886;0.4420856766046551;ommited for csv readability;0.46511627906976744;0.43732609670091277;ommited for csv readability;21.0;[2 2 0 6 5 4 2]
Cora;own;own;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.4841653247450349;0.45092702483296593;ommited for csv readability;0.4883720930232558;0.4496212085079549;ommited for csv readability;28.0;[ 4  2  0 10  6  4  2]
Cora;own;own;0;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.4978448275862069;0.46606620184149816;ommited for csv readability;0.4920440636474908;0.4570007194382402;ommited for csv readability;35.0;[ 4  2  0 13  9  4  3]


Cora;own;own;0;64;0.5;1;0.005;2140929057.0;0.0;0.0;[[]];0.14806980433633;0.13925106585167635;ommited for csv readability;0.13219094247246022;0.13261436796939757;ommited for csv readability;0.0;[]
Cora;own;own;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.4559447983014862;0.3307180214887419;ommited for csv readability;0.45165238678090575;0.3215951098908061;ommited for csv readability;7.0;[3 0 1 2 0 1]
Cora;own;own;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.48161960575386253;0.3500121877412107;ommited for csv readability;0.47613219094247244;0.35030862200724044;ommited for csv readability;14.0;[3 0 2 5 2 2]
Cora;own;own;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.5064171122994653;0.40782544055171593;ommited for csv readability;0.5189718482252142;0.409144749131568;ommited for csv readability;21.0;[4 0 2 8 4 2 1]
Cora;own;own;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.563070316693505;0.5118075040379194;ommited for csv readability;0.5618115055079559;0.4967372819424777;ommited for csv readability;28.0;[ 4  1  2 11  5  3  2]
Cora;own;own;0;64;0.5;1;0.005;2140929057.0;1.0;1.0;ommited for csv readability;0.5770474137931034;0.5269231293047115;ommited for csv readability;0.5642594859241126;0.5104552913825599;ommited for csv readability;35.0;[ 4  2  2 14  7  4  2]


Cora;own;own;0;64;0.5;1;0.005;1240197975.0;0.0;0.0;[[]];0.14225277630883132;0.13592177420226997;ommited for csv readability;0.1481028151774786;0.14334326966980052;ommited for csv readability;0.0;[]
Cora;own;own;0;64;0.5;1;0.005;1240197975.0;1.0;1.0;ommited for csv readability;0.27123142250530785;0.22831732555492296;ommited for csv readability;0.25703794369645044;0.2093601055748083;ommited for csv readability;7.0;[1 1 1 2 1 1]
Cora;own;own;0;64;0.5;1;0.005;1240197975.0;1.0;1.0;ommited for csv readability;0.37027171017581245;0.3575450641597415;ommited for csv readability;0.3659730722154223;0.35532507507409355;ommited for csv readability;14.0;[3 2 1 3 2 2 1]
