dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1406663141195135;0.13511598152838555;ommited for csv readability;0.1591187270501836;0.14962961510415893;ommited for csv readability;0.0;[]
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.34554140127388533;0.25141420278004517;ommited for csv readability;0.3623011015911873;0.25744809617972203;ommited for csv readability;7.0;[0 0 2 3 1 0 1]
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4080980287693127;0.3468674812242722;ommited for csv readability;0.4112607099143207;0.3382401672225647;ommited for csv readability;14.0;[1 0 2 3 3 1 4]
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4577540106951872;0.404793765984789;ommited for csv readability;0.4614443084455324;0.4046632051002582;ommited for csv readability;21.0;[1 0 3 4 6 3 4]
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.48792270531400966;0.43233108471041426;ommited for csv readability;0.4785801713586291;0.41795927247163706;ommited for csv readability;28.0;[3 0 3 8 7 3 4]
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4859913793103448;0.4319103627400719;ommited for csv readability;0.4810281517747858;0.4176730395509642;ommited for csv readability;35.0;[ 3  0  4  9 11  3  5]


Cora;own;random;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.1581173982020095;0.154231309104419;ommited for csv readability;0.13586291309669524;0.1289086094437834;ommited for csv readability;0.0;[]
Cora;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.2807855626326964;0.2228990242625888;ommited for csv readability;0.27050183598531213;0.22541572660128542;ommited for csv readability;7.0;[2 0 0 1 2 0 2]
Cora;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.43313798614810867;0.3847677466036777;ommited for csv readability;0.41982864137086906;0.37338093561480246;ommited for csv readability;14.0;[3 0 2 3 3 1 2]
Cora;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5053475935828877;0.4877862420128842;ommited for csv readability;0.4981640146878825;0.4765305097910367;ommited for csv readability;21.0;[3 1 2 9 3 1 2]
Cora;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5383789586688137;0.5309057064837642;ommited for csv readability;0.5507955936352509;0.5414290036861539;ommited for csv readability;28.0;[ 4  1  2 11  5  3  2]
Cora;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5759698275862069;0.569622614076996;ommited for csv readability;0.576499388004896;0.5685303898930311;ommited for csv readability;35.0;[ 4  1  4 15  5  3  3]


