dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.30447069052967174;0.247898618184049;ommited for csv readability;0.30983772819472616;0.2509211558377609;ommited for csv readability;0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.4;ommited for csv readability;0.40295695028264966;0.19147983607121952;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;3.0;[0 1 2]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.26666666666666666;ommited for csv readability;0.4123233055454875;0.19463121695837396;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;6.0;[1 1 4]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.26666666666666666;ommited for csv readability;0.41748839907192575;0.19635123614663255;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;9.0;[1 2 6]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.5833333333333334;0.24561403508771928;ommited for csv readability;0.41206759010805716;0.19454573468234812;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;12.0;[1 4 7]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.4666666666666667;0.21212121212121213;ommited for csv readability;0.40758740751487016;0.19304303014686938;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;15.0;[4 4 7]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.4444444444444444;0.2051282051282051;ommited for csv readability;0.4068054850177755;0.1927797833935018;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;18.0;[5 5 8]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.47619047619047616;0.21505376344086022;ommited for csv readability;0.40732946298984035;0.19295622131697007;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;21.0;[ 6  5 10]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.5;0.2222222222222222;ommited for csv readability;0.4064019743050011;0.19264382053399395;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;24.0;[ 7  5 12]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.5185185185185185;0.22764227642276422;ommited for csv readability;0.40685349208653987;0.19279595417483744;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;27.0;[ 8  5 14]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.5;0.2222222222222222;ommited for csv readability;0.4067242756517319;0.19275242618211852;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;30.0;[10  5 15]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.5151515151515151;0.22666666666666666;ommited for csv readability;0.40746658919233003;0.19300237382598825;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;33.0;[11  5 17]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.5277777777777778;0.23030303030303031;ommited for csv readability;0.40849981837994914;0.19334983838800635;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;36.0;[11  6 19]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.48717948717948717;0.21839080459770113;ommited for csv readability;0.4074262461851475;0.1929887965305385;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;39.0;[12  8 19]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.47619047619047616;0.21505376344086022;ommited for csv readability;0.4065702449305909;0.1927005287724556;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;42.0;[13  9 20]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.4666666666666667;0.21212121212121213;ommited for csv readability;0.4040418726373946;0.19184701943322632;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;45.0;[13 11 21]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.4583333333333333;0.20952380952380953;ommited for csv readability;0.40405729658983497;0.19185223545658556;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;48.0;[13 13 22]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.45098039215686275;0.2072072072072072;ommited for csv readability;0.40298181818181816;0.19148825877352135;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;51.0;[14 14 23]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.46296296296296297;0.21097046413502107;ommited for csv readability;0.40561577071361027;0.1923786851593093;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;54.0;[14 15 25]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.47368421052631576;0.2142857142857143;ommited for csv readability;0.4061408614668219;0.1925557970264583;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;57.0;[15 15 27]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.4666666666666667;0.21212121212121213;ommited for csv readability;0.40593843242849864;0.19248753386131098;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;60.0;[16 16 28]


PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.47532787479168176;0.36658975310580083;ommited for csv readability;0.4710953346855984;0.36449428757664454;ommited for csv readability;0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.41694448470792866;0.25585245376967347;ommited for csv readability;0.4148073022312373;0.2521203962305277;ommited for csv readability;3.0;[1 2]
PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.45454545454545453;ommited for csv readability;0.39565059804276914;0.1889921916930695;ommited for csv readability;0.3924949290060852;0.18790968681718864;ommited for csv readability;6.0;[1 5]
PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.7777777777777778;0.2916666666666667;ommited for csv readability;0.39718677494199534;0.18951738453554748;ommited for csv readability;0.3924949290060852;0.18790968681718864;ommited for csv readability;9.0;[1 7 1]
PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.75;0.2857142857142857;ommited for csv readability;0.39654797302197403;0.18929912932093954;ommited for csv readability;0.3924949290060852;0.18790968681718864;ommited for csv readability;12.0;[1 9 2]
PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.6666666666666666;0.26666666666666666;ommited for csv readability;0.3966342666473234;0.18932862435511233;ommited for csv readability;0.3924949290060852;0.18790968681718864;ommited for csv readability;15.0;[ 2 10  3]
PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.6111111111111112;0.25287356321839083;ommited for csv readability;0.3938910251759414;0.1883892011936984;ommited for csv readability;0.3924949290060852;0.18790968681718864;ommited for csv readability;18.0;[ 2 11  5]
PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.5714285714285714;0.24242424242424243;ommited for csv readability;0.39223512336719885;0.1878203457562332;ommited for csv readability;0.3924949290060852;0.18790968681718864;ommited for csv readability;21.0;[ 3 12  6]
