dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.30447069052967174;0.247898618184049;ommited for csv readability;0.30983772819472616;0.2509211558377609;ommited for csv readability;0.0;[]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.4;ommited for csv readability;0.39933323670097115;0.19024929217595468;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;3.0;[0 1 2]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.4;ommited for csv readability;0.3992750996737949;0.19022949800549138;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;6.0;[0 2 4]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.5555555555555556;0.35714285714285715;ommited for csv readability;0.39928944315545245;0.19023438174689536;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;9.0;[0 4 5]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.5833333333333334;0.3684210526315789;ommited for csv readability;0.39995648705489883;0.19186535937009155;ommited for csv readability;0.39976335361730897;0.19140293941192654;ommited for csv readability;12.0;[0 5 7]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8;0.784688995215311;ommited for csv readability;0.4939793993906862;0.3512971909922533;ommited for csv readability;0.4950980392156863;0.35078013837307137;ommited for csv readability;15.0;[0 6 9]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.8875;ommited for csv readability;0.5415366756148879;0.4082766211361541;ommited for csv readability;0.555104800540906;0.418660257978467;ommited for csv readability;18.0;[ 0  8 10]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8095238095238095;0.5534290271132377;ommited for csv readability;0.5553701015965167;0.41753650318749264;ommited for csv readability;0.5642325895875592;0.42391763769651164;ommited for csv readability;21.0;[ 1  9 11]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.5664160401002506;ommited for csv readability;0.5531683240182913;0.4154467041297454;ommited for csv readability;0.5644016227180527;0.42415916039119433;ommited for csv readability;24.0;[ 1  9 14]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8518518518518519;0.5748194014447884;ommited for csv readability;0.5455931465079135;0.4047713527760197;ommited for csv readability;0.5505409060175794;0.40871314706003176;ommited for csv readability;27.0;[ 1 10 16]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8666666666666667;0.5874509803921568;ommited for csv readability;0.5863045530462566;0.4386128135119807;ommited for csv readability;0.5872210953346856;0.43925457714941923;ommited for csv readability;30.0;[ 1 11 18]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9090909090909091;0.6234817813765182;ommited for csv readability;0.6016850668216154;0.44893034891192735;ommited for csv readability;0.598208248816768;0.4461045988493701;ommited for csv readability;33.0;[ 2 12 19]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.6434108527131782;ommited for csv readability;0.6024700326916091;0.4490467924221573;ommited for csv readability;0.5983772819472617;0.4457820081370014;ommited for csv readability;36.0;[ 3 13 20]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8717948717948718;0.6111527881970492;ommited for csv readability;0.609940415637262;0.45401894098843626;ommited for csv readability;0.604631507775524;0.4500128757493746;ommited for csv readability;39.0;[ 4 14 21]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8809523809523809;0.6158730158730158;ommited for csv readability;0.6118903990115561;0.45593562850132807;ommited for csv readability;0.604631507775524;0.450453717255707;ommited for csv readability;42.0;[ 4 16 22]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.6184873949579832;ommited for csv readability;0.6222012212852573;0.4629447336741139;ommited for csv readability;0.6157876943881001;0.45796401481730237;ommited for csv readability;45.0;[ 4 17 24]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8958333333333334;0.6244314489928525;ommited for csv readability;0.6376790518432343;0.4745635297662459;ommited for csv readability;0.6350574712643678;0.4724942437698932;ommited for csv readability;48.0;[ 4 19 25]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9215686274509803;0.6436781609195402;ommited for csv readability;0.6564363636363636;0.4893497229440971;ommited for csv readability;0.6568627450980392;0.4894614682885625;ommited for csv readability;51.0;[ 4 20 27]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9074074074074074;0.6393442622950819;ommited for csv readability;0.6666181712373609;0.49702848932686816;ommited for csv readability;0.6686950642325896;0.49850005854507534;ommited for csv readability;54.0;[ 5 21 28]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8771929824561403;0.6270011947431302;ommited for csv readability;0.6653084982537835;0.4945014772830542;ommited for csv readability;0.6673427991886409;0.49597178202589215;ommited for csv readability;57.0;[ 7 22 28]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8666666666666667;0.6262626262626263;ommited for csv readability;0.6698930208863983;0.49979959367312254;ommited for csv readability;0.6763015551048005;0.5045315026710236;ommited for csv readability;60.0;[ 8 23 29]


PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.47532787479168176;0.36658975310580083;ommited for csv readability;0.4710953346855984;0.36449428757664454;ommited for csv readability;0.0;[]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4213654152775765;0.2675562546460801;ommited for csv readability;0.42055442866801895;0.26539764955436695;ommited for csv readability;3.0;[1 2]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.7777777777777778;ommited for csv readability;0.20804639362087712;0.11510866831564222;ommited for csv readability;0.2079107505070994;0.11478163493840986;ommited for csv readability;6.0;[4 2]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.4444444444444444;0.2051282051282051;ommited for csv readability;0.20794663573085848;0.11476590636254502;ommited for csv readability;0.20807978363759297;0.11482673382771326;ommited for csv readability;9.0;[4 3 2]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.20799187758358112;0.11478657621420424;ommited for csv readability;0.20807978363759297;0.11482673382771326;ommited for csv readability;12.0;[4 5 3]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.4666666666666667;0.36274509803921573;ommited for csv readability;0.42637458291019875;0.3599742846434136;ommited for csv readability;0.4345841784989858;0.36726937900889106;ommited for csv readability;15.0;[5 5 5]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.6666666666666666;0.5333333333333333;ommited for csv readability;0.5196256257708771;0.42775767812162374;ommited for csv readability;0.5214672075726843;0.4291159508394828;ommited for csv readability;18.0;[6 6 6]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.6190476190476191;0.5092592592592592;ommited for csv readability;0.5264876632801161;0.4359928303804435;ommited for csv readability;0.526369168356998;0.4348295747152921;ommited for csv readability;21.0;[6 7 8]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.5833333333333334;0.49259259259259264;ommited for csv readability;0.5392320534223706;0.44831107621641536;ommited for csv readability;0.5368492224475997;0.4438566848110293;ommited for csv readability;24.0;[ 7  7 10]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.7037037037037037;0.6748436748436748;ommited for csv readability;0.597212138812255;0.5531965991407889;ommited for csv readability;0.5951656524678837;0.5506034573065338;ommited for csv readability;27.0;[ 7  9 11]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.9333333333333333;0.934216110686699;ommited for csv readability;0.6636409846779464;0.6484152996173655;ommited for csv readability;0.6670047329276538;0.6504833481311282;ommited for csv readability;30.0;[ 8 10 12]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.9696969696969697;0.9658994032395567;ommited for csv readability;0.6824520627542127;0.672644011018957;ommited for csv readability;0.6871196754563894;0.6767215433352112;ommited for csv readability;33.0;[ 9 11 13]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.9722222222222222;0.9691228070175439;ommited for csv readability;0.6929894660370505;0.6866647781234149;ommited for csv readability;0.6969235970250169;0.6901888140833576;ommited for csv readability;36.0;[10 12 14]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7099258828658626;0.714237399345726;ommited for csv readability;0.711291413116971;0.7141570924952898;ommited for csv readability;39.0;[11 13 15]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.9285714285714286;0.9278846153846154;ommited for csv readability;0.7052838142306854;0.7086352824795968;ommited for csv readability;0.7084178498985801;0.7114104279359186;ommited for csv readability;42.0;[13 13 16]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.9333333333333333;0.9325289089994971;ommited for csv readability;0.7182320441988951;0.7182129114987282;ommited for csv readability;0.7239688979039892;0.7230382075039806;ommited for csv readability;45.0;[13 15 17]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.9583333333333334;0.9590347923681257;ommited for csv readability;0.7196975205409729;0.7183170820853607;ommited for csv readability;0.7173766058147397;0.7150827988235658;ommited for csv readability;48.0;[14 16 18]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.9803921568627451;0.9807003032809485;ommited for csv readability;0.7178909090909091;0.7196305175050656;ommited for csv readability;0.7219405003380662;0.7232907701303346;ommited for csv readability;51.0;[16 16 19]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.9814814814814815;0.9817689085981769;ommited for csv readability;0.7224849057976286;0.7233075278035566;ommited for csv readability;0.7219405003380662;0.722666482857877;ommited for csv readability;54.0;[17 17 20]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.9824561403508771;0.9827242524916944;ommited for csv readability;0.7290454016298021;0.7308290144763224;ommited for csv readability;0.7273495605138607;0.7283835775877513;ommited for csv readability;57.0;[18 18 21]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.9666666666666667;0.967304625199362;ommited for csv readability;0.7378647842224001;0.7383063570317069;ommited for csv readability;0.7330966869506423;0.7333211142734338;ommited for csv readability;60.0;[20 19 21]


PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.4117092964277951;0.35100377154355017;ommited for csv readability;0.41683569979716023;0.3554311087510749;ommited for csv readability;0.0;[]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.3992607624293376;0.19022461628770224;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;3.0;[0 0 3]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.8333333333333334;0.45454545454545453;ommited for csv readability;0.3992026096411743;0.19020481469968573;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;6.0;[0 1 5]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.6666666666666666;0.4;ommited for csv readability;0.3992169373549884;0.19020969357791828;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;9.0;[0 3 6]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.5;0.2222222222222222;ommited for csv readability;0.3993037928783813;0.19023926751317266;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;12.0;[2 4 6]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.6;0.24999999999999997;ommited for csv readability;0.3991730741331786;0.19019475694264434;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;15.0;[2 4 9]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.6111111111111112;0.25287356321839083;ommited for csv readability;0.3991148516288181;0.19017492912950287;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;18.0;[ 2  5 11]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.6190476190476191;0.25490196078431376;ommited for csv readability;0.39905660377358493;0.1901550910316925;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;21.0;[ 2  6 13]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.7083333333333334;0.4666666666666666;ommited for csv readability;0.406329389562314;0.20505262438147895;ommited for csv readability;0.4060175794455713;0.2051758674055607;ommited for csv readability;24.0;[ 3  7 14]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.8148148148148148;0.5775401069518716;ommited for csv readability;0.5156091186293016;0.3640581163356498;ommited for csv readability;0.5089587559161596;0.3571651137581768;ommited for csv readability;27.0;[ 4  8 15]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.8666666666666667;0.6167557932263814;ommited for csv readability;0.5961803790574396;0.44085448951996314;ommited for csv readability;0.5890804597701149;0.43526381657564245;ommited for csv readability;30.0;[ 4 10 16]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.8181818181818182;0.5727272727272728;ommited for csv readability;0.539148750726322;0.38596973765350845;ommited for csv readability;0.5283975659229209;0.3746073350388486;ommited for csv readability;33.0;[ 4 11 18]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.8611111111111112;0.6052393857271906;ommited for csv readability;0.5864148201961497;0.4301493976248894;ommited for csv readability;0.578262339418526;0.42318210827048547;ommited for csv readability;36.0;[ 4 13 19]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.8974358974358975;0.6292929292929292;ommited for csv readability;0.6433657898561256;0.47913596449047197;ommited for csv readability;0.6408045977011494;0.4772088950103579;ommited for csv readability;39.0;[ 4 14 21]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.8571428571428571;0.6073781291172596;ommited for csv readability;0.6524456719238316;0.48608851714793344;ommited for csv readability;0.6499323867478025;0.48426178009227083;ommited for csv readability;42.0;[ 5 16 21]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.8444444444444444;0.6040816326530613;ommited for csv readability;0.6498982262285549;0.48313184729451253;ommited for csv readability;0.6436781609195402;0.47842123907568085;ommited for csv readability;45.0;[ 6 17 22]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.8333333333333334;0.5931174089068826;ommited for csv readability;0.6570202864829492;0.48995790663870187;ommited for csv readability;0.6566937119675457;0.4896480105708867;ommited for csv readability;48.0;[ 6 18 24]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.8235294117647058;0.5829959514170041;ommited for csv readability;0.6551272727272728;0.48788132867058476;ommited for csv readability;0.6560175794455714;0.488437792282652;ommited for csv readability;51.0;[ 6 20 25]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.8333333333333334;0.5950819672131148;ommited for csv readability;0.6574525350985669;0.4899977347141447;ommited for csv readability;0.6595672751859365;0.4914491423695651;ommited for csv readability;54.0;[ 7 20 27]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.8421052631578947;0.5941619585687383;ommited for csv readability;0.6599243306169965;0.49296939430958875;ommited for csv readability;0.6624408384043272;0.4949241012533081;ommited for csv readability;57.0;[ 7 21 29]
PubMed;own;entropy;0;64;0.5;1;0.005;831763849.0;0.85;0.5982142857142857;ommited for csv readability;0.6607961574848992;0.493029978861764;ommited for csv readability;0.6644692359702502;0.4956198154358982;ommited for csv readability;60.0;[ 7 22 31]


PubMed;own;entropy;0;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.3251938265343091;0.2954534417126926;ommited for csv readability;0.32217714672075726;0.2921825384266234;ommited for csv readability;0.0;[]
PubMed;own;entropy;0;64;0.5;1;0.005;615395017.0;0.6666666666666666;0.6666666666666666;ommited for csv readability;0.4090447890998695;0.2170103200461927;ommited for csv readability;0.40804597701149425;0.2153225113545256;ommited for csv readability;3.0;[0 1 2]
PubMed;own;entropy;0;64;0.5;1;0.005;615395017.0;0.5;0.3333333333333333;ommited for csv readability;0.392533526640087;0.18802880832321076;ommited for csv readability;0.3926639621365788;0.18821450759271252;ommited for csv readability;6.0;[0 3 3]
