dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.30447069052967174;0.247898618184049;ommited for csv readability;0.30983772819472616;0.2509211558377609;ommited for csv readability;0.0;[]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.5555555555555555;ommited for csv readability;0.4736193651253805;0.3783138130333857;ommited for csv readability;0.4787018255578093;0.3866892488954345;ommited for csv readability;3.0;[1 1 1]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.5;0.2222222222222222;ommited for csv readability;0.40413193185936935;0.19187747375666842;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;6.0;[2 1 3]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.4039298143851508;0.19180912048752774;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;9.0;[4 2 3]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.25;0.13333333333333333;ommited for csv readability;0.4031474363623178;0.19221008511468038;ommited for csv readability;0.3995943204868154;0.19084474155143397;ommited for csv readability;12.0;[5 4 3]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.6;0.5555555555555555;ommited for csv readability;0.3806760481648049;0.32877166053159745;ommited for csv readability;0.3727180527383367;0.3236768864210627;ommited for csv readability;15.0;[6 6 3]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.6111111111111112;0.5;ommited for csv readability;0.4240005804251614;0.3514048039844289;ommited for csv readability;0.4127789046653144;0.34389666973082256;ommited for csv readability;18.0;[6 6 6]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.5201238390092879;ommited for csv readability;0.44194484760522496;0.36017974542069736;ommited for csv readability;0.4266396213657877;0.3492996308952332;ommited for csv readability;21.0;[7 6 8]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.625;0.5;ommited for csv readability;0.4377585831458227;0.3575703084236215;ommited for csv readability;0.42106152805949965;0.3464319048710624;ommited for csv readability;24.0;[7 8 9]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.6296296296296297;0.5046113306982872;ommited for csv readability;0.4367649194133875;0.35744014502641425;ommited for csv readability;0.4198782961460446;0.3460436500543851;ommited for csv readability;27.0;[ 8  9 10]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.5182863113897597;ommited for csv readability;0.45755573306223224;0.3705058791948453;ommited for csv readability;0.4389790398918188;0.35822989987163095;ommited for csv readability;30.0;[ 8  9 13]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.696969696969697;0.5701357466063349;ommited for csv readability;0.5236054619407321;0.4397583575758328;ommited for csv readability;0.5091277890466531;0.42969928323896545;ommited for csv readability;33.0;[ 8 10 15]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.6944444444444444;0.5601626016260163;ommited for csv readability;0.5133309117326553;0.4179447647248444;ommited for csv readability;0.495605138607167;0.4047593016024332;ommited for csv readability;36.0;[ 9 11 16]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.6923076923076923;0.5606060606060606;ommited for csv readability;0.5107542508356343;0.41478088543298774;ommited for csv readability;0.496788370520622;0.4050446523085225;ommited for csv readability;39.0;[10 12 17]
