dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.30447069052967174;0.247898618184049;ommited for csv readability;0.30983772819472616;0.2509211558377609;ommited for csv readability;0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.6666666666666666;ommited for csv readability;0.4256413973039571;0.3599657000435313;ommited for csv readability;0.4355983772819473;0.3690985692093993;ommited for csv readability;3.0;[1 2]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.5833333333333334;ommited for csv readability;0.40028996013048207;0.21313860114344418;ommited for csv readability;0.40162271805273836;0.21716512431963672;ommited for csv readability;6.0;[1 3 2]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.4444444444444444;0.2051282051282051;ommited for csv readability;0.39305394431554525;0.1889570873558265;ommited for csv readability;0.3928329952670723;0.1885416811015802;ommited for csv readability;9.0;[2 4 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.5;0.2222222222222222;ommited for csv readability;0.3940097178910726;0.19087219352890772;ommited for csv readability;0.3935091277890467;0.1898236951476268;ommited for csv readability;12.0;[3 6 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.47450980392156855;ommited for csv readability;0.4137530828376614;0.24954705530063695;ommited for csv readability;0.41396213657876946;0.2502968102211128;ommited for csv readability;15.0;[5 7 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.7777777777777778;0.5564102564102563;ommited for csv readability;0.46209098164405427;0.33976455152315577;ommited for csv readability;0.4645030425963489;0.34202291996509687;ommited for csv readability;18.0;[6 9 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.7619047619047619;0.5565217391304348;ommited for csv readability;0.5306240928882439;0.4283493543425922;ommited for csv readability;0.5280594996619338;0.4244462895673991;ommited for csv readability;21.0;[ 7 10  4]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.7083333333333334;0.532051282051282;ommited for csv readability;0.5200696813529796;0.41699033692923243;ommited for csv readability;0.5185936443542934;0.41370714415697707;ommited for csv readability;24.0;[ 7 11  6]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.5079365079365079;ommited for csv readability;0.5368810802962103;0.4362833747820833;ommited for csv readability;0.5358350236646383;0.43356953717932095;ommited for csv readability;27.0;[ 7 12  8]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.5210727969348659;ommited for csv readability;0.5576210877931885;0.45654455041320746;ommited for csv readability;0.5591615956727518;0.45796174101888965;ommited for csv readability;30.0;[ 7 13 10]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9090909090909091;0.8974084386378239;ommited for csv readability;0.7310429982568274;0.7301207111838605;ommited for csv readability;0.7329276538201488;0.7322697997792763;ommited for csv readability;33.0;[ 7 14 12]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.8962962962962963;ommited for csv readability;0.7423174718488921;0.7396242993949697;ommited for csv readability;0.7437457741717377;0.7410555118150022;ommited for csv readability;36.0;[ 8 15 13]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9230769230769231;0.9010752688172042;ommited for csv readability;0.7594099694811801;0.756737748597457;ommited for csv readability;0.7618323191345504;0.7592623129989238;ommited for csv readability;39.0;[ 8 16 15]
