dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.30447069052967174;0.247898618184049;ommited for csv readability;0.30983772819472616;0.2509211558377609;ommited for csv readability;0.0;[]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.4;ommited for csv readability;0.40295695028264966;0.19147983607121952;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;3.0;[0 1 2]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.26666666666666666;ommited for csv readability;0.4123233055454875;0.19463121695837396;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;6.0;[1 1 4]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.5555555555555556;0.2380952380952381;ommited for csv readability;0.4127030162412993;0.19475809210976527;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;9.0;[2 2 5]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.4166666666666667;0.19607843137254902;ommited for csv readability;0.4088766408006382;0.19347643314287677;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;12.0;[3 4 5]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.4666666666666667;0.21212121212121213;ommited for csv readability;0.4081677063687799;0.19323820807362765;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;15.0;[3 5 7]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.4444444444444444;0.2051282051282051;ommited for csv readability;0.4073859101792063;0.19297522081314225;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;18.0;[4 6 8]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.47619047619047616;0.21505376344086022;ommited for csv readability;0.4081277213352685;0.19322476465333607;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;21.0;[ 5  6 10]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.5;0.2222222222222222;ommited for csv readability;0.40879727081367495;0.19344977415975406;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;24.0;[ 5  7 12]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.48148148148148145;0.21666666666666667;ommited for csv readability;0.4073616959488892;0.19296707075917804;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;27.0;[ 5  9 13]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.4666666666666667;0.21212121212121213;ommited for csv readability;0.4073778229612955;0.1929724988390692;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;30.0;[ 5 11 14]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.7878787878787878;0.583732057416268;ommited for csv readability;0.6831057524694945;0.5065536898680664;ommited for csv readability;0.6741041244083841;0.5028740388928271;ommited for csv readability;33.0;[ 6 11 16]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.8055555555555556;0.6033333333333334;ommited for csv readability;0.6832546313112967;0.5062030692521264;ommited for csv readability;0.6768086544962812;0.5044051138681857;ommited for csv readability;36.0;[ 7 12 17]
