dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.30447069052967174;0.247898618184049;ommited for csv readability;0.30983772819472616;0.2509211558377609;ommited for csv readability;0.0;[]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.4;ommited for csv readability;0.39933323670097115;0.19024929217595468;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;3.0;[0 1 2]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.4;ommited for csv readability;0.3992750996737949;0.19022949800549138;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;6.0;[0 2 4]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.4444444444444444;0.30769230769230765;ommited for csv readability;0.3994344547563805;0.1903920861442019;ommited for csv readability;0.3995943204868154;0.1905906012305696;ommited for csv readability;9.0;[0 5 4]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.75;0.7482517482517481;ommited for csv readability;0.549713539778084;0.4135959852882382;ommited for csv readability;0.5554428668018931;0.41794013215846887;ommited for csv readability;12.0;[0 7 5]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9333333333333333;0.9282296650717703;ommited for csv readability;0.5271289714202815;0.37321417701044135;ommited for csv readability;0.5353279242731576;0.38169642578459495;ommited for csv readability;15.0;[0 9 6]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9444444444444444;0.9345454545454546;ommited for csv readability;0.48334905318145543;0.3235163830361125;ommited for csv readability;0.4905341446923597;0.3318760572849125;ommited for csv readability;18.0;[ 0 12  6]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.5873015873015873;ommited for csv readability;0.498766328011611;0.3417087895708402;ommited for csv readability;0.5072684246112238;0.3512432674176595;ommited for csv readability;21.0;[ 2 13  6]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.7916666666666666;0.5297619047619048;ommited for csv readability;0.5351673078318937;0.38143872191768624;ommited for csv readability;0.5415821501014199;0.3879509334034121;ommited for csv readability;24.0;[ 2 14  8]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8518518518518519;0.583732057416268;ommited for csv readability;0.5691883258312763;0.4159973326532282;ommited for csv readability;0.5758958755916159;0.4218509955919618;ommited for csv readability;27.0;[ 2 15 10]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.5904761904761905;ommited for csv readability;0.575993028828698;0.4214500289708416;ommited for csv readability;0.5845165652467884;0.42856432986473497;ommited for csv readability;30.0;[ 4 16 10]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8181818181818182;0.5760233918128655;ommited for csv readability;0.5685647879140034;0.41416366221596707;ommited for csv readability;0.5753887762001352;0.4203477654161117;ommited for csv readability;33.0;[ 4 17 12]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8055555555555556;0.5642878651008733;ommited for csv readability;0.5734834725753724;0.4179852835937212;ommited for csv readability;0.581473968897904;0.4251906621750763;ommited for csv readability;36.0;[ 4 18 14]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.7948717948717948;0.5596518177163339;ommited for csv readability;0.5935183839558204;0.43457634839382936;ommited for csv readability;0.6017579445571332;0.44157026606020233;ommited for csv readability;39.0;[ 5 19 15]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.6057486057486057;ommited for csv readability;0.625408823315648;0.4612817074985452;ommited for csv readability;0.631000676132522;0.46590356084640594;ommited for csv readability;42.0;[ 5 20 17]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8444444444444444;0.5944444444444444;ommited for csv readability;0.6453184065135213;0.4776419768198819;ommited for csv readability;0.6514536849222448;0.4824054892072014;ommited for csv readability;45.0;[ 5 21 19]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8541666666666666;0.6071428571428571;ommited for csv readability;0.6508398167672508;0.4821955879590131;ommited for csv readability;0.6533130493576741;0.4841220515744287;ommited for csv readability;48.0;[ 6 22 20]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8431372549019608;0.6049493142516398;ommited for csv readability;0.6578909090909091;0.4881254517849876;ommited for csv readability;0.6590601757944557;0.4889488440059819;ommited for csv readability;51.0;[ 7 23 21]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8518518518518519;0.6074423480083858;ommited for csv readability;0.6636357023350549;0.4927570579033171;ommited for csv readability;0.6654834347532116;0.49406585528790475;ommited for csv readability;54.0;[ 7 24 23]
