dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.29606550249981883;0.2751384095072939;ommited for csv readability;0.29242731575388775;0.26617465486516056;ommited for csv readability;0.0;[]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.36932888824467314;0.29355466623767706;ommited for csv readability;0.3706896551724138;0.3023299673462917;ommited for csv readability;3.0;[1 1 1]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8412698412698413;ommited for csv readability;0.3496919173613628;0.17875784358974647;ommited for csv readability;0.34634888438133876;0.1774506187973972;ommited for csv readability;6.0;[1 2 3]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.903030303030303;ommited for csv readability;0.5366154292343387;0.43682976560047576;ommited for csv readability;0.5312711291413117;0.43867339691020035;ommited for csv readability;9.0;[1 3 5]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.7555555555555555;ommited for csv readability;0.5711074044528247;0.42310807893810337;ommited for csv readability;0.5752197430696416;0.4274883135435507;ommited for csv readability;12.0;[1 5 6]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.8666666666666667;0.8111111111111112;ommited for csv readability;0.6143188742202235;0.45744290129932086;ommited for csv readability;0.6140973630831643;0.4570689873161993;ommited for csv readability;15.0;[2 6 7]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9444444444444444;0.952153110047847;ommited for csv readability;0.677791482260756;0.6693129405678477;ommited for csv readability;0.6771467207572684;0.6694949710071819;ommited for csv readability;18.0;[3 6 9]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.959866220735786;ommited for csv readability;0.6424528301886793;0.5439119461909847;ommited for csv readability;0.6440162271805274;0.5556151354472931;ommited for csv readability;21.0;[ 3  7 11]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9267399267399267;ommited for csv readability;0.6574725992596356;0.6054887664705829;ommited for csv readability;0.657707910750507;0.6090153942409042;ommited for csv readability;24.0;[ 4  7 13]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9629629629629629;0.9662835249042145;ommited for csv readability;0.7400900246841876;0.7312707904983521;ommited for csv readability;0.7417173766058147;0.7338202153468908;ommited for csv readability;27.0;[ 5  8 14]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.9696394686907022;ommited for csv readability;0.7685716360467649;0.7637212078154318;ommited for csv readability;0.7663962136578769;0.7605782222630973;ommited for csv readability;30.0;[ 6  9 15]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9696969696969697;0.9723551302498672;ommited for csv readability;0.7879866356769321;0.7812653508245765;ommited for csv readability;0.79631507775524;0.7888959819151568;ommited for csv readability;33.0;[ 7 10 16]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9722222222222222;0.9746031746031746;ommited for csv readability;0.8034871049763894;0.7952611371923118;ommited for csv readability;0.8054428668018931;0.7967774877195529;ommited for csv readability;36.0;[ 8 11 17]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.8974358974358975;0.9033551198257079;ommited for csv readability;0.8027176282517076;0.7910195273523254;ommited for csv readability;0.7976673427991886;0.7835074826490468;ommited for csv readability;39.0;[ 9 12 18]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9285714285714286;0.9276923076923077;ommited for csv readability;0.7509266661821353;0.747341902736436;ommited for csv readability;0.7518593644354293;0.7480416611447157;ommited for csv readability;42.0;[11 13 18]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9111111111111111;0.9114423740510698;ommited for csv readability;0.7201948240767665;0.7177383700246679;ommited for csv readability;0.7167004732927654;0.7135319949314743;ommited for csv readability;45.0;[13 13 19]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9375;0.9387574813931403;ommited for csv readability;0.7404202719406675;0.738616505717015;ommited for csv readability;0.7408722109533469;0.7388059229050329;ommited for csv readability;48.0;[14 14 20]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9411764705882353;0.9388167388167389;ommited for csv readability;0.7453090909090909;0.74471829387447;ommited for csv readability;0.7420554428668019;0.741024135571375;ommited for csv readability;51.0;[15 15 21]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9814814814814815;0.9824915824915825;ommited for csv readability;0.7615479741034408;0.7609807921015913;ommited for csv readability;0.7582826233941853;0.7573288782892306;ommited for csv readability;54.0;[15 17 22]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9649122807017544;0.9636365947278782;ommited for csv readability;0.7609866123399301;0.7603216519368804;ommited for csv readability;0.7592968221771467;0.7587016056152445;ommited for csv readability;57.0;[15 19 23]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.9655524091614317;ommited for csv readability;0.7687213448802853;0.7679759938341794;ommited for csv readability;0.7701149425287356;0.7691904379811417;ommited for csv readability;60.0;[16 20 24]


PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.29447141511484676;0.29675652879725495;ommited for csv readability;0.30138607167004733;0.3040145279940847;ommited for csv readability;0.0;[]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5231917669227424;0.3803020478087246;ommited for csv readability;0.5349898580121704;0.3900006914608343;ommited for csv readability;3.0;[0 2 1]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.8222222222222223;ommited for csv readability;0.4736498731424429;0.45643190866911443;ommited for csv readability;0.4859702501690331;0.4720517553046353;ommited for csv readability;6.0;[1 2 3]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.8888888888888888;0.8518518518518517;ommited for csv readability;0.5535817865429234;0.5069670979673938;ommited for csv readability;0.5623732251521298;0.5213780348542147;ommited for csv readability;9.0;[1 3 5]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.9166666666666666;0.8585858585858586;ommited for csv readability;0.598593081441729;0.4992529224402615;ommited for csv readability;0.6029411764705882;0.5095512480347805;ommited for csv readability;12.0;[2 5 5]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.8;0.7363636363636363;ommited for csv readability;0.5572319744668505;0.40692561778800423;ommited for csv readability;0.5652467883705207;0.4144657588059763;ommited for csv readability;15.0;[3 6 6]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.7470588235294118;ommited for csv readability;0.6035696147427991;0.4513610966850425;ommited for csv readability;0.6032792427315754;0.45169550732089553;ommited for csv readability;18.0;[3 6 9]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.8571428571428571;0.8336940836940836;ommited for csv readability;0.6478229317851959;0.626434874308771;ommited for csv readability;0.637762001352265;0.6147984370730645;ommited for csv readability;21.0;[ 3  6 12]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.9166666666666666;0.9045177045177044;ommited for csv readability;0.7366625535312478;0.726834960923032;ommited for csv readability;0.7297160243407708;0.7187206956892006;ommited for csv readability;24.0;[ 3  7 14]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.8888888888888888;0.890993265993266;ommited for csv readability;0.7602729780746333;0.7538728121297179;ommited for csv readability;0.7557471264367817;0.7489866970901392;ommited for csv readability;27.0;[ 5  7 15]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.9;0.9028391787012476;ommited for csv readability;0.7718393725945828;0.7655724751645359;ommited for csv readability;0.7674104124408384;0.7608669658554569;ommited for csv readability;30.0;[ 6  9 15]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.9090909090909091;0.9129919888540577;ommited for csv readability;0.7823939570017432;0.7751822206627753;ommited for csv readability;0.7795807978363759;0.7720378278940259;ommited for csv readability;33.0;[ 7 11 15]
