dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.29606550249981883;0.2751384095072939;ommited for csv readability;0.29242731575388775;0.26617465486516056;ommited for csv readability;0.0;[]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.42448180895781995;0.2721035086852179;ommited for csv readability;0.41615956727518594;0.2643764717719586;ommited for csv readability;3.0;[1 2]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4220369699166365;0.43513616525338317;ommited for csv readability;0.3984110885733604;0.4115702251633277;ommited for csv readability;6.0;[2 3 1]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.388631090487239;0.3531489243829058;ommited for csv readability;0.36156186612576063;0.32925204683339937;ommited for csv readability;9.0;[2 4 3]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5919210965262165;0.5538939110945579;ommited for csv readability;0.5657538877620013;0.5306743261180102;ommited for csv readability;12.0;[3 4 5]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5946612505440302;0.5343850477210275;ommited for csv readability;0.565077755240027;0.509233361678653;ommited for csv readability;15.0;[4 5 6]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6189508815207139;0.58605277281566;ommited for csv readability;0.5853617308992562;0.5547465908626342;ommited for csv readability;18.0;[5 6 7]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.628955007256894;0.6307497285458292;ommited for csv readability;0.6039553752535497;0.6063354245794964;ommited for csv readability;21.0;[7 7 7]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9165032679738562;ommited for csv readability;0.6678522174638891;0.670106752243962;ommited for csv readability;0.637762001352265;0.639986397212398;ommited for csv readability;24.0;[9 8 7]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9259259259259259;0.9228524743230625;ommited for csv readability;0.677943952374038;0.6801724034613096;ommited for csv readability;0.6516227180527383;0.6528433943593158;ommited for csv readability;27.0;[11  8  8]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9333333333333333;0.9325660699062235;ommited for csv readability;0.6946481736983516;0.6971520215817977;ommited for csv readability;0.6670047329276538;0.667246865578211;ommited for csv readability;30.0;[12 10  8]
