dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.29606550249981883;0.2751384095072939;ommited for csv readability;0.29242731575388775;0.26617465486516056;ommited for csv readability;0.0;[]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5156544426728511;0.3795285567749733;ommited for csv readability;0.506423258958756;0.37301403215194484;ommited for csv readability;3.0;[0 1 2]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.7222222222222222;ommited for csv readability;0.479014135556361;0.448365552667854;ommited for csv readability;0.46754563894523327;0.43630025526462113;ommited for csv readability;6.0;[2 1 3]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.8518518518518517;ommited for csv readability;0.7035962877030162;0.6968300261489322;ommited for csv readability;0.7090939824205544;0.7013009160931243;ommited for csv readability;9.0;[2 3 4]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.8962962962962964;ommited for csv readability;0.7177460294437595;0.7144584299583988;ommited for csv readability;0.7195740365111561;0.7155184577676512;ommited for csv readability;12.0;[3 5 4]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7292180472943566;0.7247785754692259;ommited for csv readability;0.7270114942528736;0.7213275705939927;ommited for csv readability;15.0;[4 7 4]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.8851851851851853;ommited for csv readability;0.7272001741275484;0.721621086074586;ommited for csv readability;0.7232927653820149;0.7153761083692993;ommited for csv readability;18.0;[4 7 7]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.70355587808418;0.6839394420776381;ommited for csv readability;0.6970926301555105;0.6759576776105448;ommited for csv readability;21.0;[4 8 9]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7164839950642375;0.6952665663289311;ommited for csv readability;0.7067275185936444;0.6838341094782893;ommited for csv readability;24.0;[ 5  9 10]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.749237694206476;0.7423989236536147;ommited for csv readability;0.7383367139959433;0.7297115960147084;ommited for csv readability;27.0;[ 7 10 10]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7441725364897248;0.7298464155132338;ommited for csv readability;0.7283637592968222;0.7117806914279118;ommited for csv readability;30.0;[ 7 11 12]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7062754212667054;0.6770515058486543;ommited for csv readability;0.6920216362407032;0.6581489405967823;ommited for csv readability;33.0;[ 7 12 14]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7198692335633854;0.7010384181178257;ommited for csv readability;0.7025016903313049;0.6821865129828804;ommited for csv readability;36.0;[ 8 13 15]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7291091411132102;0.7127332870697934;ommited for csv readability;0.711291413116971;0.6935015459320087;ommited for csv readability;39.0;[ 9 14 16]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7574678392325024;0.7415690786088048;ommited for csv readability;0.7395199459093983;0.7221915849494002;ommited for csv readability;42.0;[10 16 16]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7569060773480663;0.737664394584305;ommited for csv readability;0.7361392832995267;0.715648427572524;ommited for csv readability;45.0;[11 17 17]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.757652875736203;0.7392930565087781;ommited for csv readability;0.7422244759972955;0.7228392069005216;ommited for csv readability;48.0;[12 18 18]
